Mg24 	22335.8 	0.315826  1  4805.13  206
alpha 	3727.38 	7.31883  1  2507.83  2673
B11 	10252.5 	4.91144  1  2507.83  2674
proton 	938.272 	5.45426  1  2487.79  2776
Mg26 	24196.5 	0.140182  1  2487.79  2781
Na23 	21409.2 	0.347821  1  2594.08  2699
Al28 	26058.3 	0.16619  1  2507.55  2752
Mn56 	52094 	0.0957736  1  2487.56  2756
N15 	13968.9 	0.261322  1  2567.4  2776
proton 	938.272 	2.70655  1  2530.69  2762
Mg25 	23268 	0.699287  1  2530.69  2765
Al28 	26058.3 	0.18056  1  2547.98  2829
Na26 	24206.4 	0.180236  1  2438.05  2877
Na24 	22341.8 	0.21687  1  2513.24  2811
proton 	938.272 	6.24391  1  2549.16  2747
Ne21 	19550.5 	0.675571  1  2549.16  2752
Ne20 	18617.7 	0.778234  1  2549.76  2731
N16 	14906 	0.295671  1  2533.51  2673
Na24 	22341.8 	0.194536  1  2626.04  2632
proton 	938.272 	6.35414  1  2567.18  2755
Mg24 	22335.8 	0.734585  1  2567.18  2760
Si28 	26053.2 	0.225933  1  4313.63  721
N14 	13040.2 	2.43774  1  2423.37  2830
Mg24 	22335.8 	0.126051  1  3714.64  1283
proton 	938.272 	4.30229  1  2526.65  2768
Ne20 	18617.7 	0.487431  1  2526.65  2773
Na23 	21409.2 	0.222014  1  2522.78  2791
Na23 	21409.2 	0.155325  1  2557.85  2741
Al27 	25126.5 	0.16396  1  2533.14  2693
O16 	14895.1 	0.227849  1  4063.48  957
O16 	14895.1 	0.232878  1  2597.56  2606
Al28 	26058.3 	0.177272  1  2543.78  2759
Si28 	26053.2 	0.421702  1  4762.58  265
Ne21 	19550.5 	0.115702  1  2545.16  2773
Mg26 	24196.5 	0.188686  1  4919.39  86
Al26 	24200 	0.252256  1  2676.14  2659
Fe56 	52089.8 	0.0550879  1  3112.88  2044
Na25 	23272.4 	0.202052  1  2567.96  2799
O16 	14895.1 	0.193902  1  2940.13  2234
Na24 	22341.8 	0.197852  1  2553.48  2808
proton 	938.272 	7.17792  1  2522.99  2812
Ne21 	19550.5 	1.31981  1  2522.99  2815
O16 	14895.1 	0.431954  1  4565.43  476
proton 	938.272 	1.4198  1  2531.33  2734
C12 	11174.9 	1.46528  1  2531.33  2737
Mg24 	22335.8 	0.374241  1  3167.64  1912
Na24 	22341.8 	0.196494  1  2456.91  2813
alpha 	3727.38 	7.74926  1  2558.52  2779
Be8 	7454.85 	0.652924  1  2558.52  2780
Al28 	26058.3 	0.168706  1  2668.09  2538
Na25 	23272.4 	0.186948  1  2734.76  2591
proton 	938.272 	4.92708  1  2489.05  2832
C14 	13040.9 	0.562152  1  2489.05  2837
Al28 	26058.3 	0.175382  1  2475.49  2869
O16 	14895.1 	0.385546  1  2669.66  2539
Na24 	22341.8 	0.228194  1  2567.38  2770
N15 	13968.9 	0.732586  1  2626.53  2641
proton 	938.272 	22.4474  1  2481.83  2831
C12 	11174.9 	0.869965  1  2481.83  2836
N16 	14906 	0.286841  1  2753.61  2585
C12 	11174.9 	1.65769  1  2506.87  2728
proton 	938.272 	7.66279  1  2444.16  2904
C14 	13040.9 	0.595824  1  2444.16  2906
O16 	14895.1 	0.237243  1  3107.22  1901
alpha 	3727.38 	3.72346  1  2581.88  2680
B11 	10252.5 	7.30889  1  2581.88  2681
proton 	938.272 	2.51835  1  2580.8  2692
Mg25 	23268 	2.54313  1  2580.8  2695
proton 	938.272 	5.41137  1  2564.81  2678
proton 	938.272 	4.50782  1  2564.81  2679
V52 	48374.5 	0.810574  1  2564.81  2685
Na23 	21409.2 	0.152004  1  2574.48  2754
proton 	938.272 	5.37393  1  2589.25  2660
Mg25 	23268 	0.55094  1  2589.25  2664
proton 	938.272 	24.7726  1  2540.38  2805
Ne23 	21414.1 	0.725842  1  2540.38  2809
Al27 	25126.5 	0.0386159  1  2537.64  2730
Na23 	21409.2 	0.127393  1  2469.87  2718
Mg26 	24196.5 	0.691592  1  3423.29  1660
Na25 	23272.4 	0.17135  1  2515.01  2834
Al29 	26988.5 	0.161679  1  2681.63  2534
proton 	938.272 	2.11649  1  2600.84  2650
Ne22 	20479.7 	0.479311  1  2600.84  2653
Na23 	21409.2 	0.241269  1  2679.35  2659
N16 	14906 	0.283176  1  2532.32  2746
Na24 	22341.8 	0.208858  1  2402  2795
Si28 	26053.2 	0.644881  1  3636.67  1429
Al28 	26058.3 	0.182178  1  2497  2867
Na24 	22341.8 	0.211474  1  2583.56  2613
Al27 	25126.5 	0.0846031  1  2405.34  2811
Na24 	22341.8 	0.20466  1  2585.37  2711
Mn54 	50232.4 	0.104093  1  2516.26  2786
Al28 	26058.3 	0.185623  1  2556.04  2656
Na24 	22341.8 	0.186826  1  2614.69  2696
Na24 	22341.8 	0.117385  1  2774.87  2493
Mn56 	52094 	0.095624  1  2462.62  2745
Al27 	25126.5 	0.170219  1  2552.69  2726
Na24 	22341.8 	0.216587  1  2503.18  2854
Si28 	26053.2 	0.47691  1  3350.35  1714
N15 	13968.9 	0.235633  1  2611.44  2677
proton 	938.272 	19.3843  1  2450.76  2837
Ne20 	18617.7 	0.977704  1  2450.76  2843
proton 	938.272 	5.48754  1  2623.64  2649
C12 	11174.9 	1.55619  1  2623.64  2652
C12 	11174.9 	2.97789  1  2552.11  2765
O16 	14895.1 	0.405994  1  2614.41  2633
Na25 	23272.4 	0.265887  1  2571.62  2731
Mg24 	22335.8 	0.457842  1  4616.21  429
N15 	13968.9 	0.817124  1  2423.94  2851
