# Energy(keV)    dEe/dx(keV/micro_m)  dEn/dx(keV/micro_m)  x(micro_m)
1.000000e+01 9.610000e+01 1.595000e+03 9.284934e-03
1.100000e+01 1.008000e+02 1.642000e+03 9.831073e-03
1.200000e+01 1.053000e+02 1.686000e+03 1.025427e-02
1.300000e+01 1.096000e+02 1.725000e+03 1.077033e-02
1.400000e+01 1.137000e+02 1.762000e+03 1.128672e-02
1.500000e+01 1.177000e+02 1.796000e+03 1.171025e-02
1.600000e+01 1.216000e+02 1.828000e+03 1.216306e-02
1.700000e+01 1.253000e+02 1.858000e+03 1.267951e-02
1.800000e+01 1.289000e+02 1.885000e+03 1.310305e-02
2.000000e+01 1.359000e+02 1.936000e+03 1.395027e-02
2.250000e+01 1.441000e+02 1.991000e+03 1.501266e-02
2.500000e+01 1.519000e+02 2.039000e+03 1.604681e-02
2.750000e+01 1.594000e+02 2.082000e+03 1.710935e-02
3.000000e+01 1.664000e+02 2.119000e+03 1.805048e-02
3.250000e+01 1.732000e+02 2.153000e+03 1.899184e-02
3.500000e+01 1.798000e+02 2.183000e+03 2.005443e-02
3.750000e+01 1.861000e+02 2.210000e+03 2.099595e-02
4.000000e+01 1.922000e+02 2.235000e+03 2.191643e-02
4.500000e+01 2.039000e+02 2.278000e+03 2.370612e-02
5.000000e+01 2.149000e+02 2.314000e+03 2.547509e-02
5.500000e+01 2.254000e+02 2.343000e+03 2.726518e-02
6.000000e+01 2.354000e+02 2.369000e+03 2.903463e-02
6.500000e+01 2.450000e+02 2.390000e+03 3.080438e-02
7.000000e+01 2.543000e+02 2.408000e+03 3.247984e-02
8.000000e+01 2.718000e+02 2.436000e+03 3.592562e-02
9.000000e+01 2.883000e+02 2.456000e+03 3.925201e-02
1.000000e+02 3.039000e+02 2.469000e+03 4.257899e-02
1.100000e+02 3.187000e+02 2.478000e+03 4.590643e-02
1.200000e+02 3.329000e+02 2.483000e+03 4.913919e-02
1.300000e+02 3.465000e+02 2.484000e+03 5.244788e-02
1.400000e+02 3.596000e+02 2.484000e+03 5.568106e-02
1.500000e+02 3.722000e+02 2.481000e+03 5.889525e-02
1.600000e+02 3.844000e+02 2.476000e+03 6.212866e-02
1.700000e+02 3.962000e+02 2.471000e+03 6.541514e-02
1.800000e+02 4.077000e+02 2.464000e+03 6.863010e-02
2.000000e+02 4.298000e+02 2.447000e+03 7.505591e-02
2.250000e+02 4.444000e+02 2.423000e+03 8.311739e-02
2.500000e+02 4.509000e+02 2.397000e+03 9.129825e-02
2.750000e+02 4.633000e+02 2.368000e+03 9.953537e-02
3.000000e+02 4.798000e+02 2.339000e+03 1.077915e-01
3.250000e+02 4.992000e+02 2.310000e+03 1.160483e-01
3.500000e+02 5.207000e+02 2.280000e+03 1.243845e-01
3.750000e+02 5.434000e+02 2.251000e+03 1.328348e-01
4.000000e+02 5.667000e+02 2.222000e+03 1.411896e-01
4.500000e+02 6.135000e+02 2.165000e+03 1.581510e-01
5.000000e+02 6.587000e+02 2.111000e+03 1.750941e-01
5.500000e+02 7.013000e+02 2.058000e+03 1.921400e-01
6.000000e+02 7.409000e+02 2.009000e+03 2.092599e-01
6.500000e+02 7.775000e+02 1.962000e+03 2.264785e-01
7.000000e+02 8.112000e+02 1.917000e+03 2.437795e-01
8.000000e+02 8.710000e+02 1.833000e+03 2.786734e-01
9.000000e+02 9.221000e+02 1.758000e+03 3.139417e-01
1.000000e+03 9.661000e+02 1.689000e+03 3.496818e-01
