 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> febbraio 02, 2026 
 ==================================================================

 Disk File Name = SRIM Outputs\Aluminum in Ca- P- O- F-Cl- O- H.txt

 Ion = Aluminum [13] , Mass = 26,982 amu

 Target Density =  3,1500E+00 g/cm3 = 7,9660E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Ca     20    022,73    038,25   
      P     15    013,64    017,74   
      O      8    054,54    036,65   
      F      9    008,18    006,53   
     Cl     17    000,45    000,67   
      O      8    000,23    000,15   
      H      1    000,23    000,01   
 ====================================
 Bragg Correction = 0,00%
 Stopping Units =  keV / micron   
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  10,00 keV   6,687E+01  5,159E+02     141 A        70 A        50 A   
  11,00 keV   7,013E+01  5,168E+02     153 A        75 A        54 A   
  12,00 keV   7,325E+01  5,170E+02     165 A        81 A        58 A   
  13,00 keV   7,624E+01  5,166E+02     177 A        86 A        61 A   
  14,00 keV   7,912E+01  5,158E+02     189 A        91 A        65 A   
  15,00 keV   8,189E+01  5,145E+02     201 A        96 A        68 A   
  16,00 keV   8,458E+01  5,130E+02     213 A       101 A        72 A   
  17,00 keV   8,718E+01  5,112E+02     225 A       106 A        75 A   
  18,00 keV   8,971E+01  5,092E+02     237 A       111 A        79 A   
  20,00 keV   9,456E+01  5,048E+02     261 A       121 A        86 A   
  22,50 keV   1,003E+02  4,986E+02     291 A       134 A        94 A   
  25,00 keV   1,057E+02  4,921E+02     322 A       146 A       103 A   
  27,50 keV   1,109E+02  4,854E+02     353 A       158 A       111 A   
  30,00 keV   1,158E+02  4,786E+02     384 A       171 A       119 A   
  32,50 keV   1,205E+02  4,719E+02     416 A       183 A       128 A   
  35,00 keV   1,251E+02  4,652E+02     448 A       195 A       136 A   
  37,50 keV   1,295E+02  4,586E+02     480 A       207 A       145 A   
