 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> febbraio 23, 2026 
 ==================================================================

 Disk File Name = SRIM Outputs\Argon in Ca- P- O- F-Cl- O- H.txt

 Ion = Argon [18] , Mass = 39,962 amu

 Target Density =  3,1500E+00 g/cm3 = 7,8943E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Ca     20    023,81    039,71   
      P     15    014,29    018,42   
      O      8    057,13    038,04   
      F      9    004,29    003,39   
     Cl     17    000,24    000,35   
      O      8    000,12    000,08   
      H      1    000,12    000,01   
 ====================================
 Bragg Correction = 0,00%
 Stopping Units =  keV / micron   
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  10,00 keV   1,084E+02  7,746E+02     111 A        48 A        36 A   
  11,00 keV   1,137E+02  7,826E+02     120 A        52 A        38 A   
  12,00 keV   1,187E+02  7,892E+02     128 A        55 A        41 A   
  13,00 keV   1,236E+02  7,946E+02     136 A        58 A        43 A   
  14,00 keV   1,282E+02  7,989E+02     144 A        61 A        45 A   
  15,00 keV   1,327E+02  8,024E+02     153 A        64 A        47 A   
  16,00 keV   1,371E+02  8,051E+02     161 A        67 A        49 A   
  17,00 keV   1,413E+02  8,072E+02     169 A        70 A        51 A   
  18,00 keV   1,454E+02  8,088E+02     177 A        73 A        54 A   
  20,00 keV   1,533E+02  8,107E+02     193 A        78 A        58 A   
  22,50 keV   1,626E+02  8,110E+02     213 A        85 A        63 A   
  25,00 keV   1,714E+02  8,097E+02     233 A        92 A        68 A   
  27,50 keV   1,797E+02  8,072E+02     252 A        99 A        73 A   
  30,00 keV   1,877E+02  8,039E+02     272 A       106 A        78 A   
  32,50 keV   1,954E+02  7,998E+02     292 A       113 A        82 A   
  35,00 keV   2,027E+02  7,952E+02     312 A       120 A        87 A   
  37,50 keV   2,099E+02  7,903E+02     332 A       126 A        92 A   
