 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> febbraio 02, 2026 
 ==================================================================

 Disk File Name = SRIM Outputs\Arsenic in Ca- P- O- F-Cl- O- H.txt

 Ion = Arsenic [33] , Mass = 74,92 amu

 Target Density =  3,1500E+00 g/cm3 = 7,9660E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Ca     20    022,73    038,25   
      P     15    013,64    017,74   
      O      8    054,54    036,65   
      F      9    008,18    006,53   
     Cl     17    000,45    000,67   
      O      8    000,23    000,15   
      H      1    000,23    000,01   
 ====================================
 Bragg Correction = 0,00%
 Stopping Units =  keV / micron   
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  10,00 keV   6,266E+01  1,313E+03      91 A        33 A        25 A   
  11,00 keV   6,572E+01  1,344E+03      97 A        35 A        27 A   
  12,00 keV   6,864E+01  1,371E+03     102 A        37 A        28 A   
  13,00 keV   7,144E+01  1,396E+03     108 A        38 A        29 A   
  14,00 keV   7,414E+01  1,418E+03     113 A        40 A        31 A   
  15,00 keV   7,674E+01  1,438E+03     119 A        42 A        32 A   
  16,00 keV   7,926E+01  1,457E+03     124 A        43 A        33 A   
  17,00 keV   8,170E+01  1,474E+03     129 A        45 A        34 A   
  18,00 keV   8,407E+01  1,490E+03     135 A        46 A        36 A   
  20,00 keV   8,862E+01  1,517E+03     145 A        50 A        38 A   
  22,50 keV   9,399E+01  1,546E+03     157 A        53 A        41 A   
  25,00 keV   9,908E+01  1,571E+03     170 A        57 A        44 A   
  27,50 keV   1,039E+02  1,591E+03     182 A        60 A        47 A   
  30,00 keV   1,085E+02  1,608E+03     194 A        64 A        49 A   
  32,50 keV   1,130E+02  1,623E+03     206 A        67 A        52 A   
  35,00 keV   1,172E+02  1,635E+03     218 A        71 A        55 A   
  37,50 keV   1,213E+02  1,646E+03     230 A        74 A        57 A   
