# Energy(keV)    dEe/dx(keV/micro_m)  dEn/dx(keV/micro_m)  x(micro_m)
1.000000e+01 6.273000e+01 1.309000e+03 9.997500e-03
1.100000e+01 6.579000e+01 1.339000e+03 1.065974e-02
1.200000e+01 6.872000e+01 1.366000e+03 1.129690e-02
1.300000e+01 7.152000e+01 1.391000e+03 1.186802e-02
1.400000e+01 7.422000e+01 1.413000e+03 1.247277e-02
1.500000e+01 7.683000e+01 1.434000e+03 1.301883e-02
1.600000e+01 7.935000e+01 1.452000e+03 1.356503e-02
1.700000e+01 8.179000e+01 1.469000e+03 1.419507e-02
1.800000e+01 8.416000e+01 1.485000e+03 1.474110e-02
2.000000e+01 8.871000e+01 1.513000e+03 1.580158e-02
2.250000e+01 9.409000e+01 1.542000e+03 1.719331e-02
2.500000e+01 9.918000e+01 1.566000e+03 1.846212e-02
2.750000e+01 1.040000e+02 1.587000e+03 1.976208e-02
3.000000e+01 1.087000e+02 1.604000e+03 2.112368e-02
3.250000e+01 1.131000e+02 1.618000e+03 2.240022e-02
3.500000e+01 1.174000e+02 1.631000e+03 2.357753e-02
3.750000e+01 1.215000e+02 1.641000e+03 2.485438e-02
4.000000e+01 1.255000e+02 1.650000e+03 2.612432e-02
4.500000e+01 1.331000e+02 1.664000e+03 2.864210e-02
5.000000e+01 1.403000e+02 1.674000e+03 3.109695e-02
5.500000e+01 1.471000e+02 1.680000e+03 3.352283e-02
6.000000e+01 1.537000e+02 1.683000e+03 3.597791e-02
6.500000e+01 1.599000e+02 1.685000e+03 3.838229e-02
7.000000e+01 1.660000e+02 1.684000e+03 4.080907e-02
8.000000e+01 1.774000e+02 1.680000e+03 4.564176e-02
9.000000e+01 1.882000e+02 1.672000e+03 5.047554e-02
1.000000e+02 1.984000e+02 1.661000e+03 5.533769e-02
1.100000e+02 2.081000e+02 1.649000e+03 6.026657e-02
1.200000e+02 2.173000e+02 1.635000e+03 6.507503e-02
1.300000e+02 2.262000e+02 1.620000e+03 7.000529e-02
1.400000e+02 2.347000e+02 1.605000e+03 7.493597e-02
1.500000e+02 2.431000e+02 1.590000e+03 7.996130e-02
1.600000e+02 2.601000e+02 1.574000e+03 8.487273e-02
1.700000e+02 2.738000e+02 1.558000e+03 8.987269e-02
1.800000e+02 2.853000e+02 1.543000e+03 9.489926e-02
2.000000e+02 3.042000e+02 1.511000e+03 1.049078e-01
2.250000e+02 3.241000e+02 1.473000e+03 1.176309e-01
2.500000e+02 3.431000e+02 1.437000e+03 1.305013e-01
2.750000e+02 3.625000e+02 1.402000e+03 1.435128e-01
3.000000e+02 3.825000e+02 1.368000e+03 1.565962e-01
3.250000e+02 4.030000e+02 1.336000e+03 1.698532e-01
3.500000e+02 4.240000e+02 1.306000e+03 1.832017e-01
3.750000e+02 4.454000e+02 1.277000e+03 1.966711e-01
4.000000e+02 4.671000e+02 1.250000e+03 2.101903e-01
4.500000e+02 5.107000e+02 1.199000e+03 2.372803e-01
5.000000e+02 5.542000e+02 1.152000e+03 2.645762e-01
5.500000e+02 5.971000e+02 1.110000e+03 2.919911e-01
6.000000e+02 6.392000e+02 1.071000e+03 3.193274e-01
6.500000e+02 6.802000e+02 1.035000e+03 3.466475e-01
7.000000e+02 7.200000e+02 1.002000e+03 3.739341e-01
8.000000e+02 7.961000e+02 9.426000e+02 4.283413e-01
9.000000e+02 8.677000e+02 8.910000e+02 4.822279e-01
1.000000e+03 9.354000e+02 8.457000e+02 5.355129e-01
1.100000e+03 9.997000e+02 8.054000e+02 5.883199e-01
1.200000e+03 1.061000e+03 7.695000e+02 6.404181e-01
1.300000e+03 1.120000e+03 7.371000e+02 6.919567e-01
1.400000e+03 1.178000e+03 7.078000e+02 7.427281e-01
1.500000e+03 1.233000e+03 6.810000e+02 7.929094e-01
1.600000e+03 1.288000e+03 6.566000e+02 8.422753e-01
1.700000e+03 1.341000e+03 6.341000e+02 8.910679e-01
1.800000e+03 1.394000e+03 6.133000e+02 9.390136e-01
2.000000e+03 1.497000e+03 5.762000e+02 1.034601e+00
2.250000e+03 1.624000e+03 5.365000e+02 1.145739e+00
2.500000e+03 1.750000e+03 5.026000e+02 1.256584e+00
2.750000e+03 1.875000e+03 4.733000e+02 1.357407e+00
3.000000e+03 1.999000e+03 4.477000e+02 1.458012e+00
3.250000e+03 2.123000e+03 4.250000e+02 1.558434e+00
3.500000e+03 2.247000e+03 4.049000e+02 1.648885e+00
3.750000e+03 2.369000e+03 3.868000e+02 1.739204e+00
4.000000e+03 2.491000e+03 3.704000e+02 1.829410e+00
4.500000e+03 2.733000e+03 3.420000e+02 1.989915e+00
5.000000e+03 2.970000e+03 3.182000e+02 2.140234e+00
5.500000e+03 3.202000e+03 2.978000e+02 2.290296e+00
6.000000e+03 3.427000e+03 2.801000e+02 2.420423e+00
6.500000e+03 3.647000e+03 2.647000e+02 2.550391e+00
7.000000e+03 3.859000e+03 2.510000e+02 2.680252e+00
8.000000e+03 4.263000e+03 2.279000e+02 2.900221e+00
9.000000e+03 4.640000e+03 2.091000e+02 3.119913e+00
1.000000e+04 4.989000e+03 1.935000e+02 3.309683e+00
1.100000e+04 5.314000e+03 1.802000e+02 3.499319e+00
1.200000e+04 5.614000e+03 1.689000e+02 3.669033e+00
1.300000e+04 5.893000e+03 1.590000e+02 3.838660e+00
1.400000e+04 6.151000e+03 1.503000e+02 3.998327e+00
1.500000e+04 6.392000e+03 1.426000e+02 4.157948e+00
1.600000e+04 6.616000e+03 1.357000e+02 4.297669e+00
1.700000e+04 6.825000e+03 1.295000e+02 4.447305e+00
1.800000e+04 7.020000e+03 1.239000e+02 4.586989e+00
2.000000e+04 7.376000e+03 1.142000e+02 4.856455e+00
2.250000e+04 7.767000e+03 1.041000e+02 5.185809e+00
2.500000e+04 8.109000e+03 9.584000e+01 5.495227e+00
2.750000e+04 8.414000e+03 8.888000e+01 5.784716e+00
3.000000e+04 8.689000e+03 8.294000e+01 6.074187e+00
3.250000e+04 8.939000e+03 7.780000e+01 6.353697e+00
3.500000e+04 9.168000e+03 7.332000e+01 6.633207e+00
3.750000e+04 9.379000e+03 6.936000e+01 6.892793e+00
4.000000e+04 9.575000e+03 6.584000e+01 7.152385e+00
4.500000e+04 9.926000e+03 5.985000e+01 7.661778e+00
5.000000e+04 1.023000e+04 5.493000e+01 8.151236e+00
5.500000e+04 1.050000e+04 5.081000e+01 8.630727e+00
6.000000e+04 1.074000e+04 4.731000e+01 9.100249e+00
6.500000e+04 1.095000e+04 4.429000e+01 9.559801e+00
7.000000e+04 1.113000e+04 4.166000e+01 1.000940e+01
8.000000e+04 1.145000e+04 3.730000e+01 1.088901e+01
9.000000e+04 1.170000e+04 3.381000e+01 1.174865e+01
1.000000e+05 1.189000e+04 3.096000e+01 1.259830e+01
1.100000e+05 1.204000e+04 2.859000e+01 1.342799e+01
1.200000e+05 1.216000e+04 2.657000e+01 1.424770e+01
