 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> febbraio 02, 2026 
 ==================================================================

 Disk File Name = SRIM Outputs\Beryllium in Ca- P- O- F-Cl- O- H.txt

 Ion = Beryllium [4] , Mass = 9,012 amu

 Target Density =  3,1500E+00 g/cm3 = 7,9660E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Ca     20    022,73    038,25   
      P     15    013,64    017,74   
      O      8    054,54    036,65   
      F      9    008,18    006,53   
     Cl     17    000,45    000,67   
      O      8    000,23    000,15   
      H      1    000,23    000,01   
 ====================================
 Bragg Correction = 0,00%
 Stopping Units =  keV / micron   
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  10,00 keV   6,030E+01  7,419E+01     429 A       261 A       197 A   
  11,00 keV   6,324E+01  7,202E+01     474 A       283 A       214 A   
  12,00 keV   6,605E+01  6,999E+01     519 A       305 A       232 A   
  13,00 keV   6,875E+01  6,808E+01     565 A       326 A       249 A   
  14,00 keV   7,135E+01  6,629E+01     610 A       347 A       266 A   
  15,00 keV   7,385E+01  6,461E+01     656 A       368 A       283 A   
  16,00 keV   7,627E+01  6,303E+01     703 A       388 A       300 A   
  17,00 keV   7,862E+01  6,153E+01     749 A       408 A       317 A   
  18,00 keV   8,090E+01  6,012E+01     796 A       428 A       334 A   
  20,00 keV   8,331E+01  5,752E+01     890 A       466 A       367 A   
  22,50 keV   8,709E+01  5,461E+01    1010 A       513 A       408 A   
  25,00 keV   9,149E+01  5,204E+01    1130 A       558 A       448 A   
  27,50 keV   9,639E+01  4,974E+01    1251 A       601 A       488 A   
  30,00 keV   1,017E+02  4,767E+01    1370 A       643 A       526 A   
  32,50 keV   1,073E+02  4,580E+01    1489 A       682 A       564 A   
  35,00 keV   1,130E+02  4,409E+01    1606 A       720 A       601 A   
  37,50 keV   1,188E+02  4,252E+01    1721 A       755 A       636 A   
