 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> febbraio 23, 2026 
 ==================================================================

 Disk File Name = SRIM Outputs\Boron in Ca- P- O- F-Cl- O- H.txt

 Ion = Boron [5] , Mass = 11,009 amu

 Target Density =  3,1500E+00 g/cm3 = 7,8943E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Ca     20    023,81    039,71   
      P     15    014,29    018,42   
      O      8    057,13    038,04   
      F      9    004,29    003,39   
     Cl     17    000,24    000,35   
      O      8    000,12    000,08   
      H      1    000,12    000,01   
 ====================================
 Bragg Correction = 0,00%
 Stopping Units =  keV / micron   
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  10,00 keV   8,918E+01  1,129E+02     317 A       183 A       136 A   
  11,00 keV   9,354E+01  1,102E+02     348 A       198 A       147 A   
  12,00 keV   9,770E+01  1,077E+02     380 A       212 A       159 A   
  13,00 keV   1,017E+02  1,053E+02     411 A       226 A       170 A   
  14,00 keV   1,055E+02  1,030E+02     443 A       240 A       181 A   
  15,00 keV   1,092E+02  1,008E+02     475 A       253 A       192 A   
  16,00 keV   1,128E+02  9,869E+01     506 A       267 A       202 A   
  17,00 keV   1,163E+02  9,669E+01     538 A       280 A       213 A   
  18,00 keV   1,197E+02  9,479E+01     570 A       292 A       224 A   
  20,00 keV   1,261E+02  9,123E+01     634 A       317 A       245 A   
  22,50 keV   1,335E+02  8,720E+01     714 A       347 A       270 A   
  25,00 keV   1,406E+02  8,357E+01     794 A       376 A       296 A   
  27,50 keV   1,486E+02  8,028E+01     873 A       403 A       320 A   
  30,00 keV   1,570E+02  7,728E+01     952 A       429 A       344 A   
  32,50 keV   1,656E+02  7,454E+01    1030 A       454 A       367 A   
  35,00 keV   1,742E+02  7,202E+01    1107 A       477 A       390 A   
  37,50 keV   1,828E+02  6,970E+01    1182 A       500 A       411 A   
