# Energy(keV)    dEe/dx(keV/micro_m)  dEn/dx(keV/micro_m)  x(micro_m)
1.000000e+01 5.903000e+01 1.359000e+03 9.906563e-03
1.100000e+01 6.192000e+01 1.392000e+03 1.051095e-02
1.200000e+01 6.467000e+01 1.422000e+03 1.105712e-02
1.300000e+01 6.731000e+01 1.449000e+03 1.162798e-02
1.400000e+01 6.985000e+01 1.473000e+03 1.223315e-02
1.500000e+01 7.230000e+01 1.495000e+03 1.277928e-02
1.600000e+01 7.467000e+01 1.516000e+03 1.329361e-02
1.700000e+01 7.697000e+01 1.535000e+03 1.386398e-02
1.800000e+01 7.920000e+01 1.552000e+03 1.437846e-02
2.000000e+01 8.349000e+01 1.583000e+03 1.543924e-02
2.250000e+01 8.855000e+01 1.616000e+03 1.673918e-02
2.500000e+01 9.334000e+01 1.644000e+03 1.800833e-02
2.750000e+01 9.790000e+01 1.668000e+03 1.928471e-02
3.000000e+01 1.023000e+02 1.688000e+03 2.055432e-02
3.250000e+01 1.064000e+02 1.705000e+03 2.170852e-02
3.500000e+01 1.104000e+02 1.720000e+03 2.297869e-02
3.750000e+01 1.143000e+02 1.733000e+03 2.416299e-02
4.000000e+01 1.181000e+02 1.744000e+03 2.543325e-02
4.500000e+01 1.252000e+02 1.762000e+03 2.776581e-02
5.000000e+01 1.320000e+02 1.775000e+03 3.007624e-02
5.500000e+01 1.385000e+02 1.784000e+03 3.240941e-02
6.000000e+01 1.446000e+02 1.790000e+03 3.472074e-02
6.500000e+01 1.505000e+02 1.794000e+03 3.705428e-02
7.000000e+01 1.562000e+02 1.796000e+03 3.936623e-02
8.000000e+01 1.670000e+02 1.796000e+03 4.398454e-02
9.000000e+01 1.771000e+02 1.791000e+03 4.851010e-02
1.000000e+02 1.867000e+02 1.783000e+03 5.313633e-02
1.100000e+02 1.958000e+02 1.773000e+03 5.775682e-02
1.200000e+02 2.045000e+02 1.761000e+03 6.235720e-02
1.300000e+02 2.129000e+02 1.749000e+03 6.695827e-02
1.400000e+02 2.209000e+02 1.735000e+03 7.155990e-02
1.500000e+02 2.286000e+02 1.720000e+03 7.627641e-02
1.600000e+02 2.381000e+02 1.706000e+03 8.097327e-02
1.700000e+02 2.530000e+02 1.691000e+03 8.567059e-02
1.800000e+02 2.654000e+02 1.676000e+03 9.036830e-02
