 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> febbraio 02, 2026 
 ==================================================================

 Disk File Name = SRIM Outputs\Bromine in Ca- P- O- F-Cl- O- H.txt

 Ion = Bromine [35] , Mass = 78,92 amu

 Target Density =  3,1500E+00 g/cm3 = 7,9660E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Ca     20    022,73    038,25   
      P     15    013,64    017,74   
      O      8    054,54    036,65   
      F      9    008,18    006,53   
     Cl     17    000,45    000,67   
      O      8    000,23    000,15   
      H      1    000,23    000,01   
 ====================================
 Bragg Correction = 0,00%
 Stopping Units =  keV / micron   
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  10,00 keV   5,897E+01  1,364E+03      90 A        32 A        25 A   
  11,00 keV   6,185E+01  1,397E+03      95 A        34 A        26 A   
  12,00 keV   6,460E+01  1,426E+03     101 A        36 A        27 A   
  13,00 keV   6,724E+01  1,453E+03     106 A        37 A        29 A   
  14,00 keV   6,977E+01  1,478E+03     112 A        39 A        30 A   
  15,00 keV   7,222E+01  1,500E+03     117 A        41 A        31 A   
  16,00 keV   7,459E+01  1,521E+03     122 A        42 A        32 A   
  17,00 keV   7,689E+01  1,540E+03     127 A        44 A        33 A   
  18,00 keV   7,912E+01  1,557E+03     132 A        45 A        35 A   
  20,00 keV   8,340E+01  1,588E+03     142 A        48 A        37 A   
  22,50 keV   8,846E+01  1,621E+03     154 A        51 A        40 A   
  25,00 keV   9,324E+01  1,649E+03     166 A        55 A        42 A   
  27,50 keV   9,779E+01  1,673E+03     178 A        58 A        45 A   
  30,00 keV   1,021E+02  1,693E+03     190 A        62 A        48 A   
  32,50 keV   1,063E+02  1,710E+03     201 A        65 A        50 A   
  35,00 keV   1,103E+02  1,725E+03     213 A        68 A        53 A   
  37,50 keV   1,142E+02  1,738E+03     224 A        71 A        55 A   
