 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> febbraio 02, 2026 
 ==================================================================

 Disk File Name = SRIM Outputs\Cadmium in Ca- P- O- F-Cl- O- H.txt

 Ion = Cadmium [48] , Mass = 113,903 amu

 Target Density =  3,1500E+00 g/cm3 = 7,9660E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Ca     20    022,73    038,25   
      P     15    013,64    017,74   
      O      8    054,54    036,65   
      F      9    008,18    006,53   
     Cl     17    000,45    000,67   
      O      8    000,23    000,15   
      H      1    000,23    000,01   
 ====================================
 Bragg Correction = 0,00%
 Stopping Units =  keV / micron   
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  10,00 keV   5,922E+01  1,610E+03      88 A        28 A        21 A   
  11,00 keV   6,211E+01  1,659E+03      93 A        30 A        23 A   
  12,00 keV   6,488E+01  1,704E+03      98 A        31 A        24 A   
  13,00 keV   6,752E+01  1,745E+03     103 A        32 A        25 A   
  14,00 keV   7,007E+01  1,783E+03     107 A        34 A        26 A   
  15,00 keV   7,253E+01  1,818E+03     112 A        35 A        27 A   
  16,00 keV   7,491E+01  1,851E+03     116 A        36 A        27 A   
  17,00 keV   7,722E+01  1,882E+03     121 A        37 A        28 A   
  18,00 keV   7,946E+01  1,911E+03     125 A        38 A        29 A   
  20,00 keV   8,375E+01  1,964E+03     133 A        40 A        31 A   
  22,50 keV   8,884E+01  2,021E+03     144 A        43 A        33 A   
  25,00 keV   9,364E+01  2,072E+03     154 A        45 A        35 A   
  27,50 keV   9,821E+01  2,117E+03     163 A        48 A        37 A   
  30,00 keV   1,026E+02  2,157E+03     173 A        50 A        39 A   
  32,50 keV   1,068E+02  2,192E+03     182 A        52 A        41 A   
  35,00 keV   1,108E+02  2,224E+03     192 A        55 A        43 A   
  37,50 keV   1,147E+02  2,253E+03     201 A        57 A        45 A   
