 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> febbraio 23, 2026 
 ==================================================================

 Disk File Name = SRIM Outputs\Calcium in Ca- P- O- F-Cl- O- H.txt

 Ion = Calcium [20] , Mass = 39,963 amu

 Target Density =  3,1500E+00 g/cm3 = 7,8943E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Ca     20    023,81    039,71   
      P     15    014,29    018,42   
      O      8    057,13    038,04   
      F      9    004,29    003,39   
     Cl     17    000,24    000,35   
      O      8    000,12    000,08   
      H      1    000,12    000,01   
 ====================================
 Bragg Correction = 0,00%
 Stopping Units =  keV / micron   
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  10,00 keV   8,644E+01  8,375E+02     106 A        47 A        35 A   
  11,00 keV   9,066E+01  8,475E+02     114 A        50 A        37 A   
  12,00 keV   9,469E+01  8,558E+02     122 A        53 A        39 A   
  13,00 keV   9,856E+01  8,627E+02     130 A        56 A        41 A   
  14,00 keV   1,023E+02  8,685E+02     137 A        59 A        44 A   
  15,00 keV   1,059E+02  8,733E+02     145 A        62 A        46 A   
  16,00 keV   1,093E+02  8,773E+02     153 A        65 A        48 A   
  17,00 keV   1,127E+02  8,806E+02     160 A        68 A        50 A   
  18,00 keV   1,160E+02  8,832E+02     168 A        71 A        52 A   
  20,00 keV   1,222E+02  8,870E+02     183 A        76 A        56 A   
  22,50 keV   1,297E+02  8,893E+02     202 A        83 A        61 A   
  25,00 keV   1,367E+02  8,898E+02     221 A        90 A        66 A   
  27,50 keV   1,433E+02  8,887E+02     239 A        97 A        70 A   
  30,00 keV   1,497E+02  8,866E+02     258 A       103 A        75 A   
  32,50 keV   1,558E+02  8,836E+02     277 A       110 A        80 A   
  35,00 keV   1,617E+02  8,800E+02     296 A       116 A        84 A   
  37,50 keV   1,674E+02  8,758E+02     315 A       123 A        89 A   
