 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> febbraio 02, 2026 
 ==================================================================

 Disk File Name = SRIM Outputs\Carbon in Ca- P- O- F-Cl- O- H.txt

 Ion = Carbon [6] , Mass = 12 amu

 Target Density =  3,1500E+00 g/cm3 = 7,9660E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Ca     20    022,73    038,25   
      P     15    013,64    017,74   
      O      8    054,54    036,65   
      F      9    008,18    006,53   
     Cl     17    000,45    000,67   
      O      8    000,23    000,15   
      H      1    000,23    000,01   
 ====================================
 Bragg Correction = 0,00%
 Stopping Units =  keV / micron   
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  10,00 keV   9,402E+01  1,487E+02     268 A       155 A       114 A   
  11,00 keV   9,860E+01  1,458E+02     294 A       167 A       123 A   
  12,00 keV   1,030E+02  1,430E+02     320 A       180 A       133 A   
  13,00 keV   1,072E+02  1,403E+02     346 A       192 A       142 A   
  14,00 keV   1,112E+02  1,377E+02     372 A       204 A       151 A   
  15,00 keV   1,151E+02  1,351E+02     399 A       215 A       160 A   
  16,00 keV   1,189E+02  1,327E+02     425 A       227 A       169 A   
  17,00 keV   1,226E+02  1,304E+02     452 A       238 A       178 A   
  18,00 keV   1,261E+02  1,281E+02     478 A       249 A       187 A   
  20,00 keV   1,330E+02  1,238E+02     532 A       271 A       205 A   
  22,50 keV   1,410E+02  1,189E+02     599 A       297 A       226 A   
  25,00 keV   1,493E+02  1,145E+02     666 A       323 A       248 A   
  27,50 keV   1,580E+02  1,104E+02     733 A       347 A       269 A   
  30,00 keV   1,660E+02  1,066E+02     799 A       371 A       289 A   
  32,50 keV   1,735E+02  1,031E+02     866 A       393 A       309 A   
  35,00 keV   1,807E+02  9,994E+01     932 A       415 A       329 A   
  37,50 keV   1,878E+02  9,696E+01     997 A       436 A       348 A   
