# Energy(keV)    dEe/dx(keV/micro_m)  dEn/dx(keV/micro_m)  x(micro_m)
1.000000e+01 5.929000e+01 1.605000e+03 9.523130e-03
1.100000e+01 6.218000e+01 1.654000e+03 1.003892e-02
1.200000e+01 6.495000e+01 1.699000e+03 1.055509e-02
1.300000e+01 6.760000e+01 1.740000e+03 1.110090e-02
1.400000e+01 7.015000e+01 1.778000e+03 1.161723e-02
1.500000e+01 7.261000e+01 1.813000e+03 1.204076e-02
1.600000e+01 7.499000e+01 1.846000e+03 1.246435e-02
1.700000e+01 7.730000e+01 1.877000e+03 1.298114e-02
1.800000e+01 7.954000e+01 1.906000e+03 1.340485e-02
2.000000e+01 8.385000e+01 1.958000e+03 1.435200e-02
2.250000e+01 8.893000e+01 2.016000e+03 1.538636e-02
2.500000e+01 9.374000e+01 2.067000e+03 1.647058e-02
2.750000e+01 9.832000e+01 2.111000e+03 1.750543e-02
3.000000e+01 1.027000e+02 2.151000e+03 1.845291e-02
3.250000e+01 1.069000e+02 2.187000e+03 1.948820e-02
3.500000e+01 1.109000e+02 2.219000e+03 2.042988e-02
3.750000e+01 1.148000e+02 2.248000e+03 2.137171e-02
4.000000e+01 1.186000e+02 2.275000e+03 2.234032e-02
4.500000e+01 1.258000e+02 2.321000e+03 2.420331e-02
5.000000e+01 1.326000e+02 2.359000e+03 2.608754e-02
5.500000e+01 1.390000e+02 2.392000e+03 2.785714e-02
6.000000e+01 1.452000e+02 2.420000e+03 2.964743e-02
6.500000e+01 1.512000e+02 2.443000e+03 3.141735e-02
7.000000e+01 1.569000e+02 2.464000e+03 3.318750e-02
8.000000e+01 1.677000e+02 2.496000e+03 3.663359e-02
9.000000e+01 1.779000e+02 2.519000e+03 4.005521e-02
1.000000e+02 1.875000e+02 2.536000e+03 4.338260e-02
1.100000e+02 1.966000e+02 2.548000e+03 4.682969e-02
1.200000e+02 2.054000e+02 2.556000e+03 5.015765e-02
1.300000e+02 2.138000e+02 2.560000e+03 5.348589e-02
1.400000e+02 2.218000e+02 2.561000e+03 5.679525e-02
1.500000e+02 2.296000e+02 2.561000e+03 6.012396e-02
1.600000e+02 2.372000e+02 2.558000e+03 6.341057e-02
1.700000e+02 2.445000e+02 2.554000e+03 6.673972e-02
1.800000e+02 2.515000e+02 2.549000e+03 7.005034e-02
2.000000e+02 2.652000e+02 2.536000e+03 7.669068e-02
2.250000e+02 2.812000e+02 2.515000e+03 8.496670e-02
2.500000e+02 2.989000e+02 2.491000e+03 9.333493e-02
2.750000e+02 3.142000e+02 2.465000e+03 1.017085e-01
3.000000e+02 3.284000e+02 2.438000e+03 1.101567e-01
3.250000e+02 3.424000e+02 2.410000e+03 1.186276e-01
3.500000e+02 3.569000e+02 2.382000e+03 1.270774e-01
3.750000e+02 3.719000e+02 2.354000e+03 1.357201e-01
4.000000e+02 3.877000e+02 2.326000e+03 1.442887e-01
4.500000e+02 4.206000e+02 2.270000e+03 1.616735e-01
5.000000e+02 4.546000e+02 2.217000e+03 1.792532e-01
5.500000e+02 4.890000e+02 2.165000e+03 1.969313e-01
6.000000e+02 5.233000e+02 2.116000e+03 2.147836e-01
6.500000e+02 5.571000e+02 2.068000e+03 2.327384e-01
7.000000e+02 5.904000e+02 2.023000e+03 2.507675e-01
8.000000e+02 6.546000e+02 1.939000e+03 2.871406e-01
9.000000e+02 7.155000e+02 1.862000e+03 3.238869e-01
1.000000e+03 7.731000e+02 1.792000e+03 3.608568e-01
1.100000e+03 8.275000e+02 1.728000e+03 3.980264e-01
1.200000e+03 8.791000e+02 1.669000e+03 4.353584e-01
1.300000e+03 9.283000e+02 1.614000e+03 4.728389e-01
1.400000e+03 9.754000e+02 1.564000e+03 5.104218e-01
1.500000e+03 1.021000e+03 1.517000e+03 5.480716e-01
