# Energy(keV)    dEe/dx(keV/micro_m)  dEn/dx(keV/micro_m)  x(micro_m)
1.000000e+01 5.043000e+01 1.721000e+03 9.606768e-03
1.100000e+01 5.289000e+01 1.779000e+03 1.005883e-02
1.200000e+01 5.524000e+01 1.833000e+03 1.057592e-02
1.300000e+01 5.749000e+01 1.883000e+03 1.099955e-02
1.400000e+01 5.967000e+01 1.929000e+03 1.151694e-02
1.500000e+01 6.176000e+01 1.972000e+03 1.194069e-02
1.600000e+01 6.378000e+01 2.013000e+03 1.236447e-02
1.700000e+01 6.575000e+01 2.051000e+03 1.278828e-02
1.800000e+01 6.765000e+01 2.087000e+03 1.319129e-02
2.000000e+01 7.131000e+01 2.153000e+03 1.403887e-02
2.250000e+01 7.564000e+01 2.226000e+03 1.507481e-02
2.500000e+01 7.973000e+01 2.292000e+03 1.601687e-02
2.750000e+01 8.362000e+01 2.350000e+03 1.698529e-02
3.000000e+01 8.734000e+01 2.403000e+03 1.790698e-02
3.250000e+01 9.091000e+01 2.451000e+03 1.884914e-02
3.500000e+01 9.434000e+01 2.495000e+03 1.969695e-02
3.750000e+01 9.765000e+01 2.535000e+03 2.059369e-02
4.000000e+01 1.009000e+02 2.572000e+03 2.144155e-02
4.500000e+01 1.070000e+02 2.638000e+03 2.311731e-02
5.000000e+01 1.128000e+02 2.694000e+03 2.476833e-02
5.500000e+01 1.183000e+02 2.744000e+03 2.644428e-02
6.000000e+01 1.235000e+02 2.787000e+03 2.798142e-02
6.500000e+01 1.286000e+02 2.825000e+03 2.953828e-02
7.000000e+01 1.334000e+02 2.859000e+03 3.111929e-02
8.000000e+01 1.426000e+02 2.916000e+03 3.411906e-02
9.000000e+01 1.513000e+02 2.962000e+03 3.711940e-02
1.000000e+02 1.595000e+02 2.999000e+03 4.012019e-02
1.100000e+02 1.672000e+02 3.029000e+03 4.302581e-02
1.200000e+02 1.747000e+02 3.053000e+03 4.593158e-02
1.300000e+02 1.818000e+02 3.072000e+03 4.871920e-02
1.400000e+02 1.887000e+02 3.088000e+03 5.160698e-02
1.500000e+02 1.953000e+02 3.100000e+03 5.439513e-02
1.600000e+02 2.017000e+02 3.110000e+03 5.730148e-02
1.700000e+02 2.079000e+02 3.117000e+03 6.007196e-02
1.800000e+02 2.139000e+02 3.122000e+03 6.288259e-02
2.000000e+02 2.255000e+02 3.128000e+03 6.842470e-02
2.250000e+02 2.392000e+02 3.127000e+03 7.535542e-02
2.500000e+02 2.521000e+02 3.120000e+03 8.236128e-02
2.750000e+02 2.644000e+02 3.108000e+03 8.927155e-02
3.000000e+02 2.951000e+02 3.093000e+03 9.624058e-02
3.250000e+02 3.215000e+02 3.076000e+03 1.031518e-01
3.500000e+02 3.414000e+02 3.057000e+03 1.101429e-01
3.750000e+02 3.572000e+02 3.036000e+03 1.170175e-01
4.000000e+02 3.705000e+02 3.015000e+03 1.240058e-01
4.500000e+02 3.933000e+02 2.969000e+03 1.379706e-01
5.000000e+02 4.145000e+02 2.923000e+03 1.520334e-01
5.500000e+02 4.356000e+02 2.876000e+03 1.662873e-01
6.000000e+02 4.572000e+02 2.829000e+03 1.806425e-01
6.500000e+02 4.795000e+02 2.783000e+03 1.951732e-01
7.000000e+02 5.026000e+02 2.738000e+03 2.097052e-01
8.000000e+02 5.508000e+02 2.652000e+03 2.392758e-01
9.000000e+02 6.010000e+02 2.570000e+03 2.691374e-01
1.000000e+03 6.522000e+02 2.493000e+03 2.993574e-01
1.100000e+03 7.036000e+02 2.420000e+03 3.298692e-01
1.200000e+03 7.547000e+02 2.352000e+03 3.604665e-01
1.300000e+03 8.052000e+02 2.289000e+03 3.913238e-01
1.400000e+03 8.546000e+02 2.229000e+03 4.223935e-01
1.500000e+03 9.029000e+02 2.172000e+03 4.534513e-01
1.600000e+03 9.500000e+02 2.119000e+03 4.846730e-01
