 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> febbraio 02, 2026 
 ==================================================================

 Disk File Name = SRIM Outputs\Chlorine in Ca- P- O- F-Cl- O- H.txt

 Ion = Chlorine [17] , Mass = 34,969 amu

 Target Density =  3,1500E+00 g/cm3 = 7,9660E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Ca     20    022,73    038,25   
      P     15    013,64    017,74   
      O      8    054,54    036,65   
      F      9    008,18    006,53   
     Cl     17    000,45    000,67   
      O      8    000,23    000,15   
      H      1    000,23    000,01   
 ====================================
 Bragg Correction = 0,00%
 Stopping Units =  keV / micron   
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  10,00 keV   1,207E+02  7,126E+02     113 A        51 A        38 A   
  11,00 keV   1,265E+02  7,186E+02     122 A        55 A        40 A   
  12,00 keV   1,322E+02  7,232E+02     131 A        58 A        43 A   
  13,00 keV   1,376E+02  7,268E+02     139 A        61 A        45 A   
  14,00 keV   1,428E+02  7,296E+02     148 A        65 A        47 A   
  15,00 keV   1,478E+02  7,315E+02     157 A        68 A        50 A   
  16,00 keV   1,526E+02  7,329E+02     165 A        71 A        52 A   
  17,00 keV   1,573E+02  7,338E+02     173 A        74 A        54 A   
  18,00 keV   1,619E+02  7,342E+02     182 A        77 A        57 A   
  20,00 keV   1,706E+02  7,339E+02     199 A        84 A        61 A   
  22,50 keV   1,810E+02  7,320E+02     220 A        91 A        67 A   
  25,00 keV   1,908E+02  7,287E+02     241 A        99 A        72 A   
  27,50 keV   2,001E+02  7,246E+02     262 A       106 A        77 A   
  30,00 keV   2,090E+02  7,199E+02     282 A       114 A        83 A   
  32,50 keV   2,175E+02  7,146E+02     303 A       121 A        88 A   
  35,00 keV   2,257E+02  7,090E+02     324 A       128 A        93 A   
  37,50 keV   2,337E+02  7,032E+02     345 A       135 A        98 A   
