 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> febbraio 23, 2026 
 ==================================================================

 Disk File Name = SRIM Outputs\Chromium in Ca- P- O- F-Cl- O- H.txt

 Ion = Chromium [24] , Mass = 51,94 amu

 Target Density =  3,1500E+00 g/cm3 = 7,8943E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Ca     20    023,81    039,71   
      P     15    014,29    018,42   
      O      8    057,13    038,04   
      F      9    004,29    003,39   
     Cl     17    000,24    000,35   
      O      8    000,12    000,08   
      H      1    000,12    000,01   
 ====================================
 Bragg Correction = 0,00%
 Stopping Units =  keV / micron   
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  10,00 keV   7,746E+01  1,017E+03      99 A        40 A        30 A   
  11,00 keV   8,124E+01  1,034E+03     106 A        43 A        32 A   
  12,00 keV   8,485E+01  1,048E+03     113 A        45 A        34 A   
  13,00 keV   8,831E+01  1,061E+03     119 A        48 A        36 A   
  14,00 keV   9,165E+01  1,072E+03     126 A        50 A        38 A   
  15,00 keV   9,486E+01  1,082E+03     133 A        52 A        39 A   
  16,00 keV   9,798E+01  1,091E+03     139 A        55 A        41 A   
  17,00 keV   1,010E+02  1,098E+03     146 A        57 A        43 A   
  18,00 keV   1,039E+02  1,105E+03     152 A        59 A        44 A   
  20,00 keV   1,095E+02  1,116E+03     165 A        63 A        47 A   
  22,50 keV   1,162E+02  1,127E+03     181 A        69 A        51 A   
  25,00 keV   1,225E+02  1,135E+03     197 A        74 A        55 A   
  27,50 keV   1,284E+02  1,140E+03     213 A        79 A        59 A   
  30,00 keV   1,342E+02  1,143E+03     228 A        84 A        63 A   
  32,50 keV   1,396E+02  1,145E+03     244 A        89 A        67 A   
  35,00 keV   1,449E+02  1,146E+03     260 A        94 A        70 A   
  37,50 keV   1,500E+02  1,146E+03     275 A        99 A        74 A   
