 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> febbraio 23, 2026 
 ==================================================================

 Disk File Name = SRIM Outputs\Cobalt in Ca- P- O- F-Cl- O- H.txt

 Ion = Cobalt [27] , Mass = 58,93 amu

 Target Density =  3,1500E+00 g/cm3 = 7,8943E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Ca     20    023,81    039,71   
      P     15    014,29    018,42   
      O      8    057,13    038,04   
      F      9    004,29    003,39   
     Cl     17    000,24    000,35   
      O      8    000,12    000,08   
      H      1    000,12    000,01   
 ====================================
 Bragg Correction = 0,00%
 Stopping Units =  keV / micron   
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  10,00 keV   5,690E+01  1,125E+03      96 A        38 A        29 A   
  11,00 keV   5,968E+01  1,146E+03     102 A        40 A        30 A   
  12,00 keV   6,233E+01  1,165E+03     109 A        42 A        32 A   
  13,00 keV   6,487E+01  1,182E+03     115 A        45 A        34 A   
  14,00 keV   6,732E+01  1,196E+03     121 A        47 A        35 A   
  15,00 keV   6,969E+01  1,210E+03     127 A        49 A        37 A   
  16,00 keV   7,197E+01  1,222E+03     134 A        51 A        38 A   
  17,00 keV   7,419E+01  1,232E+03     140 A        53 A        40 A   
  18,00 keV   7,634E+01  1,242E+03     146 A        55 A        41 A   
  20,00 keV   8,047E+01  1,258E+03     158 A        59 A        44 A   
  22,50 keV   8,535E+01  1,275E+03     172 A        63 A        48 A   
  25,00 keV   8,996E+01  1,288E+03     187 A        68 A        51 A   
  27,50 keV   9,436E+01  1,298E+03     201 A        73 A        55 A   
  30,00 keV   9,855E+01  1,306E+03     216 A        77 A        58 A   
  32,50 keV   1,026E+02  1,312E+03     230 A        82 A        62 A   
  35,00 keV   1,064E+02  1,316E+03     245 A        86 A        65 A   
  37,50 keV   1,102E+02  1,319E+03     259 A        91 A        68 A   
