 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> febbraio 02, 2026 
 ==================================================================

 Disk File Name = SRIM Outputs\Copper in Ca- P- O- F-Cl- O- H.txt

 Ion = Copper [29] , Mass = 62,93 amu

 Target Density =  3,1500E+00 g/cm3 = 7,9660E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Ca     20    022,73    038,25   
      P     15    013,64    017,74   
      O      8    054,54    036,65   
      F      9    008,18    006,53   
     Cl     17    000,45    000,67   
      O      8    000,23    000,15   
      H      1    000,23    000,01   
 ====================================
 Bragg Correction = 0,00%
 Stopping Units =  keV / micron   
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  10,00 keV   4,364E+01  1,193E+03      94 A        37 A        28 A   
  11,00 keV   4,577E+01  1,217E+03     100 A        39 A        29 A   
  12,00 keV   4,780E+01  1,239E+03     106 A        41 A        31 A   
  13,00 keV   4,975E+01  1,258E+03     113 A        43 A        32 A   
  14,00 keV   5,163E+01  1,275E+03     119 A        45 A        34 A   
  15,00 keV   5,344E+01  1,290E+03     124 A        47 A        35 A   
  16,00 keV   5,520E+01  1,304E+03     130 A        48 A        37 A   
  17,00 keV   5,690E+01  1,317E+03     136 A        50 A        38 A   
  18,00 keV   5,855E+01  1,328E+03     142 A        52 A        40 A   
  20,00 keV   6,171E+01  1,348E+03     153 A        56 A        42 A   
  22,50 keV   6,546E+01  1,369E+03     167 A        60 A        46 A   
  25,00 keV   6,900E+01  1,385E+03     181 A        65 A        49 A   
  27,50 keV   7,236E+01  1,398E+03     195 A        69 A        52 A   
  30,00 keV   7,558E+01  1,409E+03     209 A        73 A        56 A   
  32,50 keV   7,867E+01  1,417E+03     223 A        77 A        59 A   
  35,00 keV   8,164E+01  1,424E+03     236 A        82 A        62 A   
  37,50 keV   8,450E+01  1,429E+03     250 A        86 A        65 A   
