# Energy(keV)    dEe/dx(keV/micro_m)  dEn/dx(keV/micro_m)  x(micro_m)
1.000000e+01 5.596000e+01 1.690000e+03 9.563472e-03
1.100000e+01 5.869000e+01 1.746000e+03 1.008018e-02
1.200000e+01 6.130000e+01 1.797000e+03 1.059717e-02
1.300000e+01 6.381000e+01 1.844000e+03 1.102089e-02
1.400000e+01 6.622000e+01 1.888000e+03 1.151694e-02
1.500000e+01 6.854000e+01 1.929000e+03 1.194069e-02
1.600000e+01 7.079000e+01 1.968000e+03 1.236447e-02
1.700000e+01 7.297000e+01 2.004000e+03 1.281601e-02
1.800000e+01 7.508000e+01 2.038000e+03 1.323971e-02
2.000000e+01 7.914000e+01 2.100000e+03 1.415380e-02
2.250000e+01 8.394000e+01 2.169000e+03 1.510166e-02
2.500000e+01 8.848000e+01 2.231000e+03 1.613753e-02
2.750000e+01 9.280000e+01 2.285000e+03 1.707952e-02
3.000000e+01 9.693000e+01 2.335000e+03 1.802165e-02
3.250000e+01 1.009000e+02 2.379000e+03 1.896391e-02
3.500000e+01 1.047000e+02 2.420000e+03 1.988592e-02
3.750000e+01 1.084000e+02 2.457000e+03 2.073379e-02
4.000000e+01 1.119000e+02 2.491000e+03 2.167625e-02
4.500000e+01 1.187000e+02 2.551000e+03 2.335187e-02
5.000000e+01 1.251000e+02 2.602000e+03 2.502758e-02
5.500000e+01 1.312000e+02 2.647000e+03 2.667846e-02
6.000000e+01 1.371000e+02 2.686000e+03 2.835436e-02
6.500000e+01 1.427000e+02 2.720000e+03 3.000583e-02
7.000000e+01 1.481000e+02 2.750000e+03 3.156739e-02
8.000000e+01 1.583000e+02 2.800000e+03 3.468112e-02
9.000000e+01 1.679000e+02 2.840000e+03 3.780000e-02
1.000000e+02 1.770000e+02 2.871000e+03 4.081924e-02
1.100000e+02 1.856000e+02 2.895000e+03 4.391515e-02
1.200000e+02 1.939000e+02 2.915000e+03 4.682062e-02
1.300000e+02 2.018000e+02 2.930000e+03 4.982178e-02
1.400000e+02 2.094000e+02 2.941000e+03 5.280473e-02
