 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> febbraio 02, 2026 
 ==================================================================

 Disk File Name = SRIM Outputs\Fluorine in Ca- P- O- F-Cl- O- H.txt

 Ion = Fluorine [9] , Mass = 18,998 amu

 Target Density =  3,1500E+00 g/cm3 = 7,9660E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Ca     20    022,73    038,25   
      P     15    013,64    017,74   
      O      8    054,54    036,65   
      F      9    008,18    006,53   
     Cl     17    000,45    000,67   
      O      8    000,23    000,15   
      H      1    000,23    000,01   
 ====================================
 Bragg Correction = 0,00%
 Stopping Units =  keV / micron   
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  10,00 keV   7,985E+01  3,072E+02     187 A       101 A        72 A   
  11,00 keV   8,375E+01  3,048E+02     205 A       109 A        78 A   
  12,00 keV   8,747E+01  3,022E+02     222 A       117 A        83 A   
  13,00 keV   9,104E+01  2,994E+02     239 A       125 A        89 A   
  14,00 keV   9,448E+01  2,965E+02     257 A       133 A        94 A   
  15,00 keV   9,780E+01  2,936E+02     274 A       141 A       100 A   
  16,00 keV   1,010E+02  2,906E+02     292 A       148 A       105 A   
  17,00 keV   1,041E+02  2,877E+02     309 A       156 A       111 A   
  18,00 keV   1,071E+02  2,847E+02     327 A       164 A       116 A   
  20,00 keV   1,129E+02  2,789E+02     363 A       179 A       127 A   
  22,50 keV   1,198E+02  2,718E+02     408 A       198 A       141 A   
  25,00 keV   1,263E+02  2,651E+02     454 A       217 A       154 A   
  27,50 keV   1,324E+02  2,586E+02     500 A       235 A       168 A   
  30,00 keV   1,383E+02  2,524E+02     546 A       253 A       181 A   
  32,50 keV   1,440E+02  2,465E+02     593 A       271 A       195 A   
  35,00 keV   1,494E+02  2,409E+02     640 A       289 A       208 A   
  37,50 keV   1,546E+02  2,356E+02     688 A       306 A       222 A   
