# Energy(keV)    dEe/dx(keV/micro_m)  dEn/dx(keV/micro_m)  x(micro_m)
1.000000e+01 6.642000e+01 1.251000e+03 1.018086e-02
1.100000e+01 6.966000e+01 1.279000e+03 1.084297e-02
1.200000e+01 7.276000e+01 1.303000e+03 1.144596e-02
1.300000e+01 7.573000e+01 1.325000e+03 1.201749e-02
1.400000e+01 7.859000e+01 1.345000e+03 1.265425e-02
1.500000e+01 8.135000e+01 1.363000e+03 1.329135e-02
1.600000e+01 8.402000e+01 1.379000e+03 1.382968e-02
1.700000e+01 8.660000e+01 1.394000e+03 1.446686e-02
1.800000e+01 8.911000e+01 1.408000e+03 1.501299e-02
2.000000e+01 9.393000e+01 1.431000e+03 1.618889e-02
2.250000e+01 9.963000e+01 1.456000e+03 1.758010e-02
2.500000e+01 1.050000e+02 1.477000e+03 1.897156e-02
2.750000e+01 1.101000e+02 1.494000e+03 2.036320e-02
3.000000e+01 1.150000e+02 1.507000e+03 2.166310e-02
3.250000e+01 1.197000e+02 1.519000e+03 2.302390e-02
3.500000e+01 1.243000e+02 1.528000e+03 2.439242e-02
3.750000e+01 1.286000e+02 1.536000e+03 2.569241e-02
4.000000e+01 1.328000e+02 1.543000e+03 2.696182e-02
4.500000e+01 1.409000e+02 1.552000e+03 2.960084e-02
5.000000e+01 1.485000e+02 1.557000e+03 3.226345e-02
5.500000e+01 1.558000e+02 1.560000e+03 3.481077e-02
6.000000e+01 1.627000e+02 1.560000e+03 3.735840e-02
6.500000e+01 1.693000e+02 1.559000e+03 3.999925e-02
7.000000e+01 1.757000e+02 1.556000e+03 4.254739e-02
8.000000e+01 1.879000e+02 1.547000e+03 4.770849e-02
9.000000e+01 1.993000e+02 1.536000e+03 5.289924e-02
1.000000e+02 2.100000e+02 1.522000e+03 5.806212e-02
1.100000e+02 2.203000e+02 1.507000e+03 6.329826e-02
1.200000e+02 2.301000e+02 1.491000e+03 6.855640e-02
1.300000e+02 2.395000e+02 1.475000e+03 7.379444e-02
1.400000e+02 2.505000e+02 1.458000e+03 7.914771e-02
