 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> febbraio 02, 2026 
 ==================================================================

 Disk File Name = SRIM Outputs\Gadolinium in Ca- P- O- F-Cl- O- H.txt

 Ion = Gadolinium [64] , Mass = 157,924 amu

 Target Density =  3,1500E+00 g/cm3 = 7,9660E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Ca     20    022,73    038,25   
      P     15    013,64    017,74   
      O      8    054,54    036,65   
      F      9    008,18    006,53   
     Cl     17    000,45    000,67   
      O      8    000,23    000,15   
      H      1    000,23    000,01   
 ====================================
 Bragg Correction = 0,00%
 Stopping Units =  keV / micron   
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  10,00 keV   1,337E+02  1,769E+03      88 A        25 A        19 A   
  11,00 keV   1,402E+02  1,833E+03      92 A        26 A        19 A   
  12,00 keV   1,465E+02  1,891E+03      97 A        27 A        20 A   
  13,00 keV   1,524E+02  1,945E+03     101 A        28 A        21 A   
  14,00 keV   1,582E+02  1,996E+03     105 A        29 A        22 A   
  15,00 keV   1,637E+02  2,043E+03     109 A        30 A        23 A   
  16,00 keV   1,691E+02  2,088E+03     113 A        31 A        23 A   
  17,00 keV   1,743E+02  2,130E+03     117 A        32 A        24 A   
  18,00 keV   1,794E+02  2,169E+03     121 A        33 A        25 A   
  20,00 keV   1,891E+02  2,243E+03     128 A        34 A        26 A   
  22,50 keV   2,005E+02  2,325E+03     137 A        36 A        28 A   
  25,00 keV   2,114E+02  2,398E+03     145 A        38 A        29 A   
  27,50 keV   2,217E+02  2,464E+03     154 A        40 A        31 A   
  30,00 keV   2,316E+02  2,525E+03     162 A        42 A        32 A   
  32,50 keV   2,410E+02  2,579E+03     170 A        43 A        34 A   
  35,00 keV   2,501E+02  2,630E+03     178 A        45 A        35 A   
  37,50 keV   2,589E+02  2,676E+03     185 A        47 A        37 A   
