 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> febbraio 23, 2026 
 ==================================================================

 Disk File Name = SRIM Outputs\Gallium in Ca- P- O- F-Cl- O- H.txt

 Ion = Gallium [31] , Mass = 68,93 amu

 Target Density =  3,1500E+00 g/cm3 = 7,8943E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Ca     20    023,81    039,71   
      P     15    014,29    018,42   
      O      8    057,13    038,04   
      F      9    004,29    003,39   
     Cl     17    000,24    000,35   
      O      8    000,12    000,08   
      H      1    000,12    000,01   
 ====================================
 Bragg Correction = 0,00%
 Stopping Units =  keV / micron   
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  10,00 keV   6,642E+01  1,251E+03      92 A        35 A        26 A   
  11,00 keV   6,966E+01  1,279E+03      98 A        37 A        28 A   
  12,00 keV   7,276E+01  1,303E+03     104 A        38 A        29 A   
  13,00 keV   7,573E+01  1,325E+03     109 A        40 A        31 A   
  14,00 keV   7,859E+01  1,345E+03     115 A        42 A        32 A   
  15,00 keV   8,135E+01  1,363E+03     121 A        44 A        33 A   
  16,00 keV   8,402E+01  1,379E+03     126 A        45 A        35 A   
  17,00 keV   8,660E+01  1,394E+03     132 A        47 A        36 A   
  18,00 keV   8,911E+01  1,408E+03     137 A        49 A        37 A   
  20,00 keV   9,393E+01  1,431E+03     148 A        52 A        40 A   
  22,50 keV   9,963E+01  1,456E+03     161 A        56 A        43 A   
  25,00 keV   1,050E+02  1,477E+03     174 A        60 A        46 A   
  27,50 keV   1,101E+02  1,494E+03     187 A        64 A        49 A   
  30,00 keV   1,150E+02  1,507E+03     199 A        68 A        52 A   
  32,50 keV   1,197E+02  1,519E+03     212 A        71 A        55 A   
  35,00 keV   1,243E+02  1,528E+03     225 A        75 A        57 A   
  37,50 keV   1,286E+02  1,536E+03     237 A        79 A        60 A   
