# Energy(keV)    dEe/dx(keV/micro_m)  dEn/dx(keV/micro_m)  x(micro_m)
1.000000e+01 5.375000e+01 1.284000e+03 1.023768e-02
1.100000e+01 5.637000e+01 1.313000e+03 1.078378e-02
1.200000e+01 5.888000e+01 1.339000e+03 1.144596e-02
1.300000e+01 6.128000e+01 1.363000e+03 1.208305e-02
1.400000e+01 6.359000e+01 1.384000e+03 1.259643e-02
1.500000e+01 6.583000e+01 1.403000e+03 1.325858e-02
1.600000e+01 6.799000e+01 1.421000e+03 1.380471e-02
1.700000e+01 7.008000e+01 1.437000e+03 1.441007e-02
1.800000e+01 7.211000e+01 1.452000e+03 1.498065e-02
2.000000e+01 7.601000e+01 1.478000e+03 1.613258e-02
2.250000e+01 8.062000e+01 1.506000e+03 1.752427e-02
2.500000e+01 8.498000e+01 1.529000e+03 1.891613e-02
2.750000e+01 8.913000e+01 1.548000e+03 2.018514e-02
3.000000e+01 9.309000e+01 1.564000e+03 2.157730e-02
3.250000e+01 9.690000e+01 1.578000e+03 2.287728e-02
3.500000e+01 1.006000e+02 1.589000e+03 2.421590e-02
3.750000e+01 1.041000e+02 1.598000e+03 2.551588e-02
4.000000e+01 1.075000e+02 1.606000e+03 2.678582e-02
4.500000e+01 1.140000e+02 1.619000e+03 2.933292e-02
5.000000e+01 1.202000e+02 1.627000e+03 3.188040e-02
5.500000e+01 1.261000e+02 1.632000e+03 3.439898e-02
6.000000e+01 1.317000e+02 1.634000e+03 3.694712e-02
6.500000e+01 1.370000e+02 1.634000e+03 3.949544e-02
7.000000e+01 1.422000e+02 1.633000e+03 4.201524e-02
8.000000e+01 1.520000e+02 1.627000e+03 4.708429e-02
9.000000e+01 1.612000e+02 1.618000e+03 5.213262e-02
1.000000e+02 1.700000e+02 1.606000e+03 5.720297e-02
1.100000e+02 1.783000e+02 1.593000e+03 6.231902e-02
1.200000e+02 1.862000e+02 1.579000e+03 6.746355e-02
1.300000e+02 1.938000e+02 1.563000e+03 7.260868e-02
1.400000e+02 2.011000e+02 1.548000e+03 7.774760e-02
1.500000e+02 2.062000e+02 1.532000e+03 8.298777e-02
1.600000e+02 2.057000e+02 1.516000e+03 8.820181e-02
1.700000e+02 2.074000e+02 1.500000e+03 9.353732e-02
1.800000e+02 2.108000e+02 1.484000e+03 9.898737e-02
2.000000e+02 2.210000e+02 1.453000e+03 1.098233e-01
2.250000e+02 2.379000e+02 1.414000e+03 1.235891e-01
2.500000e+02 2.576000e+02 1.378000e+03 1.376603e-01
2.750000e+02 2.783000e+02 1.343000e+03 1.517333e-01
3.000000e+02 2.993000e+02 1.310000e+03 1.660677e-01
3.250000e+02 3.198000e+02 1.279000e+03 1.804040e-01
3.500000e+02 3.396000e+02 1.249000e+03 1.949080e-01
3.750000e+02 3.585000e+02 1.221000e+03 2.095333e-01
4.000000e+02 3.765000e+02 1.194000e+03 2.243268e-01
