 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> febbraio 23, 2026 
 ==================================================================

 Disk File Name = SRIM Outputs\Germanium in Ca- P- O- F-Cl- O- H.txt

 Ion = Germanium [32] , Mass = 73,92 amu

 Target Density =  3,1500E+00 g/cm3 = 7,8943E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Ca     20    023,81    039,71   
      P     15    014,29    018,42   
      O      8    057,13    038,04   
      F      9    004,29    003,39   
     Cl     17    000,24    000,35   
      O      8    000,12    000,08   
      H      1    000,12    000,01   
 ====================================
 Bragg Correction = 0,00%
 Stopping Units =  keV / micron   
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  10,00 keV   5,375E+01  1,284E+03      93 A        34 A        26 A   
  11,00 keV   5,637E+01  1,313E+03      98 A        36 A        27 A   
  12,00 keV   5,888E+01  1,339E+03     104 A        38 A        29 A   
  13,00 keV   6,128E+01  1,363E+03     110 A        40 A        30 A   
  14,00 keV   6,359E+01  1,384E+03     115 A        41 A        31 A   
  15,00 keV   6,583E+01  1,403E+03     121 A        43 A        33 A   
  16,00 keV   6,799E+01  1,421E+03     126 A        45 A        34 A   
  17,00 keV   7,008E+01  1,437E+03     132 A        46 A        35 A   
  18,00 keV   7,211E+01  1,452E+03     137 A        48 A        37 A   
  20,00 keV   7,601E+01  1,478E+03     148 A        51 A        39 A   
  22,50 keV   8,062E+01  1,506E+03     161 A        55 A        42 A   
  25,00 keV   8,498E+01  1,529E+03     174 A        59 A        45 A   
  27,50 keV   8,913E+01  1,548E+03     186 A        62 A        48 A   
  30,00 keV   9,309E+01  1,564E+03     199 A        66 A        51 A   
  32,50 keV   9,690E+01  1,578E+03     211 A        70 A        54 A   
  35,00 keV   1,006E+02  1,589E+03     224 A        73 A        56 A   
  37,50 keV   1,041E+02  1,598E+03     236 A        77 A        59 A   
