 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> febbraio 23, 2026 
 ==================================================================

 Disk File Name = SRIM Outputs\Helium in Ca- P- O- F-Cl- O- H.txt

 Ion = Helium [2] , Mass = 4,003 amu

 Target Density =  3,1500E+00 g/cm3 = 7,8943E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Ca     20    023,81    039,71   
      P     15    014,29    018,42   
      O      8    057,13    038,04   
      F      9    004,29    003,39   
     Cl     17    000,24    000,35   
      O      8    000,12    000,08   
      H      1    000,12    000,01   
 ====================================
 Bragg Correction = 0,00%
 Stopping Units =  keV / micron   
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  10,00 keV   6,619E+01  1,447E+01     807 A       465 A       386 A   
  11,00 keV   6,940E+01  1,383E+01     886 A       495 A       414 A   
  12,00 keV   7,256E+01  1,325E+01     965 A       523 A       441 A   
  13,00 keV   7,571E+01  1,273E+01    1042 A       549 A       467 A   
  14,00 keV   7,885E+01  1,226E+01    1119 A       574 A       492 A   
  15,00 keV   8,196E+01  1,182E+01    1194 A       597 A       516 A   
  16,00 keV   8,504E+01  1,142E+01    1269 A       619 A       539 A   
  17,00 keV   8,807E+01  1,105E+01    1342 A       641 A       561 A   
  18,00 keV   9,104E+01  1,071E+01    1415 A       661 A       582 A   
  20,00 keV   9,681E+01  1,009E+01    1557 A       698 A       622 A   
  22,50 keV   1,037E+02  9,430E+00    1729 A       740 A       669 A   
  25,00 keV   1,103E+02  8,862E+00    1896 A       777 A       712 A   
  27,50 keV   1,165E+02  8,369E+00    2058 A       811 A       751 A   
  30,00 keV   1,226E+02  7,935E+00    2216 A       842 A       788 A   
  32,50 keV   1,284E+02  7,550E+00    2369 A       870 A       823 A   
  35,00 keV   1,340E+02  7,206E+00    2518 A       896 A       855 A   
  37,50 keV   1,394E+02  6,896E+00    2663 A       920 A       885 A   
