# Energy(keV)    dEe/dx(keV/micro_m)  dEn/dx(keV/micro_m)  x(micro_m)
1.000000e+01 1.004000e+02 1.669000e+03 9.326307e-03
1.100000e+01 1.053000e+02 1.723000e+03 9.843272e-03
1.200000e+01 1.099000e+02 1.772000e+03 1.026694e-02
1.300000e+01 1.144000e+02 1.818000e+03 1.081249e-02
1.400000e+01 1.188000e+02 1.861000e+03 1.123610e-02
1.500000e+01 1.229000e+02 1.900000e+03 1.175330e-02
1.600000e+01 1.270000e+02 1.937000e+03 1.217703e-02
1.700000e+01 1.309000e+02 1.971000e+03 1.260079e-02
1.800000e+01 1.347000e+02 2.004000e+03 1.300346e-02
2.000000e+01 1.419000e+02 2.064000e+03 1.385099e-02
2.250000e+01 1.505000e+02 2.130000e+03 1.479257e-02
2.500000e+01 1.587000e+02 2.188000e+03 1.582846e-02
2.750000e+01 1.664000e+02 2.240000e+03 1.679702e-02
3.000000e+01 1.738000e+02 2.286000e+03 1.771835e-02
3.250000e+01 1.809000e+02 2.328000e+03 1.866039e-02
3.500000e+01 1.878000e+02 2.366000e+03 1.950820e-02
3.750000e+01 1.944000e+02 2.401000e+03 2.043012e-02
4.000000e+01 2.007000e+02 2.433000e+03 2.125229e-02
4.500000e+01 2.129000e+02 2.489000e+03 2.292793e-02
5.000000e+01 2.244000e+02 2.537000e+03 2.460366e-02
5.500000e+01 2.354000e+02 2.578000e+03 2.625452e-02
6.000000e+01 2.458000e+02 2.614000e+03 2.793045e-02
6.500000e+01 2.559000e+02 2.645000e+03 2.948695e-02
7.000000e+01 2.655000e+02 2.672000e+03 3.104368e-02
8.000000e+01 2.839000e+02 2.717000e+03 3.416211e-02
9.000000e+01 3.011000e+02 2.752000e+03 3.716194e-02
1.000000e+02 3.174000e+02 2.779000e+03 4.016230e-02
1.100000e+02 3.329000e+02 2.799000e+03 4.316306e-02
1.200000e+02 3.477000e+02 2.815000e+03 4.606864e-02
1.300000e+02 3.619000e+02 2.827000e+03 4.906995e-02
1.400000e+02 3.755000e+02 2.836000e+03 5.197586e-02
1.500000e+02 3.887000e+02 2.841000e+03 5.485937e-02
1.600000e+02 4.015000e+02 2.845000e+03 5.765154e-02
1.700000e+02 4.138000e+02 2.846000e+03 6.055782e-02
1.800000e+02 4.258000e+02 2.846000e+03 6.342397e-02
