# Energy(keV)    dEe/dx(keV/micro_m)  dEn/dx(keV/micro_m)  x(micro_m)
1.000000e+01 9.355000e+01 1.384000e+03 9.725225e-03
1.100000e+01 9.811000e+01 1.419000e+03 1.027132e-02
1.200000e+01 1.025000e+02 1.451000e+03 1.087750e-02
1.300000e+01 1.067000e+02 1.479000e+03 1.142366e-02
1.400000e+01 1.107000e+02 1.505000e+03 1.196244e-02
1.500000e+01 1.146000e+02 1.529000e+03 1.250840e-02
1.600000e+01 1.183000e+02 1.551000e+03 1.302344e-02
1.700000e+01 1.220000e+02 1.571000e+03 1.356945e-02
1.800000e+01 1.255000e+02 1.589000e+03 1.408474e-02
2.000000e+01 1.323000e+02 1.623000e+03 1.505390e-02
2.250000e+01 1.403000e+02 1.658000e+03 1.632360e-02
2.500000e+01 1.479000e+02 1.689000e+03 1.747799e-02
2.750000e+01 1.551000e+02 1.714000e+03 1.874833e-02
3.000000e+01 1.620000e+02 1.737000e+03 1.990327e-02
3.250000e+01 1.686000e+02 1.756000e+03 2.108103e-02
3.500000e+01 1.750000e+02 1.773000e+03 2.223623e-02
3.750000e+01 1.812000e+02 1.787000e+03 2.329850e-02
4.000000e+01 1.871000e+02 1.800000e+03 2.447632e-02
4.500000e+01 1.984000e+02 1.821000e+03 2.669419e-02
5.000000e+01 2.092000e+02 1.836000e+03 2.888425e-02
5.500000e+01 2.194000e+02 1.848000e+03 3.109678e-02
6.000000e+01 2.291000e+02 1.856000e+03 3.331546e-02
6.500000e+01 2.385000e+02 1.862000e+03 3.541313e-02
7.000000e+01 2.475000e+02 1.866000e+03 3.760492e-02
8.000000e+01 2.646000e+02 1.869000e+03 4.180155e-02
9.000000e+01 2.807000e+02 1.867000e+03 4.609295e-02
1.000000e+02 2.958000e+02 1.862000e+03 5.027017e-02
1.100000e+02 3.103000e+02 1.854000e+03 5.446843e-02
1.200000e+02 3.241000e+02 1.844000e+03 5.874121e-02
1.300000e+02 3.373000e+02 1.832000e+03 6.291439e-02
1.400000e+02 3.500000e+02 1.820000e+03 6.718824e-02
1.500000e+02 3.623000e+02 1.807000e+03 7.134255e-02
1.600000e+02 3.742000e+02 1.793000e+03 7.561733e-02
1.700000e+02 3.744000e+02 1.779000e+03 7.986745e-02
1.800000e+02 3.414000e+02 1.765000e+03 8.416211e-02
2.000000e+02 3.031000e+02 1.736000e+03 9.306906e-02
2.250000e+02 2.877000e+02 1.699000e+03 1.046025e-01
2.500000e+02 2.926000e+02 1.663000e+03 1.163282e-01
2.750000e+02 3.084000e+02 1.629000e+03 1.282405e-01
3.000000e+02 3.301000e+02 1.595000e+03 1.402733e-01
3.250000e+02 3.545000e+02 1.562000e+03 1.523793e-01
3.500000e+02 3.797000e+02 1.531000e+03 1.645822e-01
3.750000e+02 4.048000e+02 1.501000e+03 1.767861e-01
4.000000e+02 4.292000e+02 1.472000e+03 1.890813e-01
4.500000e+02 4.748000e+02 1.418000e+03 2.136401e-01
5.000000e+02 5.159000e+02 1.368000e+03 2.384853e-01
5.500000e+02 5.531000e+02 1.322000e+03 2.634080e-01
6.000000e+02 5.870000e+02 1.280000e+03 2.885049e-01
6.500000e+02 6.184000e+02 1.240000e+03 3.137599e-01
7.000000e+02 6.480000e+02 1.203000e+03 3.391312e-01
8.000000e+02 7.037000e+02 1.137000e+03 3.901902e-01
9.000000e+02 7.570000e+02 1.079000e+03 4.416676e-01
1.000000e+03 8.094000e+02 1.027000e+03 4.931784e-01
1.100000e+03 8.619000e+02 9.807000e+02 5.447238e-01
1.200000e+03 9.149000e+02 9.392000e+02 5.961265e-01
1.300000e+03 9.683000e+02 9.016000e+02 6.472253e-01
1.400000e+03 1.022000e+03 8.674000e+02 6.977949e-01
1.500000e+03 1.077000e+03 8.362000e+02 7.479017e-01
1.600000e+03 1.131000e+03 8.074000e+02 7.974662e-01
1.700000e+03 1.186000e+03 7.809000e+02 8.463570e-01
1.800000e+03 1.241000e+03 7.564000e+02 8.946237e-01
2.000000e+03 1.349000e+03 7.123000e+02 9.890572e-01
2.250000e+03 1.483000e+03 6.650000e+02 1.104937e+00
2.500000e+03 1.613000e+03 6.244000e+02 1.216005e+00
2.750000e+03 1.739000e+03 5.892000e+02 1.317043e+00
3.000000e+03 1.861000e+03 5.582000e+02 1.417854e+00
3.250000e+03 1.979000e+03 5.308000e+02 1.518474e+00
3.500000e+03 2.093000e+03 5.063000e+02 1.609105e+00
3.750000e+03 2.203000e+03 4.843000e+02 1.699596e+00
4.000000e+03 2.309000e+03 4.644000e+02 1.789969e+00
4.500000e+03 2.514000e+03 4.296000e+02 1.960646e+00
5.000000e+03 2.708000e+03 4.003000e+02 2.121151e+00
5.500000e+03 2.895000e+03 3.752000e+02 2.281384e+00
6.000000e+03 3.075000e+03 3.534000e+02 2.421690e+00
6.500000e+03 3.251000e+03 3.343000e+02 2.561821e+00
7.000000e+03 3.424000e+03 3.174000e+02 2.691960e+00
8.000000e+03 3.760000e+03 2.887000e+02 2.951983e+00
9.000000e+03 4.089000e+03 2.653000e+02 3.181986e+00
1.000000e+04 4.412000e+03 2.458000e+02 3.401843e+00
1.100000e+04 4.729000e+03 2.292000e+02 3.601687e+00
1.200000e+04 5.040000e+03 2.149000e+02 3.801396e+00
1.300000e+04 5.343000e+03 2.025000e+02 3.981158e+00
1.400000e+04 5.638000e+03 1.916000e+02 4.160842e+00
1.500000e+04 5.925000e+03 1.819000e+02 4.320599e+00
1.600000e+04 6.203000e+03 1.732000e+02 4.480295e+00
1.700000e+04 6.471000e+03 1.654000e+02 4.630021e+00
1.800000e+04 6.730000e+03 1.584000e+02 4.779718e+00
2.000000e+04 7.217000e+03 1.461000e+02 5.059224e+00
2.250000e+04 7.771000e+03 1.333000e+02 5.378687e+00
2.500000e+04 8.268000e+03 1.228000e+02 5.688108e+00
2.750000e+04 8.713000e+03 1.140000e+02 5.977574e+00
3.000000e+04 9.111000e+03 1.065000e+02 6.247093e+00
3.250000e+04 9.468000e+03 9.993000e+01 6.516577e+00
3.500000e+04 9.788000e+03 9.422000e+01 6.776103e+00
3.750000e+04 1.008000e+04 8.917000e+01 7.015688e+00
4.000000e+04 1.034000e+04 8.469000e+01 7.265233e+00
4.500000e+04 1.078000e+04 7.704000e+01 7.724615e+00
5.000000e+04 1.115000e+04 7.076000e+01 8.183979e+00
5.500000e+04 1.145000e+04 6.549000e+01 8.623409e+00
6.000000e+04 1.170000e+04 6.101000e+01 9.042894e+00
6.500000e+04 1.191000e+04 5.715000e+01 9.472369e+00
7.000000e+04 1.208000e+04 5.378000e+01 9.881911e+00
8.000000e+04 1.236000e+04 4.818000e+01 1.069136e+01
9.000000e+04 1.256000e+04 4.371000e+01 1.149085e+01
1.000000e+05 1.270000e+04 4.004000e+01 1.228038e+01
1.100000e+05 1.281000e+04 3.699000e+01 1.305995e+01
1.200000e+05 1.289000e+04 3.439000e+01 1.383954e+01
1.300000e+05 1.295000e+04 3.216000e+01 1.460918e+01
1.400000e+05 1.300000e+04 3.022000e+01 1.537883e+01
1.500000e+05 1.303000e+04 2.851000e+01 1.613853e+01
1.600000e+05 1.305000e+04 2.700000e+01 1.690823e+01
1.700000e+05 1.307000e+04 2.565000e+01 1.766796e+01
1.800000e+05 1.310000e+04 2.444000e+01 1.842771e+01
2.000000e+05 1.303000e+04 2.235000e+01 1.995783e+01
2.250000e+05 1.295000e+04 2.022000e+01 2.187830e+01
2.500000e+05 1.286000e+04 1.848000e+01 2.381869e+01
2.750000e+05 1.276000e+04 1.703000e+01 2.576903e+01
3.000000e+05 1.265000e+04 1.581000e+01 2.772934e+01
3.250000e+05 1.254000e+04 1.476000e+01 2.970961e+01
3.500000e+05 1.243000e+04 1.384000e+01 3.170986e+01
3.750000e+05 1.232000e+04 1.304000e+01 3.373009e+01
4.000000e+05 1.220000e+04 1.234000e+01 3.575620e+01
4.500000e+05 1.197000e+04 1.114000e+01 3.988586e+01
5.000000e+05 1.173000e+04 1.017000e+01 4.410558e+01
5.500000e+05 1.148000e+04 9.360000e+00 4.840535e+01
