 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> febbraio 23, 2026 
 ==================================================================

 Disk File Name = SRIM Outputs\Krypton in Ca- P- O- F-Cl- O- H.txt

 Ion = Krypton [36] , Mass = 83,912 amu

 Target Density =  3,1500E+00 g/cm3 = 7,8943E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Ca     20    023,81    039,71   
      P     15    014,29    018,42   
      O      8    057,13    038,04   
      F      9    004,29    003,39   
     Cl     17    000,24    000,35   
      O      8    000,12    000,08   
      H      1    000,12    000,01   
 ====================================
 Bragg Correction = 0,00%
 Stopping Units =  keV / micron   
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  10,00 keV   9,355E+01  1,384E+03      89 A        31 A        24 A   
  11,00 keV   9,811E+01  1,419E+03      94 A        33 A        25 A   
  12,00 keV   1,025E+02  1,451E+03     100 A        34 A        26 A   
  13,00 keV   1,067E+02  1,479E+03     105 A        36 A        27 A   
  14,00 keV   1,107E+02  1,505E+03     110 A        37 A        29 A   
  15,00 keV   1,146E+02  1,529E+03     115 A        39 A        30 A   
  16,00 keV   1,183E+02  1,551E+03     120 A        40 A        31 A   
  17,00 keV   1,220E+02  1,571E+03     125 A        42 A        32 A   
  18,00 keV   1,255E+02  1,589E+03     130 A        43 A        33 A   
  20,00 keV   1,323E+02  1,623E+03     139 A        46 A        35 A   
  22,50 keV   1,403E+02  1,658E+03     151 A        49 A        38 A   
  25,00 keV   1,479E+02  1,689E+03     162 A        52 A        40 A   
  27,50 keV   1,551E+02  1,714E+03     174 A        55 A        43 A   
  30,00 keV   1,620E+02  1,737E+03     185 A        58 A        45 A   
  32,50 keV   1,686E+02  1,756E+03     196 A        61 A        48 A   
  35,00 keV   1,750E+02  1,773E+03     207 A        64 A        50 A   
  37,50 keV   1,812E+02  1,787E+03     217 A        67 A        52 A   
