# Energy(keV)    dEe/dx(keV/micro_m)  dEn/dx(keV/micro_m)  x(micro_m)
1.000000e+01 5.266000e+01 1.709000e+03 9.606768e-03
1.100000e+01 5.523000e+01 1.766000e+03 1.015234e-02
1.200000e+01 5.769000e+01 1.819000e+03 1.057592e-02
1.300000e+01 6.004000e+01 1.868000e+03 1.109324e-02
1.400000e+01 6.231000e+01 1.914000e+03 1.151694e-02
1.500000e+01 6.450000e+01 1.956000e+03 1.194069e-02
1.600000e+01 6.661000e+01 1.996000e+03 1.245833e-02
1.700000e+01 6.866000e+01 2.034000e+03 1.288216e-02
1.800000e+01 7.065000e+01 2.069000e+03 1.330601e-02
2.000000e+01 7.448000e+01 2.134000e+03 1.413294e-02
2.250000e+01 7.899000e+01 2.206000e+03 1.507481e-02
2.500000e+01 8.327000e+01 2.270000e+03 1.613753e-02
2.750000e+01 8.733000e+01 2.328000e+03 1.707952e-02
3.000000e+01 9.121000e+01 2.380000e+03 1.800139e-02
3.250000e+01 9.494000e+01 2.427000e+03 1.894360e-02
3.500000e+01 9.852000e+01 2.470000e+03 1.979141e-02
3.750000e+01 1.020000e+02 2.509000e+03 2.071376e-02
4.000000e+01 1.053000e+02 2.545000e+03 2.156154e-02
4.500000e+01 1.117000e+02 2.609000e+03 2.321207e-02
5.000000e+01 1.178000e+02 2.664000e+03 2.488795e-02
5.500000e+01 1.235000e+02 2.712000e+03 2.653922e-02
6.000000e+01 1.290000e+02 2.755000e+03 2.812028e-02
6.500000e+01 1.343000e+02 2.792000e+03 2.977197e-02
7.000000e+01 1.393000e+02 2.824000e+03 3.130958e-02
8.000000e+01 1.490000e+02 2.880000e+03 3.432871e-02
9.000000e+01 1.580000e+02 2.924000e+03 3.744783e-02
1.000000e+02 1.665000e+02 2.959000e+03 4.035307e-02
1.100000e+02 1.747000e+02 2.987000e+03 4.335401e-02
1.200000e+02 1.824000e+02 3.010000e+03 4.623689e-02
1.300000e+02 1.899000e+02 3.029000e+03 4.912443e-02
1.400000e+02 1.970000e+02 3.043000e+03 5.203057e-02
1.500000e+02 2.040000e+02 3.055000e+03 5.491448e-02
1.600000e+02 2.107000e+02 3.063000e+03 5.770693e-02
1.700000e+02 2.171000e+02 3.070000e+03 6.059134e-02
1.800000e+02 2.234000e+02 3.074000e+03 6.340197e-02
2.000000e+02 2.355000e+02 3.078000e+03 6.907952e-02
2.250000e+02 2.498000e+02 3.075000e+03 7.608456e-02
2.500000e+02 2.633000e+02 3.067000e+03 8.307304e-02
2.750000e+02 2.762000e+02 3.054000e+03 9.017594e-02
3.000000e+02 2.973000e+02 3.038000e+03 9.718313e-02
3.250000e+02 3.164000e+02 3.020000e+03 1.042701e-01
3.500000e+02 3.330000e+02 3.000000e+03 1.112781e-01
3.750000e+02 3.481000e+02 2.979000e+03 1.183661e-01
4.000000e+02 3.621000e+02 2.957000e+03 1.254509e-01
4.500000e+02 3.887000e+02 2.911000e+03 1.397420e-01
5.000000e+02 4.145000e+02 2.864000e+03 1.540947e-01
5.500000e+02 4.399000e+02 2.817000e+03 1.685616e-01
6.000000e+02 4.649000e+02 2.770000e+03 1.832073e-01
6.500000e+02 4.898000e+02 2.724000e+03 1.978508e-01
7.000000e+02 5.144000e+02 2.678000e+03 2.126926e-01
8.000000e+02 5.633000e+02 2.592000e+03 2.426667e-01
