 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> febbraio 23, 2026 
 ==================================================================

 Disk File Name = SRIM Outputs\Lithium in Ca- P- O- F-Cl- O- H.txt

 Ion = Lithium [3] , Mass = 7,016 amu

 Target Density =  3,1500E+00 g/cm3 = 7,8943E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Ca     20    023,81    039,71   
      P     15    014,29    018,42   
      O      8    057,13    038,04   
      F      9    004,29    003,39   
     Cl     17    000,24    000,35   
      O      8    000,12    000,08   
      H      1    000,12    000,01   
 ====================================
 Bragg Correction = 0,00%
 Stopping Units =  keV / micron   
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  10,00 keV   6,153E+01  4,160E+01     567 A       342 A       268 A   
  11,00 keV   6,453E+01  4,012E+01     626 A       369 A       290 A   
  12,00 keV   6,740E+01  3,875E+01     685 A       395 A       313 A   
  13,00 keV   7,016E+01  3,749E+01     744 A       421 A       335 A   
  14,00 keV   7,280E+01  3,633E+01     803 A       445 A       357 A   
  15,00 keV   7,580E+01  3,524E+01     862 A       469 A       378 A   
  16,00 keV   7,874E+01  3,424E+01     920 A       492 A       399 A   
  17,00 keV   8,160E+01  3,330E+01     979 A       514 A       419 A   
  18,00 keV   8,440E+01  3,241E+01    1037 A       536 A       439 A   
  20,00 keV   8,981E+01  3,081E+01    1152 A       576 A       478 A   
  22,50 keV   9,629E+01  2,905E+01    1295 A       624 A       525 A   
  25,00 keV   1,025E+02  2,751E+01    1434 A       668 A       568 A   
  27,50 keV   1,084E+02  2,616E+01    1572 A       709 A       610 A   
  30,00 keV   1,142E+02  2,495E+01    1707 A       747 A       650 A   
  32,50 keV   1,197E+02  2,387E+01    1841 A       783 A       687 A   
  35,00 keV   1,251E+02  2,289E+01    1971 A       816 A       723 A   
  37,50 keV   1,303E+02  2,200E+01    2100 A       848 A       758 A   
