 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> febbraio 23, 2026 
 ==================================================================

 Disk File Name = SRIM Outputs\Magnesium in Ca- P- O- F-Cl- O- H.txt

 Ion = Magnesium [12] , Mass = 23,985 amu

 Target Density =  3,1500E+00 g/cm3 = 7,8943E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Ca     20    023,81    039,71   
      P     15    014,29    018,42   
      O      8    057,13    038,04   
      F      9    004,29    003,39   
     Cl     17    000,24    000,35   
      O      8    000,12    000,08   
      H      1    000,12    000,01   
 ====================================
 Bragg Correction = 0,00%
 Stopping Units =  keV / micron   
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  10,00 keV   5,683E+01  4,529E+02     152 A        79 A        57 A   
  11,00 keV   5,961E+01  4,527E+02     165 A        85 A        61 A   
  12,00 keV   6,226E+01  4,519E+02     179 A        92 A        65 A   
  13,00 keV   6,480E+01  4,506E+02     192 A        98 A        69 A   
  14,00 keV   6,725E+01  4,490E+02     205 A       104 A        73 A   
  15,00 keV   6,961E+01  4,472E+02     219 A       110 A        77 A   
  16,00 keV   7,189E+01  4,451E+02     232 A       116 A        82 A   
  17,00 keV   7,410E+01  4,428E+02     246 A       122 A        86 A   
  18,00 keV   7,625E+01  4,404E+02     259 A       128 A        90 A   
  20,00 keV   8,038E+01  4,353E+02     287 A       140 A        98 A   
  22,50 keV   8,525E+01  4,286E+02     321 A       155 A       108 A   
  25,00 keV   8,986E+01  4,218E+02     356 A       169 A       118 A   
  27,50 keV   9,425E+01  4,149E+02     392 A       184 A       128 A   
  30,00 keV   9,844E+01  4,081E+02     427 A       199 A       138 A   
  32,50 keV   1,025E+02  4,014E+02     464 A       214 A       148 A   
  35,00 keV   1,063E+02  3,949E+02     500 A       228 A       158 A   
  37,50 keV   1,101E+02  3,885E+02     537 A       243 A       169 A   
