 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> febbraio 02, 2026 
 ==================================================================

 Disk File Name = SRIM Outputs\Manganese in Ca- P- O- F-Cl- O- H.txt

 Ion = Manganese [25] , Mass = 54,94 amu

 Target Density =  3,1500E+00 g/cm3 = 7,9660E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Ca     20    022,73    038,25   
      P     15    013,64    017,74   
      O      8    054,54    036,65   
      F      9    008,18    006,53   
     Cl     17    000,45    000,67   
      O      8    000,23    000,15   
      H      1    000,23    000,01   
 ====================================
 Bragg Correction = 0,00%
 Stopping Units =  keV / micron   
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  10,00 keV   6,218E+01  1,061E+03      98 A        39 A        30 A   
  11,00 keV   6,521E+01  1,079E+03     105 A        42 A        31 A   
  12,00 keV   6,811E+01  1,096E+03     112 A        44 A        33 A   
  13,00 keV   7,090E+01  1,110E+03     118 A        46 A        35 A   
  14,00 keV   7,357E+01  1,122E+03     125 A        49 A        37 A   
  15,00 keV   7,615E+01  1,133E+03     131 A        51 A        38 A   
  16,00 keV   7,865E+01  1,143E+03     138 A        53 A        40 A   
  17,00 keV   8,107E+01  1,152E+03     144 A        55 A        41 A   
  18,00 keV   8,342E+01  1,160E+03     151 A        57 A        43 A   
  20,00 keV   8,794E+01  1,173E+03     163 A        61 A        46 A   
  22,50 keV   9,327E+01  1,185E+03     179 A        67 A        50 A   
  25,00 keV   9,831E+01  1,195E+03     194 A        72 A        54 A   
  27,50 keV   1,031E+02  1,202E+03     210 A        77 A        57 A   
  30,00 keV   1,077E+02  1,207E+03     225 A        82 A        61 A   
  32,50 keV   1,121E+02  1,210E+03     240 A        86 A        65 A   
  35,00 keV   1,163E+02  1,212E+03     256 A        91 A        68 A   
  37,50 keV   1,204E+02  1,213E+03     271 A        96 A        72 A   
