# Energy(keV)    dEe/dx(keV/micro_m)  dEn/dx(keV/micro_m)  x(micro_m)
1.000000e+01 5.738000e+01 1.509000e+03 9.669540e-03
1.100000e+01 6.018000e+01 1.551000e+03 1.021567e-02
1.200000e+01 6.285000e+01 1.589000e+03 1.073080e-02
1.300000e+01 6.542000e+01 1.624000e+03 1.124633e-02
1.400000e+01 6.789000e+01 1.656000e+03 1.179237e-02
1.500000e+01 7.027000e+01 1.686000e+03 1.221556e-02
1.600000e+01 7.258000e+01 1.714000e+03 1.273146e-02
1.700000e+01 7.481000e+01 1.739000e+03 1.327742e-02
1.800000e+01 7.698000e+01 1.763000e+03 1.370073e-02
2.000000e+01 8.114000e+01 1.806000e+03 1.464036e-02
2.250000e+01 8.606000e+01 1.853000e+03 1.581803e-02
2.500000e+01 9.072000e+01 1.894000e+03 1.697321e-02
2.750000e+01 9.515000e+01 1.929000e+03 1.812871e-02
3.000000e+01 9.938000e+01 1.960000e+03 1.921328e-02
3.250000e+01 1.034000e+02 1.988000e+03 2.024722e-02
3.500000e+01 1.073000e+02 2.012000e+03 2.130962e-02
3.750000e+01 1.111000e+02 2.034000e+03 2.234413e-02
4.000000e+01 1.148000e+02 2.054000e+03 2.340662e-02
4.500000e+01 1.217000e+02 2.087000e+03 2.550412e-02
5.000000e+01 1.283000e+02 2.114000e+03 2.750818e-02
5.500000e+01 1.346000e+02 2.136000e+03 2.951237e-02
6.000000e+01 1.405000e+02 2.154000e+03 3.146871e-02
6.500000e+01 1.463000e+02 2.168000e+03 3.347327e-02
7.000000e+01 1.518000e+02 2.180000e+03 3.535732e-02
8.000000e+01 1.623000e+02 2.197000e+03 3.922563e-02
9.000000e+01 1.721000e+02 2.207000e+03 4.309455e-02
1.000000e+02 1.814000e+02 2.212000e+03 4.696392e-02
1.100000e+02 1.903000e+02 2.213000e+03 5.073904e-02
1.200000e+02 1.988000e+02 2.211000e+03 5.456391e-02
1.300000e+02 2.069000e+02 2.206000e+03 5.833952e-02
1.400000e+02 2.147000e+02 2.200000e+03 6.216567e-02
1.500000e+02 2.222000e+02 2.193000e+03 6.594157e-02
1.600000e+02 2.295000e+02 2.184000e+03 6.978789e-02
1.700000e+02 2.366000e+02 2.174000e+03 7.361535e-02
1.800000e+02 2.434000e+02 2.163000e+03 7.734817e-02
2.000000e+02 2.642000e+02 2.141000e+03 8.504799e-02
2.250000e+02 3.093000e+02 2.110000e+03 9.468691e-02
2.500000e+02 3.365000e+02 2.079000e+03 1.042317e-01
2.750000e+02 3.547000e+02 2.047000e+03 1.138547e-01
3.000000e+02 3.690000e+02 2.015000e+03 1.235924e-01
3.250000e+02 3.819000e+02 1.983000e+03 1.333860e-01
3.500000e+02 3.947000e+02 1.952000e+03 1.433169e-01
3.750000e+02 4.080000e+02 1.921000e+03 1.533268e-01
4.000000e+02 4.219000e+02 1.892000e+03 1.633327e-01
4.500000e+02 4.521000e+02 1.835000e+03 1.837357e-01
5.000000e+02 4.852000e+02 1.781000e+03 2.043339e-01
5.500000e+02 5.205000e+02 1.731000e+03 2.251057e-01
6.000000e+02 5.573000e+02 1.683000e+03 2.460727e-01
6.500000e+02 5.950000e+02 1.638000e+03 2.671177e-01
7.000000e+02 6.330000e+02 1.596000e+03 2.882410e-01
8.000000e+02 7.088000e+02 1.519000e+03 3.306676e-01
9.000000e+02 7.823000e+02 1.450000e+03 3.731398e-01
1.000000e+03 8.526000e+02 1.388000e+03 4.154526e-01
1.100000e+03 9.192000e+02 1.332000e+03 4.577160e-01
1.200000e+03 9.822000e+02 1.281000e+03 4.998187e-01
1.300000e+03 1.042000e+03 1.234000e+03 5.417799e-01
1.400000e+03 1.098000e+03 1.192000e+03 5.834852e-01
