 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> febbraio 23, 2026 
 ==================================================================

 Disk File Name = SRIM Outputs\Molybdenum in Ca- P- O- F-Cl- O- H.txt

 Ion = Molybdenum [42] , Mass = 97,905 amu

 Target Density =  3,1500E+00 g/cm3 = 7,8943E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Ca     20    023,81    039,71   
      P     15    014,29    018,42   
      O      8    057,13    038,04   
      F      9    004,29    003,39   
     Cl     17    000,24    000,35   
      O      8    000,12    000,08   
      H      1    000,12    000,01   
 ====================================
 Bragg Correction = 0,00%
 Stopping Units =  keV / micron   
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  10,00 keV   5,738E+01  1,509E+03      89 A        30 A        23 A   
  11,00 keV   6,018E+01  1,551E+03      94 A        32 A        24 A   
  12,00 keV   6,285E+01  1,589E+03      99 A        33 A        25 A   
  13,00 keV   6,542E+01  1,624E+03     104 A        34 A        26 A   
  14,00 keV   6,789E+01  1,656E+03     109 A        36 A        27 A   
  15,00 keV   7,027E+01  1,686E+03     113 A        37 A        28 A   
  16,00 keV   7,258E+01  1,714E+03     118 A        38 A        29 A   
  17,00 keV   7,481E+01  1,739E+03     123 A        40 A        30 A   
  18,00 keV   7,698E+01  1,763E+03     127 A        41 A        31 A   
  20,00 keV   8,114E+01  1,806E+03     136 A        43 A        33 A   
  22,50 keV   8,606E+01  1,853E+03     147 A        46 A        36 A   
  25,00 keV   9,072E+01  1,894E+03     158 A        49 A        38 A   
  27,50 keV   9,515E+01  1,929E+03     169 A        52 A        40 A   
  30,00 keV   9,938E+01  1,960E+03     179 A        55 A        43 A   
  32,50 keV   1,034E+02  1,988E+03     189 A        57 A        45 A   
  35,00 keV   1,073E+02  2,012E+03     199 A        60 A        47 A   
  37,50 keV   1,111E+02  2,034E+03     209 A        62 A        49 A   
