# Energy(keV)    dEe/dx(keV/micro_m)  dEn/dx(keV/micro_m)  x(micro_m)
1.000000e+01 6.402000e+01 1.490000e+03 9.577578e-03
1.100000e+01 6.714000e+01 1.531000e+03 1.012373e-02
1.200000e+01 7.013000e+01 1.568000e+03 1.063861e-02
1.300000e+01 7.299000e+01 1.602000e+03 1.118481e-02
1.400000e+01 7.575000e+01 1.633000e+03 1.172348e-02
1.500000e+01 7.840000e+01 1.661000e+03 1.223887e-02
1.600000e+01 8.098000e+01 1.687000e+03 1.269252e-02
1.700000e+01 8.347000e+01 1.712000e+03 1.320795e-02
1.800000e+01 8.589000e+01 1.735000e+03 1.372370e-02
2.000000e+01 9.053000e+01 1.776000e+03 1.469286e-02
2.250000e+01 9.603000e+01 1.820000e+03 1.584740e-02
2.500000e+01 1.012000e+02 1.859000e+03 1.702498e-02
2.750000e+01 1.062000e+02 1.892000e+03 1.808701e-02
3.000000e+01 1.109000e+02 1.921000e+03 1.921328e-02
3.250000e+01 1.154000e+02 1.947000e+03 2.027560e-02
3.500000e+01 1.198000e+02 1.969000e+03 2.136024e-02
3.750000e+01 1.240000e+02 1.990000e+03 2.242253e-02
4.000000e+01 1.280000e+02 2.008000e+03 2.345656e-02
4.500000e+01 1.358000e+02 2.038000e+03 2.555347e-02
5.000000e+01 1.431000e+02 2.062000e+03 2.765086e-02
5.500000e+01 1.501000e+02 2.082000e+03 2.965485e-02
6.000000e+01 1.568000e+02 2.097000e+03 3.165896e-02
6.500000e+01 1.632000e+02 2.110000e+03 3.364194e-02
7.000000e+01 1.694000e+02 2.120000e+03 3.561952e-02
8.000000e+01 1.811000e+02 2.133000e+03 3.951367e-02
9.000000e+01 1.921000e+02 2.140000e+03 4.349667e-02
1.000000e+02 2.024000e+02 2.143000e+03 4.736528e-02
1.100000e+02 2.123000e+02 2.141000e+03 5.123436e-02
1.200000e+02 2.218000e+02 2.137000e+03 5.508375e-02
1.300000e+02 2.308000e+02 2.131000e+03 5.895363e-02
1.400000e+02 2.395000e+02 2.123000e+03 6.289324e-02
1.500000e+02 2.479000e+02 2.114000e+03 6.676369e-02
1.600000e+02 2.561000e+02 2.103000e+03 7.061480e-02
1.700000e+02 2.640000e+02 2.092000e+03 7.455575e-02
1.800000e+02 2.716000e+02 2.081000e+03 7.842672e-02
2.000000e+02 2.807000e+02 2.056000e+03 8.631553e-02
2.250000e+02 2.922000e+02 2.024000e+03 9.626266e-02
2.500000e+02 3.064000e+02 1.991000e+03 1.062353e-01
2.750000e+02 3.226000e+02 1.957000e+03 1.163944e-01
3.000000e+02 3.404000e+02 1.924000e+03 1.266320e-01
3.250000e+02 3.593000e+02 1.892000e+03 1.368939e-01
3.500000e+02 3.791000e+02 1.861000e+03 1.473427e-01
3.750000e+02 3.992000e+02 1.830000e+03 1.577520e-01
4.000000e+02 4.196000e+02 1.800000e+03 1.681850e-01
4.500000e+02 4.603000e+02 1.743000e+03 1.893362e-01
5.000000e+02 5.005000e+02 1.689000e+03 2.106822e-01
5.500000e+02 5.399000e+02 1.639000e+03 2.321796e-01
6.000000e+02 5.784000e+02 1.593000e+03 2.537764e-01
6.500000e+02 6.159000e+02 1.549000e+03 2.754553e-01
7.000000e+02 6.525000e+02 1.507000e+03 2.972080e-01
8.000000e+02 7.229000e+02 1.432000e+03 3.408977e-01
9.000000e+02 7.900000e+02 1.365000e+03 3.848096e-01
1.000000e+03 8.539000e+02 1.305000e+03 4.286717e-01
1.100000e+03 9.150000e+02 1.251000e+03 4.725691e-01
1.200000e+03 9.735000e+02 1.202000e+03 5.163215e-01
1.300000e+03 1.030000e+03 1.157000e+03 5.599144e-01
1.400000e+03 1.084000e+03 1.116000e+03 6.032722e-01
1.500000e+03 1.136000e+03 1.078000e+03 6.464869e-01
1.600000e+03 1.187000e+03 1.043000e+03 6.894646e-01
1.700000e+03 1.236000e+03 1.011000e+03 7.320929e-01
1.800000e+03 1.283000e+03 9.811000e+02 7.744998e-01
2.000000e+03 1.374000e+03 9.270000e+02 8.584438e-01
2.250000e+03 1.483000e+03 8.684000e+02 9.616395e-01
2.500000e+03 1.586000e+03 8.179000e+02 1.063160e+00
2.750000e+03 1.685000e+03 7.737000e+02 1.164116e+00
3.000000e+03 1.780000e+03 7.348000e+02 1.255132e+00
3.250000e+03 1.873000e+03 7.001000e+02 1.355791e+00
3.500000e+03 1.964000e+03 6.691000e+02 1.446517e+00
3.750000e+03 2.053000e+03 6.410000e+02 1.537142e+00
4.000000e+03 2.141000e+03 6.155000e+02 1.627657e+00
4.500000e+03 2.313000e+03 5.710000e+02 1.798664e+00
5.000000e+03 2.483000e+03 5.332000e+02 1.959521e+00
5.500000e+03 2.651000e+03 5.008000e+02 2.120114e+00
6.000000e+03 2.818000e+03 4.725000e+02 2.270613e+00
6.500000e+03 2.984000e+03 4.476000e+02 2.420937e+00
7.000000e+03 3.148000e+03 4.256000e+02 2.561227e+00
8.000000e+03 3.475000e+03 3.881000e+02 2.821779e+00
9.000000e+03 3.796000e+03 3.573000e+02 3.072015e+00
1.000000e+04 4.112000e+03 3.316000e+02 3.292246e+00
1.100000e+04 4.422000e+03 3.097000e+02 3.512225e+00
1.200000e+04 4.723000e+03 2.908000e+02 3.712190e+00
1.300000e+04 5.016000e+03 2.743000e+02 3.902094e+00
1.400000e+04 5.299000e+03 2.597000e+02 4.081966e+00
1.500000e+04 5.573000e+03 2.468000e+02 4.261745e+00
1.600000e+04 5.837000e+03 2.353000e+02 4.421609e+00
1.700000e+04 6.091000e+03 2.249000e+02 4.581399e+00
1.800000e+04 6.335000e+03 2.154000e+02 4.741151e+00
2.000000e+04 6.795000e+03 1.989000e+02 5.030804e+00
2.250000e+04 7.319000e+03 1.819000e+02 5.370386e+00
2.500000e+04 7.792000e+03 1.678000e+02 5.699880e+00
2.750000e+04 8.219000e+03 1.558000e+02 5.999439e+00
3.000000e+04 8.608000e+03 1.457000e+02 6.288987e+00
3.250000e+04 8.962000e+03 1.368000e+02 6.568532e+00
3.500000e+04 9.286000e+03 1.291000e+02 6.838094e+00
3.750000e+04 9.585000e+03 1.223000e+02 7.097672e+00
4.000000e+04 9.861000e+03 1.162000e+02 7.347281e+00
4.500000e+04 1.035000e+04 1.058000e+02 7.836661e+00
5.000000e+04 1.079000e+04 9.727000e+01 8.306064e+00
5.500000e+04 1.116000e+04 9.010000e+01 8.755512e+00
6.000000e+04 1.150000e+04 8.400000e+01 9.185004e+00
6.500000e+04 1.180000e+04 7.873000e+01 9.614498e+00
7.000000e+04 1.207000e+04 7.413000e+01 1.002404e+01
8.000000e+04 1.254000e+04 6.648000e+01 1.083347e+01
9.000000e+04 1.293000e+04 6.036000e+01 1.161294e+01
1.000000e+05 1.325000e+04 5.534000e+01 1.237244e+01
1.100000e+05 1.354000e+04 5.115000e+01 1.311197e+01
1.200000e+05 1.378000e+04 4.759000e+01 1.384154e+01
1.300000e+05 1.398000e+04 4.452000e+01 1.456113e+01
1.400000e+05 1.416000e+04 4.185000e+01 1.527074e+01
1.500000e+05 1.432000e+04 3.951000e+01 1.597038e+01
1.600000e+05 1.445000e+04 3.743000e+01 1.666005e+01
1.700000e+05 1.457000e+04 3.557000e+01 1.734973e+01
1.800000e+05 1.467000e+04 3.390000e+01 1.802944e+01
2.000000e+05 1.488000e+04 3.102000e+01 1.937936e+01
2.250000e+05 1.493000e+04 2.808000e+01 2.104953e+01
2.500000e+05 1.497000e+04 2.567000e+01 2.271964e+01
2.750000e+05 1.497000e+04 2.367000e+01 2.438972e+01
3.000000e+05 1.495000e+04 2.198000e+01 2.604980e+01
3.250000e+05 1.490000e+04 2.053000e+01 2.772985e+01
3.500000e+05 1.484000e+04 1.927000e+01 2.940989e+01
3.750000e+05 1.476000e+04 1.816000e+01 3.108994e+01
4.000000e+05 1.467000e+04 1.718000e+01 3.278998e+01
4.500000e+05 1.447000e+04 1.552000e+01 3.620698e+01
5.000000e+05 1.425000e+04 1.417000e+01 3.967664e+01
5.500000e+05 1.402000e+04 1.305000e+01 4.321634e+01
6.000000e+05 1.378000e+04 1.210000e+01 4.680608e+01
6.500000e+05 1.353000e+04 1.129000e+01 5.046586e+01
7.000000e+05 1.328000e+04 1.058000e+01 5.419566e+01
8.000000e+05 1.278000e+04 9.422000e+00 6.186534e+01
9.000000e+05 1.230000e+04 8.501000e+00 6.983508e+01
1.000000e+00 1.183000e+04 7.752000e+00 7.812487e+01
