# Energy(keV)    dEe/dx(keV/micro_m)  dEn/dx(keV/micro_m)  x(micro_m)
1.000000e+01 1.300000e+02 1.744000e+03 9.183137e-03
1.100000e+01 1.363000e+02 1.804000e+03 9.700515e-03
1.200000e+01 1.424000e+02 1.859000e+03 1.012423e-02
1.300000e+01 1.482000e+02 1.910000e+03 1.054799e-02
1.400000e+01 1.538000e+02 1.958000e+03 1.097178e-02
1.500000e+01 1.592000e+02 2.003000e+03 1.137497e-02
1.600000e+01 1.644000e+02 2.044000e+03 1.179873e-02
1.700000e+01 1.695000e+02 2.084000e+03 1.222252e-02
1.800000e+01 1.744000e+02 2.121000e+03 1.264634e-02
2.000000e+01 1.838000e+02 2.189000e+03 1.344730e-02
2.250000e+01 1.950000e+02 2.265000e+03 1.441562e-02
2.500000e+01 2.055000e+02 2.333000e+03 1.526335e-02
2.750000e+01 2.156000e+02 2.394000e+03 1.615983e-02
3.000000e+01 2.251000e+02 2.449000e+03 1.700765e-02
3.250000e+01 2.343000e+02 2.498000e+03 1.783564e-02
3.500000e+01 2.432000e+02 2.544000e+03 1.868342e-02
3.750000e+01 2.517000e+02 2.586000e+03 1.951154e-02
4.000000e+01 2.600000e+02 2.625000e+03 2.033445e-02
4.500000e+01 2.757000e+02 2.693000e+03 2.189612e-02
5.000000e+01 2.907000e+02 2.753000e+03 2.345272e-02
5.500000e+01 3.048000e+02 2.805000e+03 2.491445e-02
6.000000e+01 3.184000e+02 2.851000e+03 2.635716e-02
6.500000e+01 3.314000e+02 2.891000e+03 2.781906e-02
7.000000e+01 3.439000e+02 2.927000e+03 2.926209e-02
8.000000e+01 3.677000e+02 2.988000e+03 3.204871e-02
9.000000e+01 3.900000e+02 3.037000e+03 3.476334e-02
1.000000e+02 4.110000e+02 3.077000e+03 3.743661e-02
1.100000e+02 4.311000e+02 3.110000e+03 4.011047e-02
1.200000e+02 4.503000e+02 3.137000e+03 4.270714e-02
1.300000e+02 4.687000e+02 3.159000e+03 4.528576e-02
1.400000e+02 4.864000e+02 3.176000e+03 4.786460e-02
1.500000e+02 5.034000e+02 3.191000e+03 5.032594e-02
1.600000e+02 5.199000e+02 3.202000e+03 5.290520e-02
1.700000e+02 5.359000e+02 3.211000e+03 5.538854e-02
1.800000e+02 5.515000e+02 3.218000e+03 5.785058e-02
2.000000e+02 5.813000e+02 3.226000e+03 6.277906e-02
2.250000e+02 6.166000e+02 3.228000e+03 6.895694e-02
2.500000e+02 6.499000e+02 3.224000e+03 7.502193e-02
2.750000e+02 6.817000e+02 3.215000e+03 8.108748e-02
3.000000e+02 6.276000e+02 3.202000e+03 8.724999e-02
3.250000e+02 5.695000e+02 3.186000e+03 9.339299e-02
3.500000e+02 5.470000e+02 3.169000e+03 9.974974e-02
3.750000e+02 5.477000e+02 3.149000e+03 1.061104e-01
4.000000e+02 5.639000e+02 3.129000e+03 1.125647e-01
4.500000e+02 6.229000e+02 3.086000e+03 1.253779e-01
5.000000e+02 6.981000e+02 3.041000e+03 1.380761e-01
5.500000e+02 7.766000e+02 2.995000e+03 1.507599e-01
6.000000e+02 8.517000e+02 2.949000e+03 1.632475e-01
6.500000e+02 9.204000e+02 2.903000e+03 1.757206e-01
7.000000e+02 9.816000e+02 2.858000e+03 1.881610e-01
8.000000e+02 1.081000e+03 2.771000e+03 2.129959e-01
9.000000e+02 1.155000e+03 2.689000e+03 2.377679e-01
1.000000e+03 1.208000e+03 2.611000e+03 2.627349e-01
1.100000e+03 1.247000e+03 2.538000e+03 2.879680e-01
1.200000e+03 1.275000e+03 2.469000e+03 3.133965e-01
1.300000e+03 1.297000e+03 2.404000e+03 3.392180e-01
1.400000e+03 1.314000e+03 2.342000e+03 3.653349e-01
1.500000e+03 1.329000e+03 2.285000e+03 3.918151e-01
1.600000e+03 1.342000e+03 2.230000e+03 4.186210e-01
1.700000e+03 1.356000e+03 2.178000e+03 4.457066e-01
1.800000e+03 1.370000e+03 2.129000e+03 4.730881e-01
2.000000e+03 1.401000e+03 2.039000e+03 5.287689e-01
2.250000e+03 1.449000e+03 1.938000e+03 5.996190e-01
2.500000e+03 1.506000e+03 1.847000e+03 6.714169e-01
2.750000e+03 1.572000e+03 1.767000e+03 7.437968e-01
3.000000e+03 1.645000e+03 1.694000e+03 8.164247e-01
3.250000e+03 1.725000e+03 1.628000e+03 8.889212e-01
3.500000e+03 1.809000e+03 1.568000e+03 9.610651e-01
3.750000e+03 1.896000e+03 1.512000e+03 1.036608e+00
4.000000e+03 1.986000e+03 1.462000e+03 1.107275e+00
4.500000e+03 2.168000e+03 1.371000e+03 1.238692e+00
5.000000e+03 2.350000e+03 1.293000e+03 1.379734e+00
5.500000e+03 2.529000e+03 1.224000e+03 1.510729e+00
6.000000e+03 2.702000e+03 1.164000e+03 1.641558e+00
6.500000e+03 2.868000e+03 1.110000e+03 1.762355e+00
7.000000e+03 3.027000e+03 1.061000e+03 1.883033e+00
8.000000e+03 3.324000e+03 9.773000e+02 2.114288e+00
9.000000e+03 3.594000e+03 9.075000e+02 2.345173e+00
1.000000e+04 3.841000e+03 8.482000e+02 2.555962e+00
1.100000e+04 4.070000e+03 7.972000e+02 2.756610e+00
1.200000e+04 4.285000e+03 7.527000e+02 2.957081e+00
1.300000e+04 4.488000e+03 7.135000e+02 3.147487e+00
1.400000e+04 4.683000e+03 6.787000e+02 3.337768e+00
1.500000e+04 4.871000e+03 6.475000e+02 3.518025e+00
1.600000e+04 5.055000e+03 6.194000e+02 3.698196e+00
1.700000e+04 5.235000e+03 5.939000e+02 3.868370e+00
