 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> febbraio 23, 2026 
 ==================================================================

 Disk File Name = SRIM Outputs\Neon in Ca- P- O- F-Cl- O- H.txt

 Ion = Neon [10] , Mass = 19,992 amu

 Target Density =  3,1500E+00 g/cm3 = 7,8943E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Ca     20    023,81    039,71   
      P     15    014,29    018,42   
      O      8    057,13    038,04   
      F      9    004,29    003,39   
     Cl     17    000,24    000,35   
      O      8    000,12    000,08   
      H      1    000,12    000,01   
 ====================================
 Bragg Correction = 0,00%
 Stopping Units =  keV / micron   
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  10,00 keV   7,167E+01  3,483E+02     174 A        94 A        67 A   
  11,00 keV   7,517E+01  3,464E+02     190 A       102 A        72 A   
  12,00 keV   7,852E+01  3,442E+02     206 A       109 A        78 A   
  13,00 keV   8,172E+01  3,418E+02     222 A       117 A        83 A   
  14,00 keV   8,481E+01  3,392E+02     238 A       124 A        88 A   
  15,00 keV   8,778E+01  3,366E+02     254 A       131 A        93 A   
  16,00 keV   9,066E+01  3,338E+02     270 A       139 A        98 A   
  17,00 keV   9,345E+01  3,310E+02     286 A       146 A       103 A   
  18,00 keV   9,616E+01  3,281E+02     302 A       153 A       108 A   
  20,00 keV   1,014E+02  3,224E+02     335 A       168 A       118 A   
  22,50 keV   1,075E+02  3,153E+02     376 A       185 A       131 A   
  25,00 keV   1,133E+02  3,084E+02     418 A       203 A       143 A   
  27,50 keV   1,189E+02  3,017E+02     461 A       221 A       156 A   
  30,00 keV   1,241E+02  2,953E+02     503 A       238 A       168 A   
  32,50 keV   1,292E+02  2,891E+02     547 A       255 A       181 A   
  35,00 keV   1,341E+02  2,831E+02     590 A       273 A       194 A   
  37,50 keV   1,388E+02  2,774E+02     634 A       290 A       206 A   
