 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> febbraio 23, 2026 
 ==================================================================

 Disk File Name = SRIM Outputs\Nickel in Ca- P- O- F-Cl- O- H.txt

 Ion = Nickel [28] , Mass = 57,94 amu

 Target Density =  3,1500E+00 g/cm3 = 7,8943E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Ca     20    023,81    039,71   
      P     15    014,29    018,42   
      O      8    057,13    038,04   
      F      9    004,29    003,39   
     Cl     17    000,24    000,35   
      O      8    000,12    000,08   
      H      1    000,12    000,01   
 ====================================
 Bragg Correction = 0,00%
 Stopping Units =  keV / micron   
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  10,00 keV   3,917E+01  1,148E+03      95 A        38 A        29 A   
  11,00 keV   4,109E+01  1,170E+03     101 A        40 A        30 A   
  12,00 keV   4,291E+01  1,190E+03     107 A        43 A        32 A   
  13,00 keV   4,466E+01  1,207E+03     114 A        45 A        34 A   
  14,00 keV   4,635E+01  1,223E+03     120 A        47 A        35 A   
  15,00 keV   4,798E+01  1,237E+03     126 A        49 A        37 A   
  16,00 keV   4,955E+01  1,249E+03     132 A        51 A        38 A   
  17,00 keV   5,108E+01  1,260E+03     138 A        53 A        40 A   
  18,00 keV   5,256E+01  1,270E+03     144 A        55 A        41 A   
  20,00 keV   5,540E+01  1,288E+03     156 A        59 A        44 A   
  22,50 keV   5,876E+01  1,305E+03     170 A        64 A        48 A   
  25,00 keV   6,194E+01  1,319E+03     185 A        68 A        52 A   
  27,50 keV   6,496E+01  1,330E+03     199 A        73 A        55 A   
  30,00 keV   6,785E+01  1,338E+03     213 A        78 A        58 A   
  32,50 keV   7,062E+01  1,345E+03     228 A        82 A        62 A   
  35,00 keV   7,329E+01  1,350E+03     242 A        87 A        65 A   
  37,50 keV   7,586E+01  1,353E+03     256 A        91 A        68 A   
