 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> febbraio 02, 2026 
 ==================================================================

 Disk File Name = SRIM Outputs\Niobium in Ca- P- O- F-Cl- O- H.txt

 Ion = Niobium [41] , Mass = 92,91 amu

 Target Density =  3,1500E+00 g/cm3 = 7,9660E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Ca     20    022,73    038,25   
      P     15    013,64    017,74   
      O      8    054,54    036,65   
      F      9    008,18    006,53   
     Cl     17    000,45    000,67   
      O      8    000,23    000,15   
      H      1    000,23    000,01   
 ====================================
 Bragg Correction = 0,00%
 Stopping Units =  keV / micron   
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  10,00 keV   6,395E+01  1,495E+03      88 A        30 A        23 A   
  11,00 keV   6,707E+01  1,536E+03      93 A        32 A        24 A   
  12,00 keV   7,005E+01  1,573E+03      98 A        33 A        25 A   
  13,00 keV   7,291E+01  1,607E+03     103 A        34 A        26 A   
  14,00 keV   7,566E+01  1,638E+03     108 A        36 A        27 A   
  15,00 keV   7,832E+01  1,666E+03     113 A        37 A        29 A   
  16,00 keV   8,089E+01  1,693E+03     117 A        39 A        30 A   
  17,00 keV   8,338E+01  1,717E+03     122 A        40 A        31 A   
  18,00 keV   8,579E+01  1,740E+03     127 A        41 A        32 A   
  20,00 keV   9,043E+01  1,781E+03     136 A        44 A        34 A   
  22,50 keV   9,592E+01  1,825E+03     147 A        47 A        36 A   
  25,00 keV   1,011E+02  1,864E+03     157 A        49 A        38 A   
  27,50 keV   1,060E+02  1,897E+03     168 A        52 A        41 A   
  30,00 keV   1,108E+02  1,926E+03     178 A        55 A        43 A   
  32,50 keV   1,153E+02  1,952E+03     189 A        58 A        45 A   
  35,00 keV   1,196E+02  1,975E+03     199 A        60 A        47 A   
  37,50 keV   1,238E+02  1,995E+03     209 A        63 A        49 A   
