 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> febbraio 02, 2026 
 ==================================================================

 Disk File Name = SRIM Outputs\Nitrogen in Ca- P- O- F-Cl- O- H.txt

 Ion = Nitrogen [7] , Mass = 14,003 amu

 Target Density =  3,1500E+00 g/cm3 = 7,9660E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Ca     20    022,73    038,25   
      P     15    013,64    017,74   
      O      8    054,54    036,65   
      F      9    008,18    006,53   
     Cl     17    000,45    000,67   
      O      8    000,23    000,15   
      H      1    000,23    000,01   
 ====================================
 Bragg Correction = 0,00%
 Stopping Units =  keV / micron   
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  10,00 keV   1,013E+02  1,961E+02     229 A       129 A        94 A   
  11,00 keV   1,062E+02  1,931E+02     251 A       139 A       101 A   
  12,00 keV   1,110E+02  1,901E+02     272 A       149 A       109 A   
  13,00 keV   1,155E+02  1,871E+02     294 A       159 A       116 A   
  14,00 keV   1,199E+02  1,843E+02     316 A       169 A       124 A   
  15,00 keV   1,241E+02  1,814E+02     338 A       179 A       131 A   
  16,00 keV   1,281E+02  1,787E+02     360 A       188 A       138 A   
  17,00 keV   1,321E+02  1,760E+02     382 A       198 A       145 A   
  18,00 keV   1,359E+02  1,734E+02     404 A       207 A       153 A   
  20,00 keV   1,433E+02  1,684E+02     449 A       225 A       167 A   
  22,50 keV   1,519E+02  1,626E+02     505 A       248 A       185 A   
  25,00 keV   1,602E+02  1,572E+02     561 A       269 A       202 A   
  27,50 keV   1,680E+02  1,522E+02     617 A       290 A       219 A   
  30,00 keV   1,760E+02  1,475E+02     674 A       311 A       236 A   
  32,50 keV   1,841E+02  1,432E+02     730 A       330 A       253 A   
  35,00 keV   1,922E+02  1,392E+02     786 A       350 A       269 A   
  37,50 keV   2,001E+02  1,354E+02     842 A       368 A       285 A   
