 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> febbraio 23, 2026 
 ==================================================================

 Disk File Name = SRIM Outputs\Oxygen in Ca- P- O- F-Cl- O- H.txt

 Ion = Oxygen [8] , Mass = 15,995 amu

 Target Density =  3,1500E+00 g/cm3 = 7,8943E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Ca     20    023,81    039,71   
      P     15    014,29    018,42   
      O      8    057,13    038,04   
      F      9    004,29    003,39   
     Cl     17    000,24    000,35   
      O      8    000,12    000,08   
      H      1    000,12    000,01   
 ====================================
 Bragg Correction = 0,00%
 Stopping Units =  keV / micron   
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  10,00 keV   9,574E+01  2,448E+02     205 A       114 A        82 A   
  11,00 keV   1,004E+02  2,420E+02     224 A       123 A        89 A   
  12,00 keV   1,049E+02  2,391E+02     243 A       132 A        95 A   
  13,00 keV   1,092E+02  2,362E+02     263 A       141 A       102 A   
  14,00 keV   1,133E+02  2,332E+02     282 A       150 A       108 A   
  15,00 keV   1,173E+02  2,303E+02     301 A       159 A       114 A   
  16,00 keV   1,211E+02  2,274E+02     321 A       167 A       121 A   
  17,00 keV   1,248E+02  2,246E+02     340 A       176 A       127 A   
  18,00 keV   1,285E+02  2,218E+02     360 A       184 A       133 A   
  20,00 keV   1,354E+02  2,163E+02     399 A       201 A       146 A   
  22,50 keV   1,436E+02  2,099E+02     449 A       221 A       161 A   
  25,00 keV   1,514E+02  2,038E+02     499 A       241 A       177 A   
  27,50 keV   1,588E+02  1,980E+02     549 A       261 A       192 A   
  30,00 keV   1,658E+02  1,927E+02     599 A       280 A       207 A   
  32,50 keV   1,724E+02  1,876E+02     650 A       299 A       222 A   
  35,00 keV   1,781E+02  1,828E+02     701 A       317 A       237 A   
  37,50 keV   1,837E+02  1,784E+02     752 A       335 A       252 A   
