 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> febbraio 23, 2026 
 ==================================================================

 Disk File Name = SRIM Outputs\Palladium in Ca- P- O- F-Cl- O- H.txt

 Ion = Palladium [46] , Mass = 105,903 amu

 Target Density =  3,1500E+00 g/cm3 = 7,8943E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Ca     20    023,81    039,71   
      P     15    014,29    018,42   
      O      8    057,13    038,04   
      F      9    004,29    003,39   
     Cl     17    000,24    000,35   
      O      8    000,12    000,08   
      H      1    000,12    000,01   
 ====================================
 Bragg Correction = 0,00%
 Stopping Units =  keV / micron   
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  10,00 keV   6,098E+01  1,578E+03      88 A        29 A        22 A   
  11,00 keV   6,396E+01  1,624E+03      93 A        30 A        23 A   
  12,00 keV   6,680E+01  1,667E+03      97 A        32 A        24 A   
  13,00 keV   6,953E+01  1,706E+03     102 A        33 A        25 A   
  14,00 keV   7,216E+01  1,742E+03     107 A        34 A        26 A   
  15,00 keV   7,469E+01  1,775E+03     111 A        36 A        27 A   
  16,00 keV   7,714E+01  1,806E+03     116 A        37 A        28 A   
  17,00 keV   7,951E+01  1,835E+03     120 A        38 A        29 A   
  18,00 keV   8,182E+01  1,862E+03     125 A        39 A        30 A   
  20,00 keV   8,624E+01  1,911E+03     133 A        41 A        32 A   
  22,50 keV   9,148E+01  1,965E+03     144 A        44 A        34 A   
  25,00 keV   9,642E+01  2,012E+03     154 A        47 A        36 A   
  27,50 keV   1,011E+02  2,053E+03     164 A        49 A        38 A   
  30,00 keV   1,056E+02  2,090E+03     174 A        52 A        40 A   
  32,50 keV   1,099E+02  2,122E+03     183 A        54 A        42 A   
  35,00 keV   1,141E+02  2,151E+03     193 A        57 A        44 A   
  37,50 keV   1,181E+02  2,178E+03     202 A        59 A        46 A   
