 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> febbraio 02, 2026 
 ==================================================================

 Disk File Name = SRIM Outputs\Phosphorus in Ca- P- O- F-Cl- O- H.txt

 Ion = Phosphorus [15] , Mass = 30,974 amu

 Target Density =  3,1500E+00 g/cm3 = 7,9660E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Ca     20    022,73    038,25   
      P     15    013,64    017,74   
      O      8    054,54    036,65   
      F      9    008,18    006,53   
     Cl     17    000,45    000,67   
      O      8    000,23    000,15   
      H      1    000,23    000,01   
 ====================================
 Bragg Correction = 0,00%
 Stopping Units =  keV / micron   
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  10,00 keV   8,886E+01  6,165E+02     125 A        59 A        43 A   
  11,00 keV   9,320E+01  6,198E+02     135 A        63 A        46 A   
  12,00 keV   9,735E+01  6,221E+02     146 A        68 A        49 A   
  13,00 keV   1,013E+02  6,235E+02     156 A        72 A        52 A   
  14,00 keV   1,051E+02  6,243E+02     166 A        76 A        55 A   
  15,00 keV   1,088E+02  6,246E+02     176 A        80 A        58 A   
  16,00 keV   1,124E+02  6,243E+02     185 A        84 A        60 A   
  17,00 keV   1,159E+02  6,237E+02     195 A        88 A        63 A   
  18,00 keV   1,192E+02  6,228E+02     205 A        92 A        66 A   
  20,00 keV   1,257E+02  6,202E+02     225 A       100 A        72 A   
  22,50 keV   1,333E+02  6,158E+02     250 A       109 A        78 A   
  25,00 keV   1,405E+02  6,107E+02     275 A       119 A        85 A   
  27,50 keV   1,474E+02  6,050E+02     301 A       128 A        92 A   
  30,00 keV   1,539E+02  5,989E+02     326 A       138 A        98 A   
  32,50 keV   1,602E+02  5,926E+02     351 A       147 A       105 A   
  35,00 keV   1,663E+02  5,862E+02     377 A       156 A       111 A   
  37,50 keV   1,721E+02  5,798E+02     402 A       166 A       117 A   
