 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> febbraio 02, 2026 
 ==================================================================

 Disk File Name = SRIM Outputs\Potassium in Ca- P- O- F-Cl- O- H.txt

 Ion = Potassium [19] , Mass = 38,964 amu

 Target Density =  3,1500E+00 g/cm3 = 7,9660E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Ca     20    022,73    038,25   
      P     15    013,64    017,74   
      O      8    054,54    036,65   
      F      9    008,18    006,53   
     Cl     17    000,45    000,67   
      O      8    000,23    000,15   
      H      1    000,23    000,01   
 ====================================
 Bragg Correction = 0,00%
 Stopping Units =  keV / micron   
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  10,00 keV   9,855E+01  8,037E+02     108 A        48 A        35 A   
  11,00 keV   1,034E+02  8,125E+02     116 A        51 A        38 A   
  12,00 keV   1,080E+02  8,197E+02     124 A        54 A        40 A   
  13,00 keV   1,124E+02  8,256E+02     132 A        57 A        42 A   
  14,00 keV   1,166E+02  8,304E+02     140 A        60 A        44 A   
  15,00 keV   1,207E+02  8,344E+02     148 A        63 A        46 A   
  16,00 keV   1,247E+02  8,375E+02     156 A        66 A        49 A   
  17,00 keV   1,285E+02  8,400E+02     164 A        69 A        51 A   
  18,00 keV   1,322E+02  8,420E+02     172 A        72 A        53 A   
  20,00 keV   1,394E+02  8,444E+02     187 A        77 A        57 A   
  22,50 keV   1,478E+02  8,454E+02     207 A        84 A        62 A   
  25,00 keV   1,558E+02  8,446E+02     226 A        91 A        67 A   
  27,50 keV   1,634E+02  8,426E+02     245 A        98 A        72 A   
  30,00 keV   1,707E+02  8,395E+02     265 A       105 A        76 A   
  32,50 keV   1,777E+02  8,358E+02     284 A       112 A        81 A   
  35,00 keV   1,844E+02  8,314E+02     303 A       118 A        86 A   
  37,50 keV   1,908E+02  8,267E+02     323 A       125 A        91 A   
