 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> febbraio 02, 2026 
 ==================================================================

 Disk File Name = SRIM Outputs\Rubidium in Ca- P- O- F-Cl- O- H.txt

 Ion = Rubidium [37] , Mass = 84,91 amu

 Target Density =  3,1500E+00 g/cm3 = 7,9660E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Ca     20    022,73    038,25   
      P     15    013,64    017,74   
      O      8    054,54    036,65   
      F      9    008,18    006,53   
     Cl     17    000,45    000,67   
      O      8    000,23    000,15   
      H      1    000,23    000,01   
 ====================================
 Bragg Correction = 0,00%
 Stopping Units =  keV / micron   
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  10,00 keV   5,924E+01  1,411E+03      89 A        32 A        24 A   
  11,00 keV   6,213E+01  1,447E+03      95 A        33 A        25 A   
  12,00 keV   6,489E+01  1,480E+03     100 A        35 A        26 A   
  13,00 keV   6,754E+01  1,509E+03     105 A        36 A        28 A   
  14,00 keV   7,009E+01  1,536E+03     111 A        38 A        29 A   
  15,00 keV   7,255E+01  1,561E+03     116 A        39 A        30 A   
  16,00 keV   7,493E+01  1,584E+03     121 A        41 A        31 A   
  17,00 keV   7,724E+01  1,604E+03     126 A        42 A        32 A   
  18,00 keV   7,948E+01  1,624E+03     130 A        43 A        33 A   
  20,00 keV   8,378E+01  1,659E+03     140 A        46 A        36 A   
  22,50 keV   8,886E+01  1,696E+03     152 A        49 A        38 A   
  25,00 keV   9,367E+01  1,728E+03     163 A        53 A        41 A   
  27,50 keV   9,824E+01  1,755E+03     175 A        56 A        43 A   
  30,00 keV   1,026E+02  1,778E+03     186 A        59 A        46 A   
  32,50 keV   1,068E+02  1,799E+03     197 A        62 A        48 A   
  35,00 keV   1,108E+02  1,816E+03     208 A        65 A        51 A   
  37,50 keV   1,147E+02  1,832E+03     219 A        68 A        53 A   
