 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> febbraio 23, 2026 
 ==================================================================

 Disk File Name = SRIM Outputs\Samarium in Ca- P- O- F-Cl- O- H.txt

 Ion = Samarium [62] , Mass = 151,919 amu

 Target Density =  3,1500E+00 g/cm3 = 7,8943E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Ca     20    023,81    039,71   
      P     15    014,29    018,42   
      O      8    057,13    038,04   
      F      9    004,29    003,39   
     Cl     17    000,24    000,35   
      O      8    000,12    000,08   
      H      1    000,12    000,01   
 ====================================
 Bragg Correction = 0,00%
 Stopping Units =  keV / micron   
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  10,00 keV   5,325E+01  1,752E+03      91 A        27 A        20 A   
  11,00 keV   5,585E+01  1,813E+03      95 A        28 A        21 A   
  12,00 keV   5,834E+01  1,870E+03     100 A        29 A        22 A   
  13,00 keV   6,072E+01  1,923E+03     104 A        30 A        23 A   
  14,00 keV   6,301E+01  1,972E+03     109 A        31 A        24 A   
  15,00 keV   6,522E+01  2,018E+03     113 A        32 A        24 A   
  16,00 keV   6,736E+01  2,061E+03     117 A        33 A        25 A   
  17,00 keV   6,943E+01  2,102E+03     121 A        34 A        26 A   
  18,00 keV   7,145E+01  2,140E+03     125 A        35 A        27 A   
  20,00 keV   7,531E+01  2,211E+03     133 A        37 A        28 A   
  22,50 keV   7,988E+01  2,291E+03     142 A        39 A        30 A   
  25,00 keV   8,420E+01  2,362E+03     151 A        41 A        32 A   
  27,50 keV   8,831E+01  2,425E+03     160 A        43 A        33 A   
  30,00 keV   9,224E+01  2,483E+03     168 A        45 A        35 A   
  32,50 keV   9,601E+01  2,536E+03     177 A        47 A        37 A   
  35,00 keV   9,963E+01  2,584E+03     185 A        49 A        38 A   
  37,50 keV   1,031E+02  2,628E+03     193 A        51 A        40 A   
