# Energy(keV)    dEe/dx(keV/micro_m)  dEn/dx(keV/micro_m)  x(micro_m)
1.000000e+01 5.510000e+01 1.646000e+03 9.563472e-03
1.100000e+01 5.779000e+01 1.698000e+03 1.001649e-02
1.200000e+01 6.036000e+01 1.746000e+03 1.053281e-02
1.300000e+01 6.283000e+01 1.790000e+03 1.104943e-02
1.400000e+01 6.520000e+01 1.830000e+03 1.147301e-02
1.500000e+01 6.749000e+01 1.868000e+03 1.199000e-02
1.600000e+01 6.970000e+01 1.903000e+03 1.241370e-02
1.700000e+01 7.185000e+01 1.936000e+03 1.286585e-02
1.800000e+01 7.393000e+01 1.967000e+03 1.328947e-02
2.000000e+01 7.793000e+01 2.024000e+03 1.423025e-02
2.250000e+01 8.266000e+01 2.087000e+03 1.526499e-02
2.500000e+01 8.713000e+01 2.142000e+03 1.632758e-02
2.750000e+01 9.138000e+01 2.191000e+03 1.726905e-02
3.000000e+01 9.544000e+01 2.235000e+03 1.818956e-02
3.250000e+01 9.934000e+01 2.274000e+03 1.922550e-02
3.500000e+01 1.031000e+02 2.310000e+03 2.019406e-02
3.750000e+01 1.067000e+02 2.342000e+03 2.104186e-02
4.000000e+01 1.102000e+02 2.372000e+03 2.198386e-02
4.500000e+01 1.169000e+02 2.424000e+03 2.384743e-02
5.000000e+01 1.232000e+02 2.468000e+03 2.561718e-02
5.500000e+01 1.292000e+02 2.505000e+03 2.729267e-02
6.000000e+01 1.350000e+02 2.538000e+03 2.905770e-02
6.500000e+01 1.405000e+02 2.566000e+03 3.073337e-02
7.000000e+01 1.458000e+02 2.590000e+03 3.240910e-02
8.000000e+01 1.559000e+02 2.630000e+03 3.573598e-02
9.000000e+01 1.653000e+02 2.660000e+03 3.904382e-02
1.000000e+02 1.743000e+02 2.682000e+03 4.227671e-02
1.100000e+02 1.828000e+02 2.699000e+03 4.550978e-02
1.200000e+02 1.909000e+02 2.712000e+03 4.860484e-02
1.300000e+02 1.987000e+02 2.720000e+03 5.181930e-02
1.400000e+02 2.062000e+02 2.726000e+03 5.493414e-02
1.500000e+02 2.134000e+02 2.729000e+03 5.814903e-02
1.600000e+02 2.204000e+02 2.730000e+03 6.124557e-02
1.700000e+02 2.272000e+02 2.729000e+03 6.446092e-02
1.800000e+02 2.338000e+02 2.726000e+03 6.755798e-02
2.000000e+02 2.464000e+02 2.718000e+03 7.388931e-02
2.250000e+02 2.614000e+02 2.702000e+03 8.172038e-02
2.500000e+02 2.873000e+02 2.683000e+03 8.959269e-02
2.750000e+02 3.258000e+02 2.661000e+03 9.742577e-02
3.000000e+02 3.523000e+02 2.636000e+03 1.051637e-01
3.250000e+02 3.716000e+02 2.611000e+03 1.129983e-01
3.500000e+02 3.867000e+02 2.585000e+03 1.209296e-01
3.750000e+02 3.995000e+02 2.559000e+03 1.288615e-01
4.000000e+02 4.113000e+02 2.532000e+03 1.367729e-01
4.500000e+02 4.336000e+02 2.478000e+03 1.528317e-01
5.000000e+02 4.563000e+02 2.426000e+03 1.691609e-01
5.500000e+02 4.801000e+02 2.375000e+03 1.855720e-01
6.000000e+02 5.052000e+02 2.325000e+03 2.021945e-01
6.500000e+02 5.315000e+02 2.278000e+03 2.190117e-01
7.000000e+02 5.589000e+02 2.232000e+03 2.359271e-01
8.000000e+02 6.160000e+02 2.146000e+03 2.700323e-01
9.000000e+02 6.746000e+02 2.066000e+03 3.045922e-01
1.000000e+03 7.334000e+02 1.993000e+03 3.394444e-01
1.100000e+03 7.913000e+02 1.926000e+03 3.743610e-01
1.200000e+03 8.477000e+02 1.863000e+03 4.095402e-01
1.300000e+03 9.024000e+02 1.806000e+03 4.447058e-01
1.400000e+03 9.552000e+02 1.752000e+03 4.800523e-01
1.500000e+03 1.006000e+03 1.702000e+03 5.153680e-01
1.600000e+03 1.055000e+03 1.655000e+03 5.506558e-01
1.700000e+03 1.102000e+03 1.611000e+03 5.860137e-01
1.800000e+03 1.147000e+03 1.569000e+03 6.213732e-01
2.000000e+03 1.233000e+03 1.494000e+03 6.919451e-01
2.250000e+03 1.332000e+03 1.411000e+03 7.798903e-01
2.500000e+03 1.425000e+03 1.338000e+03 8.673409e-01
2.750000e+03 1.513000e+03 1.273000e+03 9.541884e-01
3.000000e+03 1.597000e+03 1.216000e+03 1.040461e+00
3.250000e+03 1.679000e+03 1.164000e+03 1.121439e+00
3.500000e+03 1.759000e+03 1.117000e+03 1.212146e+00
3.750000e+03 1.838000e+03 1.074000e+03 1.292972e+00
4.000000e+03 1.916000e+03 1.035000e+03 1.373702e+00
4.500000e+03 2.072000e+03 9.663000e+02 1.535052e+00
5.000000e+03 2.228000e+03 9.072000e+02 1.696128e+00
5.500000e+03 2.386000e+03 8.559000e+02 1.847126e+00
6.000000e+03 2.545000e+03 8.109000e+02 1.997918e+00
6.500000e+03 2.705000e+03 7.710000e+02 2.138657e+00
7.000000e+03 2.867000e+03 7.353000e+02 2.279231e+00
8.000000e+03 3.192000e+03 6.743000e+02 2.540317e+00
9.000000e+03 3.518000e+03 6.237000e+02 2.781139e+00
1.000000e+04 3.840000e+03 5.811000e+02 3.011665e+00
1.100000e+04 4.156000e+03 5.446000e+02 3.231989e+00
1.200000e+04 4.465000e+03 5.129000e+02 3.432274e+00
1.300000e+04 4.766000e+03 4.851000e+02 3.622452e+00
1.400000e+04 5.057000e+03 4.606000e+02 3.812482e+00
1.500000e+04 5.338000e+03 4.386000e+02 3.982540e+00
1.600000e+04 5.609000e+03 4.189000e+02 4.152494e+00
1.700000e+04 5.870000e+03 4.011000e+02 4.312454e+00
1.800000e+04 6.120000e+03 3.849000e+02 4.462417e+00
2.000000e+04 6.591000e+03 3.565000e+02 4.762246e+00
2.250000e+04 7.127000e+03 3.270000e+02 5.102062e+00
2.500000e+04 7.611000e+03 3.024000e+02 5.421792e+00
2.750000e+04 8.049000e+03 2.816000e+02 5.731445e+00
3.000000e+04 8.448000e+03 2.638000e+02 6.021105e+00
3.250000e+04 8.814000e+03 2.483000e+02 6.300748e+00
3.500000e+04 9.152000e+03 2.346000e+02 6.570388e+00
3.750000e+04 9.466000e+03 2.226000e+02 6.830031e+00
4.000000e+04 9.760000e+03 2.118000e+02 7.079694e+00
4.500000e+04 1.030000e+04 1.933000e+02 7.569143e+00
5.000000e+04 1.078000e+04 1.781000e+02 8.028630e+00
5.500000e+04 1.123000e+04 1.653000e+02 8.478095e+00
6.000000e+04 1.165000e+04 1.543000e+02 8.907598e+00
6.500000e+04 1.204000e+04 1.449000e+02 9.327112e+00
7.000000e+04 1.240000e+04 1.366000e+02 9.726670e+00
8.000000e+04 1.308000e+04 1.228000e+02 1.049612e+01
9.000000e+04 1.370000e+04 1.117000e+02 1.123557e+01
1.000000e+05 1.426000e+04 1.025000e+02 1.194504e+01
1.100000e+05 1.477000e+04 9.491000e+01 1.263453e+01
1.200000e+05 1.524000e+04 8.842000e+01 1.329406e+01
1.300000e+05 1.568000e+04 8.281000e+01 1.393362e+01
1.400000e+05 1.608000e+04 7.793000e+01 1.455322e+01
1.500000e+05 1.645000e+04 7.363000e+01 1.517281e+01
1.600000e+05 1.680000e+04 6.981000e+01 1.576245e+01
1.700000e+05 1.712000e+04 6.640000e+01 1.635209e+01
1.800000e+05 1.741000e+04 6.333000e+01 1.693175e+01
2.000000e+05 1.793000e+04 5.802000e+01 1.805149e+01
2.250000e+05 1.848000e+04 5.259000e+01 1.942134e+01
2.500000e+05 1.897000e+04 4.815000e+01 2.075118e+01
2.750000e+05 1.934000e+04 4.445000e+01 2.205099e+01
3.000000e+05 1.953000e+04 4.131000e+01 2.334080e+01
3.250000e+05 1.972000e+04 3.861000e+01 2.461062e+01
3.500000e+05 1.987000e+04 3.626000e+01 2.587045e+01
3.750000e+05 1.998000e+04 3.420000e+01 2.712028e+01
4.000000e+05 2.005000e+04 3.238000e+01 2.837012e+01
4.500000e+05 2.013000e+04 2.929000e+01 3.085082e+01
5.000000e+05 2.012000e+04 2.677000e+01 3.333140e+01
5.500000e+05 2.006000e+04 2.467000e+01 3.580786e+01
6.000000e+05 1.995000e+04 2.290000e+01 3.829754e+01
6.500000e+05 1.981000e+04 2.137000e+01 4.080726e+01
7.000000e+05 1.964000e+04 2.005000e+01 4.334700e+01
8.000000e+05 1.925000e+04 1.787000e+01 4.848655e+01
9.000000e+05 1.881000e+04 1.614000e+01 5.373618e+01
1.000000e+00 1.836000e+04 1.473000e+01 5.910587e+01
