 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> febbraio 23, 2026 
 ==================================================================

 Disk File Name = SRIM Outputs\Scandium in Ca- P- O- F-Cl- O- H.txt

 Ion = Scandium [21] , Mass = 44,956 amu

 Target Density =  3,1500E+00 g/cm3 = 7,8943E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Ca     20    023,81    039,71   
      P     15    014,29    018,42   
      O      8    057,13    038,04   
      F      9    004,29    003,39   
     Cl     17    000,24    000,35   
      O      8    000,12    000,08   
      H      1    000,12    000,01   
 ====================================
 Bragg Correction = 0,00%
 Stopping Units =  keV / micron   
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  10,00 keV   8,349E+01  8,965E+02     104 A        44 A        33 A   
  11,00 keV   8,756E+01  9,087E+02     112 A        47 A        35 A   
  12,00 keV   9,145E+01  9,190E+02     120 A        50 A        37 A   
  13,00 keV   9,519E+01  9,278E+02     127 A        53 A        39 A   
  14,00 keV   9,878E+01  9,352E+02     134 A        55 A        41 A   
  15,00 keV   1,022E+02  9,416E+02     142 A        58 A        43 A   
  16,00 keV   1,056E+02  9,471E+02     149 A        61 A        45 A   
  17,00 keV   1,089E+02  9,517E+02     156 A        63 A        47 A   
  18,00 keV   1,120E+02  9,556E+02     163 A        66 A        49 A   
  20,00 keV   1,181E+02  9,617E+02     178 A        71 A        53 A   
  22,50 keV   1,252E+02  9,666E+02     196 A        77 A        57 A   
  25,00 keV   1,320E+02  9,693E+02     214 A        83 A        62 A   
  27,50 keV   1,384E+02  9,702E+02     231 A        90 A        66 A   
  30,00 keV   1,446E+02  9,697E+02     249 A        96 A        70 A   
  32,50 keV   1,505E+02  9,683E+02     267 A       102 A        75 A   
  35,00 keV   1,562E+02  9,659E+02     284 A       108 A        79 A   
  37,50 keV   1,617E+02  9,629E+02     302 A       113 A        83 A   
