# Energy(keV)    dEe/dx(keV/micro_m)  dEn/dx(keV/micro_m)  x(micro_m)
1.000000e+01 5.991000e+01 1.337000e+03 9.997500e-03
1.100000e+01 6.283000e+01 1.369000e+03 1.063485e-02
1.200000e+01 6.563000e+01 1.398000e+03 1.126455e-02
1.300000e+01 6.831000e+01 1.424000e+03 1.181059e-02
1.400000e+01 7.089000e+01 1.448000e+03 1.244829e-02
1.500000e+01 7.337000e+01 1.470000e+03 1.296264e-02
1.600000e+01 7.578000e+01 1.490000e+03 1.353292e-02
1.700000e+01 7.811000e+01 1.508000e+03 1.404742e-02
1.800000e+01 8.038000e+01 1.525000e+03 1.468537e-02
2.000000e+01 8.473000e+01 1.555000e+03 1.574643e-02
2.250000e+01 8.987000e+01 1.587000e+03 1.701558e-02
2.500000e+01 9.473000e+01 1.614000e+03 1.831557e-02
2.750000e+01 9.935000e+01 1.637000e+03 1.958520e-02
3.000000e+01 1.038000e+02 1.656000e+03 2.083195e-02
3.250000e+01 1.080000e+02 1.672000e+03 2.213188e-02
3.500000e+01 1.121000e+02 1.687000e+03 2.337926e-02
3.750000e+01 1.160000e+02 1.699000e+03 2.455687e-02
4.000000e+01 1.198000e+02 1.709000e+03 2.580484e-02
4.500000e+01 1.271000e+02 1.726000e+03 2.825987e-02
5.000000e+01 1.340000e+02 1.738000e+03 3.059297e-02
5.500000e+01 1.405000e+02 1.747000e+03 3.301954e-02
6.000000e+01 1.468000e+02 1.752000e+03 3.533115e-02
6.500000e+01 1.527000e+02 1.756000e+03 3.775831e-02
7.000000e+01 1.585000e+02 1.757000e+03 4.007056e-02
8.000000e+01 1.695000e+02 1.756000e+03 4.478326e-02
9.000000e+01 1.797000e+02 1.751000e+03 4.943046e-02
1.000000e+02 1.895000e+02 1.742000e+03 5.414481e-02
1.100000e+02 1.987000e+02 1.732000e+03 5.886603e-02
1.200000e+02 2.075000e+02 1.719000e+03 6.358160e-02
1.300000e+02 2.160000e+02 1.706000e+03 6.827738e-02
1.400000e+02 2.242000e+02 1.692000e+03 7.297383e-02
1.500000e+02 2.320000e+02 1.678000e+03 7.778522e-02
1.600000e+02 2.399000e+02 1.663000e+03 8.257718e-02
1.700000e+02 2.577000e+02 1.648000e+03 8.739537e-02
1.800000e+02 2.719000e+02 1.633000e+03 9.218210e-02
2.000000e+02 2.933000e+02 1.602000e+03 1.018637e-01
2.250000e+02 3.132000e+02 1.565000e+03 1.140453e-01
2.500000e+02 3.302000e+02 1.529000e+03 1.263999e-01
2.750000e+02 3.469000e+02 1.494000e+03 1.388702e-01
3.000000e+02 3.641000e+02 1.461000e+03 1.515139e-01
3.250000e+02 3.821000e+02 1.428000e+03 1.642489e-01
3.500000e+02 4.007000e+02 1.398000e+03 1.772001e-01
3.750000e+02 4.199000e+02 1.368000e+03 1.901112e-01
4.000000e+02 4.397000e+02 1.340000e+03 2.031371e-01
4.500000e+02 4.802000e+02 1.288000e+03 2.294571e-01
5.000000e+02 5.215000e+02 1.240000e+03 2.558377e-01
5.500000e+02 5.628000e+02 1.196000e+03 2.825060e-01
6.000000e+02 6.036000e+02 1.156000e+03 3.091181e-01
6.500000e+02 6.437000e+02 1.118000e+03 3.357304e-01
7.000000e+02 6.828000e+02 1.084000e+03 3.623883e-01
8.000000e+02 7.578000e+02 1.021000e+03 4.154578e-01
9.000000e+02 8.283000e+02 9.671000e+02 4.682356e-01
1.000000e+03 8.946000e+02 9.192000e+02 5.206233e-01
1.100000e+03 9.573000e+02 8.765000e+02 5.726095e-01
1.200000e+03 1.017000e+03 8.383000e+02 6.240181e-01
1.300000e+03 1.074000e+03 8.038000e+02 6.749651e-01
1.400000e+03 1.128000e+03 7.724000e+02 7.253518e-01
1.500000e+03 1.181000e+03 7.438000e+02 7.751824e-01
1.600000e+03 1.232000e+03 7.176000e+02 8.243411e-01
1.700000e+03 1.282000e+03 6.935000e+02 8.730723e-01
1.800000e+03 1.331000e+03 6.712000e+02 9.211655e-01
2.000000e+03 1.428000e+03 6.312000e+02 1.015534e+00
2.250000e+03 1.545000e+03 5.884000e+02 1.125313e+00
2.500000e+03 1.662000e+03 5.518000e+02 1.236285e+00
2.750000e+03 1.778000e+03 5.201000e+02 1.347029e+00
3.000000e+03 1.893000e+03 4.923000e+02 1.447773e+00
3.250000e+03 2.009000e+03 4.677000e+02 1.548316e+00
3.500000e+03 2.125000e+03 4.458000e+02 1.648733e+00
3.750000e+03 2.240000e+03 4.261000e+02 1.739157e+00
4.000000e+03 2.356000e+03 4.083000e+02 1.829489e+00
4.500000e+03 2.586000e+03 3.773000e+02 2.000047e+00
5.000000e+03 2.814000e+03 3.512000e+02 2.160424e+00
5.500000e+03 3.039000e+03 3.289000e+02 2.310649e+00
6.000000e+03 3.259000e+03 3.096000e+02 2.450816e+00
6.500000e+03 3.475000e+03 2.927000e+02 2.580915e+00
7.000000e+03 3.685000e+03 2.777000e+02 2.710888e+00
8.000000e+03 4.087000e+03 2.524000e+02 2.940946e+00
9.000000e+03 4.464000e+03 2.317000e+02 3.160763e+00
1.000000e+04 4.817000e+03 2.145000e+02 3.370471e+00
1.100000e+04 5.145000e+03 1.999000e+02 3.560201e+00
1.200000e+04 5.451000e+03 1.874000e+02 3.739896e+00
1.300000e+04 5.736000e+03 1.764000e+02 3.909595e+00
1.400000e+04 6.001000e+03 1.669000e+02 4.069303e+00
1.500000e+04 6.248000e+03 1.583000e+02 4.228962e+00
1.600000e+04 6.478000e+03 1.507000e+02 4.378656e+00
1.700000e+04 6.693000e+03 1.439000e+02 4.528321e+00
1.800000e+04 6.895000e+03 1.377000e+02 4.668020e+00
2.000000e+04 7.263000e+03 1.270000e+02 4.947470e+00
2.250000e+04 7.666000e+03 1.158000e+02 5.276852e+00
2.500000e+04 8.020000e+03 1.067000e+02 5.586297e+00
2.750000e+04 8.336000e+03 9.895000e+01 5.885746e+00
3.000000e+04 8.621000e+03 9.237000e+01 6.175218e+00
3.250000e+04 8.880000e+03 8.667000e+01 6.454739e+00
3.500000e+04 9.118000e+03 8.169000e+01 6.734241e+00
3.750000e+04 9.339000e+03 7.730000e+01 6.993827e+00
4.000000e+04 9.544000e+03 7.339000e+01 7.263380e+00
4.500000e+04 9.915000e+03 6.673000e+01 7.762796e+00
5.000000e+04 1.024000e+04 6.127000e+01 8.262202e+00
5.500000e+04 1.053000e+04 5.669000e+01 8.731697e+00
6.000000e+04 1.079000e+04 5.279000e+01 9.201197e+00
6.500000e+04 1.102000e+04 4.944000e+01 9.660730e+00
7.000000e+04 1.123000e+04 4.651000e+01 1.010032e+01
8.000000e+04 1.159000e+04 4.165000e+01 1.096989e+01
9.000000e+04 1.187000e+04 3.777000e+01 1.181949e+01
1.000000e+05 1.211000e+04 3.460000e+01 1.264911e+01
1.100000e+05 1.230000e+04 3.195000e+01 1.346875e+01
1.200000e+05 1.245000e+04 2.970000e+01 1.427842e+01
1.300000e+05 1.257000e+04 2.777000e+01 1.506812e+01
1.400000e+05 1.266000e+04 2.608000e+01 1.585784e+01
1.500000e+05 1.273000e+04 2.461000e+01 1.664757e+01
1.600000e+05 1.278000e+04 2.330000e+01 1.742732e+01
1.700000e+05 1.286000e+04 2.213000e+01 1.820709e+01
1.800000e+05 1.287000e+04 2.108000e+01 1.897688e+01
2.000000e+05 1.279000e+04 1.928000e+01 2.053707e+01
2.250000e+05 1.270000e+04 1.743000e+01 2.249762e+01
2.500000e+05 1.257000e+04 1.593000e+01 2.446809e+01
2.750000e+05 1.242000e+04 1.468000e+01 2.646850e+01
3.000000e+05 1.225000e+04 1.362000e+01 2.849887e+01
3.250000e+05 1.208000e+04 1.271000e+01 3.054921e+01
3.500000e+05 1.190000e+04 1.193000e+01 3.262954e+01
3.750000e+05 1.172000e+04 1.124000e+01 3.474984e+01
4.000000e+05 1.153000e+04 1.062000e+01 3.688576e+01
4.500000e+05 1.117000e+04 9.593000e+00 4.128545e+01
5.000000e+05 1.082000e+04 8.753000e+00 4.582519e+01
5.500000e+05 1.049000e+04 8.056000e+00 5.051498e+01
6.000000e+05 1.016000e+04 7.467000e+00 5.535480e+01
6.500000e+05 9.859000e+03 6.963000e+00 6.034465e+01
7.000000e+05 9.568000e+03 6.525000e+00 6.549453e+01
8.000000e+05 9.029000e+03 5.804000e+00 7.624434e+01
9.000000e+05 8.542000e+03 5.234000e+00 8.763421e+01
1.000000e+00 8.101000e+03 4.770000e+00 9.964413e+01
