 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> febbraio 23, 2026 
 ==================================================================

 Disk File Name = SRIM Outputs\Selenium in Ca- P- O- F-Cl- O- H.txt

 Ion = Selenium [34] , Mass = 79,92 amu

 Target Density =  3,1500E+00 g/cm3 = 7,8943E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Ca     20    023,81    039,71   
      P     15    014,29    018,42   
      O      8    057,13    038,04   
      F      9    004,29    003,39   
     Cl     17    000,24    000,35   
      O      8    000,12    000,08   
      H      1    000,12    000,01   
 ====================================
 Bragg Correction = 0,00%
 Stopping Units =  keV / micron   
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  10,00 keV   5,991E+01  1,337E+03      91 A        33 A        25 A   
  11,00 keV   6,283E+01  1,369E+03      97 A        35 A        26 A   
  12,00 keV   6,563E+01  1,398E+03     103 A        36 A        28 A   
  13,00 keV   6,831E+01  1,424E+03     108 A        38 A        29 A   
  14,00 keV   7,089E+01  1,448E+03     114 A        40 A        30 A   
  15,00 keV   7,337E+01  1,470E+03     119 A        41 A        31 A   
  16,00 keV   7,578E+01  1,490E+03     124 A        43 A        33 A   
  17,00 keV   7,811E+01  1,508E+03     129 A        44 A        34 A   
  18,00 keV   8,038E+01  1,525E+03     135 A        46 A        35 A   
  20,00 keV   8,473E+01  1,555E+03     145 A        49 A        37 A   
  22,50 keV   8,987E+01  1,587E+03     157 A        52 A        40 A   
  25,00 keV   9,473E+01  1,614E+03     169 A        56 A        43 A   
  27,50 keV   9,935E+01  1,637E+03     181 A        59 A        46 A   
  30,00 keV   1,038E+02  1,656E+03     193 A        62 A        48 A   
  32,50 keV   1,080E+02  1,672E+03     205 A        66 A        51 A   
  35,00 keV   1,121E+02  1,687E+03     217 A        69 A        53 A   
  37,50 keV   1,160E+02  1,699E+03     228 A        72 A        56 A   
