 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> febbraio 02, 2026 
 ==================================================================

 Disk File Name = SRIM Outputs\Silicon in Ca- P- O- F-Cl- O- H.txt

 Ion = Silicon [14] , Mass = 27,977 amu

 Target Density =  3,1500E+00 g/cm3 = 7,9660E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Ca     20    022,73    038,25   
      P     15    013,64    017,74   
      O      8    054,54    036,65   
      F      9    008,18    006,53   
     Cl     17    000,45    000,67   
      O      8    000,23    000,15   
      H      1    000,23    000,01   
 ====================================
 Bragg Correction = 0,00%
 Stopping Units =  keV / micron   
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  10,00 keV   1,046E+02  5,582E+02     130 A        63 A        46 A   
  11,00 keV   1,097E+02  5,600E+02     140 A        67 A        49 A   
  12,00 keV   1,146E+02  5,611E+02     151 A        72 A        52 A   
  13,00 keV   1,192E+02  5,614E+02     162 A        76 A        55 A   
  14,00 keV   1,237E+02  5,612E+02     172 A        81 A        58 A   
  15,00 keV   1,281E+02  5,605E+02     183 A        85 A        61 A   
  16,00 keV   1,323E+02  5,595E+02     193 A        89 A        64 A   
  17,00 keV   1,364E+02  5,581E+02     204 A        93 A        67 A   
  18,00 keV   1,403E+02  5,566E+02     214 A        98 A        70 A   
  20,00 keV   1,479E+02  5,528E+02     235 A       106 A        76 A   
  22,50 keV   1,569E+02  5,473E+02     261 A       116 A        83 A   
  25,00 keV   1,654E+02  5,413E+02     288 A       126 A        90 A   
  27,50 keV   1,734E+02  5,349E+02     314 A       137 A        98 A   
  30,00 keV   1,812E+02  5,284E+02     341 A       147 A       105 A   
  32,50 keV   1,885E+02  5,217E+02     368 A       156 A       112 A   
  35,00 keV   1,957E+02  5,151E+02     395 A       166 A       118 A   
  37,50 keV   2,025E+02  5,085E+02     422 A       176 A       125 A   
