# Energy(keV)    dEe/dx(keV/micro_m)  dEn/dx(keV/micro_m)  x(micro_m)
1.000000e+01 5.325000e+01 1.752000e+03 9.700515e-03
1.100000e+01 5.585000e+01 1.813000e+03 1.012423e-02
1.200000e+01 5.834000e+01 1.870000e+03 1.064190e-02
1.300000e+01 6.072000e+01 1.923000e+03 1.106571e-02
1.400000e+01 6.301000e+01 1.972000e+03 1.158361e-02
1.500000e+01 6.522000e+01 2.018000e+03 1.198708e-02
1.600000e+01 6.736000e+01 2.061000e+03 1.241088e-02
1.700000e+01 6.943000e+01 2.102000e+03 1.283472e-02
1.800000e+01 7.145000e+01 2.140000e+03 1.325858e-02
2.000000e+01 7.531000e+01 2.211000e+03 1.408616e-02
2.250000e+01 7.988000e+01 2.291000e+03 1.502831e-02
2.500000e+01 8.420000e+01 2.362000e+03 1.597060e-02
2.750000e+01 8.831000e+01 2.425000e+03 1.689319e-02
3.000000e+01 9.224000e+01 2.483000e+03 1.774091e-02
3.250000e+01 9.601000e+01 2.536000e+03 1.868342e-02
3.500000e+01 9.963000e+01 2.584000e+03 1.951154e-02
3.750000e+01 1.031000e+02 2.628000e+03 2.035927e-02
4.000000e+01 1.065000e+02 2.669000e+03 2.116270e-02
4.500000e+01 1.130000e+02 2.742000e+03 2.283878e-02
5.000000e+01 1.191000e+02 2.806000e+03 2.439549e-02
5.500000e+01 1.249000e+02 2.862000e+03 2.595246e-02
6.000000e+01 1.304000e+02 2.911000e+03 2.751436e-02
6.500000e+01 1.358000e+02 2.955000e+03 2.907146e-02
7.000000e+01 1.409000e+02 2.995000e+03 3.051459e-02
8.000000e+01 1.506000e+02 3.062000e+03 3.339671e-02
9.000000e+01 1.598000e+02 3.117000e+03 3.630248e-02
1.000000e+02 1.684000e+02 3.162000e+03 3.911279e-02
1.100000e+02 1.766000e+02 3.199000e+03 4.188234e-02
1.200000e+02 1.845000e+02 3.231000e+03 4.457477e-02
1.300000e+02 1.920000e+02 3.257000e+03 4.734522e-02
1.400000e+02 1.993000e+02 3.278000e+03 5.003809e-02
1.500000e+02 2.063000e+02 3.296000e+03 5.273490e-02
1.600000e+02 2.130000e+02 3.311000e+03 5.531410e-02
1.700000e+02 2.196000e+02 3.323000e+03 5.796801e-02
1.800000e+02 2.259000e+02 3.333000e+03 6.066127e-02
2.000000e+02 2.382000e+02 3.347000e+03 6.582059e-02
2.250000e+02 2.526000e+02 3.355000e+03 7.240407e-02
2.500000e+02 2.663000e+02 3.356000e+03 7.889195e-02
2.750000e+02 2.793000e+02 3.352000e+03 8.536334e-02
3.000000e+02 2.917000e+02 3.343000e+03 9.183180e-02
3.250000e+02 3.036000e+02 3.332000e+03 9.832095e-02
3.500000e+02 3.165000e+02 3.317000e+03 1.047738e-01
3.750000e+02 3.298000e+02 3.301000e+03 1.112634e-01
4.000000e+02 3.434000e+02 3.284000e+03 1.178138e-01
4.500000e+02 3.709000e+02 3.245000e+03 1.308550e-01
5.000000e+02 3.984000e+02 3.204000e+03 1.439745e-01
5.500000e+02 4.258000e+02 3.161000e+03 1.571761e-01
6.000000e+02 4.526000e+02 3.118000e+03 1.704760e-01
6.500000e+02 4.787000e+02 3.074000e+03 1.837924e-01
7.000000e+02 5.040000e+02 3.031000e+03 1.971910e-01
8.000000e+02 5.523000e+02 2.947000e+03 2.242790e-01
9.000000e+02 5.982000e+02 2.865000e+03 2.516463e-01
1.000000e+03 6.424000e+02 2.788000e+03 2.794202e-01
1.100000e+03 6.854000e+02 2.715000e+03 3.073588e-01
1.200000e+03 7.276000e+02 2.645000e+03 3.357041e-01
1.300000e+03 7.691000e+02 2.579000e+03 3.642149e-01
1.400000e+03 8.100000e+02 2.517000e+03 3.929205e-01
1.500000e+03 8.506000e+02 2.458000e+03 4.218094e-01
1.600000e+03 8.907000e+02 2.402000e+03 4.509097e-01
1.700000e+03 9.305000e+02 2.349000e+03 4.801769e-01
1.800000e+03 9.700000e+02 2.298000e+03 5.095418e-01
2.000000e+03 1.048000e+03 2.205000e+03 5.685744e-01
2.250000e+03 1.144000e+03 2.099000e+03 6.427838e-01
2.500000e+03 1.237000e+03 2.005000e+03 7.172217e-01
2.750000e+03 1.329000e+03 1.921000e+03 7.915961e-01
3.000000e+03 1.418000e+03 1.844000e+03 8.658259e-01
3.250000e+03 1.506000e+03 1.774000e+03 9.397836e-01
3.500000e+03 1.591000e+03 1.710000e+03 1.013304e+00
