 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> febbraio 02, 2026 
 ==================================================================

 Disk File Name = SRIM Outputs\Sodium in Ca- P- O- F-Cl- O- H.txt

 Ion = Sodium [11] , Mass = 22,99 amu

 Target Density =  3,1500E+00 g/cm3 = 7,9660E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Ca     20    022,73    038,25   
      P     15    013,64    017,74   
      O      8    054,54    036,65   
      F      9    008,18    006,53   
     Cl     17    000,45    000,67   
      O      8    000,23    000,15   
      H      1    000,23    000,01   
 ====================================
 Bragg Correction = 0,00%
 Stopping Units =  keV / micron   
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  10,00 keV   6,598E+01  4,121E+02     161 A        83 A        59 A   
  11,00 keV   6,920E+01  4,110E+02     175 A        90 A        64 A   
  12,00 keV   7,228E+01  4,095E+02     189 A        96 A        68 A   
  13,00 keV   7,523E+01  4,077E+02     204 A       103 A        73 A   
  14,00 keV   7,807E+01  4,055E+02     218 A       109 A        77 A   
  15,00 keV   8,081E+01  4,032E+02     232 A       116 A        82 A   
  16,00 keV   8,346E+01  4,007E+02     247 A       122 A        86 A   
  17,00 keV   8,603E+01  3,981E+02     261 A       128 A        90 A   
  18,00 keV   8,852E+01  3,954E+02     276 A       135 A        95 A   
  20,00 keV   9,331E+01  3,898E+02     305 A       147 A       103 A   
  22,50 keV   9,897E+01  3,828E+02     342 A       163 A       114 A   
  25,00 keV   1,043E+02  3,757E+02     380 A       179 A       125 A   
  27,50 keV   1,094E+02  3,687E+02     418 A       194 A       136 A   
  30,00 keV   1,143E+02  3,618E+02     456 A       209 A       146 A   
  32,50 keV   1,190E+02  3,552E+02     495 A       225 A       157 A   
  35,00 keV   1,234E+02  3,488E+02     534 A       240 A       168 A   
  37,50 keV   1,278E+02  3,425E+02     574 A       255 A       179 A   
