# Energy(keV)    dEe/dx(keV/micro_m)  dEn/dx(keV/micro_m)  x(micro_m)
1.000000e+01 6.024000e+01 1.429000e+03 9.725225e-03
1.100000e+01 6.318000e+01 1.466000e+03 1.036291e-02
1.200000e+01 6.599000e+01 1.500000e+03 1.087750e-02
1.300000e+01 6.868000e+01 1.531000e+03 1.142366e-02
1.400000e+01 7.128000e+01 1.559000e+03 1.196244e-02
1.500000e+01 7.378000e+01 1.584000e+03 1.250840e-02
1.600000e+01 7.620000e+01 1.608000e+03 1.302344e-02
1.700000e+01 7.854000e+01 1.630000e+03 1.356945e-02
1.800000e+01 8.082000e+01 1.650000e+03 1.408474e-02
2.000000e+01 8.519000e+01 1.687000e+03 1.505390e-02
2.250000e+01 9.036000e+01 1.726000e+03 1.632360e-02
2.500000e+01 9.525000e+01 1.760000e+03 1.747799e-02
2.750000e+01 9.990000e+01 1.789000e+03 1.865556e-02
3.000000e+01 1.043000e+02 1.814000e+03 1.981035e-02
3.250000e+01 1.086000e+02 1.836000e+03 2.098809e-02
3.500000e+01 1.127000e+02 1.855000e+03 2.214317e-02
3.750000e+01 1.167000e+02 1.872000e+03 2.329850e-02
4.000000e+01 1.205000e+02 1.887000e+03 2.436083e-02
4.500000e+01 1.278000e+02 1.911000e+03 2.657254e-02
5.000000e+01 1.347000e+02 1.930000e+03 2.879080e-02
5.500000e+01 1.413000e+02 1.945000e+03 3.098145e-02
6.000000e+01 1.476000e+02 1.957000e+03 3.307900e-02
6.500000e+01 1.536000e+02 1.966000e+03 3.517684e-02
7.000000e+01 1.594000e+02 1.972000e+03 3.739599e-02
8.000000e+01 1.704000e+02 1.979000e+03 4.159255e-02
9.000000e+01 1.807000e+02 1.981000e+03 4.578974e-02
1.000000e+02 1.905000e+02 1.978000e+03 4.998740e-02
1.100000e+02 1.998000e+02 1.973000e+03 5.413890e-02
1.200000e+02 2.087000e+02 1.965000e+03 5.833747e-02
1.300000e+02 2.172000e+02 1.956000e+03 6.251616e-02
1.400000e+02 2.254000e+02 1.945000e+03 6.680973e-02
1.500000e+02 2.333000e+02 1.934000e+03 7.096365e-02
1.600000e+02 2.410000e+02 1.921000e+03 7.523816e-02
1.700000e+02 2.484000e+02 1.908000e+03 7.948792e-02
1.800000e+02 2.634000e+02 1.895000e+03 8.378246e-02
2.000000e+02 3.023000e+02 1.868000e+03 9.221366e-02
2.250000e+02 3.319000e+02 1.833000e+03 1.029115e-01
2.500000e+02 3.513000e+02 1.798000e+03 1.136109e-01
2.750000e+02 3.667000e+02 1.763000e+03 1.243645e-01
3.000000e+02 3.811000e+02 1.730000e+03 1.353527e-01
3.250000e+02 3.957000e+02 1.697000e+03 1.464374e-01
3.500000e+02 4.111000e+02 1.666000e+03 1.575776e-01
3.750000e+02 4.274000e+02 1.635000e+03 1.688557e-01
4.000000e+02 4.447000e+02 1.606000e+03 1.800943e-01
4.500000e+02 4.816000e+02 1.550000e+03 2.029933e-01
5.000000e+02 5.211000e+02 1.499000e+03 2.261667e-01
5.500000e+02 5.621000e+02 1.451000e+03 2.493388e-01
6.000000e+02 6.039000e+02 1.406000e+03 2.726848e-01
6.500000e+02 6.458000e+02 1.365000e+03 2.960712e-01
7.000000e+02 6.874000e+02 1.326000e+03 3.194612e-01
8.000000e+02 7.682000e+02 1.256000e+03 3.661887e-01
9.000000e+02 8.449000e+02 1.194000e+03 4.127543e-01
1.000000e+03 9.171000e+02 1.139000e+03 4.589103e-01
1.100000e+03 9.849000e+02 1.089000e+03 5.048104e-01
1.200000e+03 1.049000e+03 1.044000e+03 5.504394e-01
1.300000e+03 1.109000e+03 1.004000e+03 5.956379e-01
1.400000e+03 1.166000e+03 9.668000e+02 6.405487e-01
1.500000e+03 1.220000e+03 9.328000e+02 6.850298e-01
1.600000e+03 1.272000e+03 9.016000e+02 7.291780e-01
1.700000e+03 1.322000e+03 8.727000e+02 7.728641e-01
1.800000e+03 1.370000e+03 8.459000e+02 8.162344e-01
2.000000e+03 1.464000e+03 7.978000e+02 9.018812e-01
2.250000e+03 1.576000e+03 7.458000e+02 1.006758e+00
2.500000e+03 1.686000e+03 7.012000e+02 1.113462e+00
2.750000e+03 1.794000e+03 6.623000e+02 1.204514e+00
3.000000e+03 1.902000e+03 6.282000e+02 1.305178e+00
3.250000e+03 2.010000e+03 5.978000e+02 1.395912e+00
3.500000e+03 2.118000e+03 5.707000e+02 1.486480e+00
3.750000e+03 2.227000e+03 5.462000e+02 1.576926e+00
4.000000e+03 2.337000e+03 5.241000e+02 1.667282e+00
4.500000e+03 2.558000e+03 4.854000e+02 1.828083e+00
5.000000e+03 2.779000e+03 4.527000e+02 1.988555e+00
5.500000e+03 3.001000e+03 4.246000e+02 2.129032e+00
6.000000e+03 3.220000e+03 4.003000e+02 2.269297e+00
6.500000e+03 3.437000e+03 3.789000e+02 2.399495e+00
7.000000e+03 3.651000e+03 3.599000e+02 2.529563e+00
8.000000e+03 4.064000e+03 3.277000e+02 2.759786e+00
9.000000e+03 4.458000e+03 3.014000e+02 2.979744e+00
1.000000e+04 4.831000e+03 2.794000e+02 3.179650e+00
1.100000e+04 5.181000e+03 2.607000e+02 3.359550e+00
1.200000e+04 5.509000e+03 2.446000e+02 3.539324e+00
1.300000e+04 5.816000e+03 2.306000e+02 3.709073e+00
1.400000e+04 6.104000e+03 2.182000e+02 3.868825e+00
1.500000e+04 6.373000e+03 2.073000e+02 4.018599e+00
1.600000e+04 6.625000e+03 1.975000e+02 4.168309e+00
1.700000e+04 6.861000e+03 1.887000e+02 4.308064e+00
1.800000e+04 7.083000e+03 1.807000e+02 4.447787e+00
2.000000e+04 7.488000e+03 1.667000e+02 4.717316e+00
2.250000e+04 7.933000e+03 1.523000e+02 5.026824e+00
2.500000e+04 8.325000e+03 1.404000e+02 5.326308e+00
2.750000e+04 8.674000e+03 1.303000e+02 5.615801e+00
3.000000e+04 8.989000e+03 1.217000e+02 5.895315e+00
3.250000e+04 9.277000e+03 1.143000e+02 6.164858e+00
3.500000e+04 9.543000e+03 1.078000e+02 6.424423e+00
3.750000e+04 9.791000e+03 1.021000e+02 6.683993e+00
4.000000e+04 1.002000e+04 9.696000e+01 6.923621e+00
4.500000e+04 1.045000e+04 8.825000e+01 7.413012e+00
5.000000e+04 1.083000e+04 8.108000e+01 7.872482e+00
5.500000e+04 1.117000e+04 7.507000e+01 8.321976e+00
6.000000e+04 1.149000e+04 6.995000e+01 8.761494e+00
6.500000e+04 1.177000e+04 6.554000e+01 9.191037e+00
7.000000e+04 1.203000e+04 6.169000e+01 9.600634e+00
8.000000e+04 1.250000e+04 5.529000e+01 1.041019e+01
9.000000e+04 1.289000e+04 5.018000e+01 1.119975e+01
1.000000e+05 1.323000e+04 4.599000e+01 1.195936e+01
1.100000e+05 1.351000e+04 4.249000e+01 1.269899e+01
1.200000e+05 1.375000e+04 3.952000e+01 1.343863e+01
1.300000e+05 1.396000e+04 3.696000e+01 1.414832e+01
1.400000e+05 1.413000e+04 3.473000e+01 1.485801e+01
1.500000e+05 1.427000e+04 3.278000e+01 1.556772e+01
1.600000e+05 1.439000e+04 3.105000e+01 1.625745e+01
1.700000e+05 1.449000e+04 2.950000e+01 1.694720e+01
1.800000e+05 1.459000e+04 2.811000e+01 1.763697e+01
2.000000e+05 1.471000e+04 2.571000e+01 1.899702e+01
2.250000e+05 1.468000e+04 2.327000e+01 2.069733e+01
2.500000e+05 1.464000e+04 2.127000e+01 2.239759e+01
2.750000e+05 1.456000e+04 1.961000e+01 2.410782e+01
3.000000e+05 1.445000e+04 1.820000e+01 2.582801e+01
3.250000e+05 1.433000e+04 1.699000e+01 2.756818e+01
3.500000e+05 1.419000e+04 1.595000e+01 2.931834e+01
3.750000e+05 1.404000e+04 1.503000e+01 3.108850e+01
4.000000e+05 1.388000e+04 1.421000e+01 3.287864e+01
4.500000e+05 1.355000e+04 1.284000e+01 3.650576e+01
5.000000e+05 1.322000e+04 1.172000e+01 4.023548e+01
5.500000e+05 1.289000e+04 1.079000e+01 4.406524e+01
6.000000e+05 1.256000e+04 1.000000e+01 4.799503e+01
6.500000e+05 1.225000e+04 9.330000e+00 5.202485e+01
7.000000e+05 1.194000e+04 8.746000e+00 5.615470e+01
8.000000e+05 1.136000e+04 7.783000e+00 6.473446e+01
9.000000e+05 1.083000e+04 7.020000e+00 7.374427e+01
1.000000e+00 1.033000e+04 6.400000e+00 8.319414e+01
