 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> febbraio 23, 2026 
 ==================================================================

 Disk File Name = SRIM Outputs\Strontium in Ca- P- O- F-Cl- O- H.txt

 Ion = Strontium [38] , Mass = 87,91 amu

 Target Density =  3,1500E+00 g/cm3 = 7,8943E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Ca     20    023,81    039,71   
      P     15    014,29    018,42   
      O      8    057,13    038,04   
      F      9    004,29    003,39   
     Cl     17    000,24    000,35   
      O      8    000,12    000,08   
      H      1    000,12    000,01   
 ====================================
 Bragg Correction = 0,00%
 Stopping Units =  keV / micron   
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  10,00 keV   6,024E+01  1,429E+03      89 A        31 A        24 A   
  11,00 keV   6,318E+01  1,466E+03      95 A        33 A        25 A   
  12,00 keV   6,599E+01  1,500E+03     100 A        34 A        26 A   
  13,00 keV   6,868E+01  1,531E+03     105 A        36 A        27 A   
  14,00 keV   7,128E+01  1,559E+03     110 A        37 A        29 A   
  15,00 keV   7,378E+01  1,584E+03     115 A        39 A        30 A   
  16,00 keV   7,620E+01  1,608E+03     120 A        40 A        31 A   
  17,00 keV   7,854E+01  1,630E+03     125 A        42 A        32 A   
  18,00 keV   8,082E+01  1,650E+03     130 A        43 A        33 A   
  20,00 keV   8,519E+01  1,687E+03     139 A        46 A        35 A   
  22,50 keV   9,036E+01  1,726E+03     151 A        49 A        38 A   
  25,00 keV   9,525E+01  1,760E+03     162 A        52 A        40 A   
  27,50 keV   9,990E+01  1,789E+03     173 A        55 A        43 A   
  30,00 keV   1,043E+02  1,814E+03     184 A        58 A        45 A   
  32,50 keV   1,086E+02  1,836E+03     195 A        61 A        48 A   
  35,00 keV   1,127E+02  1,855E+03     206 A        64 A        50 A   
  37,50 keV   1,167E+02  1,872E+03     217 A        67 A        52 A   
