 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> febbraio 23, 2026 
 ==================================================================

 Disk File Name = SRIM Outputs\Sulfur in Ca- P- O- F-Cl- O- H.txt

 Ion = Sulfur [16] , Mass = 31,972 amu

 Target Density =  3,1500E+00 g/cm3 = 7,8943E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Ca     20    023,81    039,71   
      P     15    014,29    018,42   
      O      8    057,13    038,04   
      F      9    004,29    003,39   
     Cl     17    000,24    000,35   
      O      8    000,12    000,08   
      H      1    000,12    000,01   
 ====================================
 Bragg Correction = 0,00%
 Stopping Units =  keV / micron   
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  10,00 keV   1,044E+02  6,544E+02     119 A        56 A        41 A   
  11,00 keV   1,094E+02  6,588E+02     129 A        60 A        44 A   
  12,00 keV   1,143E+02  6,621E+02     138 A        64 A        46 A   
  13,00 keV   1,190E+02  6,645E+02     147 A        67 A        49 A   
  14,00 keV   1,235E+02  6,661E+02     157 A        71 A        52 A   
  15,00 keV   1,278E+02  6,671E+02     166 A        75 A        54 A   
  16,00 keV   1,320E+02  6,675E+02     175 A        78 A        57 A   
  17,00 keV   1,361E+02  6,675E+02     184 A        82 A        60 A   
  18,00 keV   1,400E+02  6,672E+02     193 A        86 A        62 A   
  20,00 keV   1,476E+02  6,655E+02     212 A        93 A        67 A   
  22,50 keV   1,565E+02  6,622E+02     235 A       102 A        73 A   
  25,00 keV   1,650E+02  6,579E+02     258 A       110 A        79 A   
  27,50 keV   1,731E+02  6,529E+02     281 A       119 A        85 A   
  30,00 keV   1,808E+02  6,474E+02     304 A       127 A        91 A   
  32,50 keV   1,881E+02  6,415E+02     327 A       136 A        97 A   
  35,00 keV   1,952E+02  6,355E+02     350 A       144 A       103 A   
  37,50 keV   2,021E+02  6,293E+02     373 A       152 A       109 A   
