# Energy(keV)    dEe/dx(keV/micro_m)  dEn/dx(keV/micro_m)  x(micro_m)
1.000000e+01 4.928000e+01 1.649000e+03 9.656604e-03
1.100000e+01 5.169000e+01 1.703000e+03 1.017349e-02
1.200000e+01 5.398000e+01 1.752000e+03 1.071914e-02
1.300000e+01 5.619000e+01 1.797000e+03 1.123610e-02
1.400000e+01 5.831000e+01 1.839000e+03 1.165976e-02
1.500000e+01 6.036000e+01 1.878000e+03 1.217703e-02
1.600000e+01 6.234000e+01 1.914000e+03 1.260079e-02
1.700000e+01 6.425000e+01 1.948000e+03 1.311831e-02
1.800000e+01 6.612000e+01 1.980000e+03 1.354216e-02
2.000000e+01 6.969000e+01 2.039000e+03 1.436872e-02
2.250000e+01 7.392000e+01 2.104000e+03 1.543146e-02
2.500000e+01 7.792000e+01 2.162000e+03 1.646724e-02
2.750000e+01 8.172000e+01 2.213000e+03 1.740919e-02
3.000000e+01 8.536000e+01 2.259000e+03 1.847187e-02
3.250000e+01 8.884000e+01 2.300000e+03 1.941391e-02
3.500000e+01 9.220000e+01 2.338000e+03 2.035608e-02
3.750000e+01 9.543000e+01 2.372000e+03 2.127792e-02
4.000000e+01 9.856000e+01 2.404000e+03 2.222026e-02
4.500000e+01 1.045000e+02 2.459000e+03 2.399041e-02
5.000000e+01 1.102000e+02 2.506000e+03 2.578081e-02
5.500000e+01 1.156000e+02 2.547000e+03 2.745651e-02
6.000000e+01 1.207000e+02 2.582000e+03 2.920223e-02
6.500000e+01 1.256000e+02 2.613000e+03 3.087815e-02
7.000000e+01 1.304000e+02 2.640000e+03 3.252968e-02
8.000000e+01 1.394000e+02 2.684000e+03 3.583825e-02
9.000000e+01 1.478000e+02 2.718000e+03 3.907147e-02
1.000000e+02 1.558000e+02 2.745000e+03 4.228581e-02
1.100000e+02 1.634000e+02 2.765000e+03 4.540055e-02
1.200000e+02 1.707000e+02 2.781000e+03 4.859228e-02
1.300000e+02 1.777000e+02 2.792000e+03 5.171199e-02
1.400000e+02 1.844000e+02 2.801000e+03 5.482746e-02
1.500000e+02 1.909000e+02 2.806000e+03 5.792461e-02
1.600000e+02 1.971000e+02 2.810000e+03 6.102205e-02
1.700000e+02 2.032000e+02 2.811000e+03 6.414211e-02
1.800000e+02 2.091000e+02 2.811000e+03 6.723987e-02
2.000000e+02 2.204000e+02 2.806000e+03 7.334010e-02
2.250000e+02 2.338000e+02 2.795000e+03 8.107706e-02
2.500000e+02 2.464000e+02 2.779000e+03 8.881492e-02
2.750000e+02 2.815000e+02 2.760000e+03 9.653207e-02
3.000000e+02 3.175000e+02 2.739000e+03 1.041579e-01
3.250000e+02 3.421000e+02 2.716000e+03 1.118765e-01
3.500000e+02 3.596000e+02 2.692000e+03 1.195957e-01
3.750000e+02 3.729000e+02 2.667000e+03 1.272986e-01
4.000000e+02 3.839000e+02 2.642000e+03 1.350189e-01
4.500000e+02 4.030000e+02 2.591000e+03 1.507332e-01
5.000000e+02 4.214000e+02 2.541000e+03 1.665459e-01
5.500000e+02 4.409000e+02 2.491000e+03 1.826339e-01
6.000000e+02 4.620000e+02 2.443000e+03 1.988363e-01
6.500000e+02 4.847000e+02 2.396000e+03 2.152335e-01
7.000000e+02 5.089000e+02 2.350000e+03 2.317095e-01
8.000000e+02 5.611000e+02 2.265000e+03 2.651691e-01
9.000000e+02 6.165000e+02 2.185000e+03 2.990209e-01
1.000000e+03 6.735000e+02 2.111000e+03 3.331309e-01
1.100000e+03 7.308000e+02 2.043000e+03 3.674359e-01
1.200000e+03 7.874000e+02 1.979000e+03 4.018737e-01
1.300000e+03 8.428000e+02 1.920000e+03 4.365249e-01
1.400000e+03 8.967000e+02 1.865000e+03 4.711304e-01
1.500000e+03 9.488000e+02 1.813000e+03 5.058344e-01
1.600000e+03 9.990000e+02 1.765000e+03 5.404961e-01
1.700000e+03 1.048000e+03 1.720000e+03 5.751590e-01
1.800000e+03 1.094000e+03 1.677000e+03 6.097944e-01
2.000000e+03 1.182000e+03 1.599000e+03 6.790438e-01
2.250000e+03 1.284000e+03 1.512000e+03 7.653606e-01
2.500000e+03 1.379000e+03 1.436000e+03 8.512815e-01
2.750000e+03 1.467000e+03 1.368000e+03 9.367090e-01
3.000000e+03 1.550000e+03 1.308000e+03 1.019698e+00
3.250000e+03 1.629000e+03 1.253000e+03 1.110469e+00
3.500000e+03 1.706000e+03 1.204000e+03 1.191331e+00
3.750000e+03 1.780000e+03 1.158000e+03 1.272136e+00
4.000000e+03 1.853000e+03 1.117000e+03 1.352861e+00
4.500000e+03 1.996000e+03 1.044000e+03 1.514224e+00
5.000000e+03 2.138000e+03 9.812000e+02 1.675337e+00
5.500000e+03 2.280000e+03 9.265000e+02 1.826393e+00
6.000000e+03 2.423000e+03 8.785000e+02 1.977265e+00
6.500000e+03 2.567000e+03 8.358000e+02 2.127959e+00
7.000000e+03 2.712000e+03 7.977000e+02 2.268632e+00
8.000000e+03 3.005000e+03 7.323000e+02 2.539820e+00
