 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> febbraio 02, 2026 
 ==================================================================

 Disk File Name = SRIM Outputs\Technetium in Ca- P- O- F-Cl- O- H.txt

 Ion = Technetium [43] , Mass = 97 amu

 Target Density =  3,1500E+00 g/cm3 = 7,9660E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Ca     20    022,73    038,25   
      P     15    013,64    017,74   
      O      8    054,54    036,65   
      F      9    008,18    006,53   
     Cl     17    000,45    000,67   
      O      8    000,23    000,15   
      H      1    000,23    000,01   
 ====================================
 Bragg Correction = 0,00%
 Stopping Units =  keV / micron   
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  10,00 keV   5,716E+01  1,533E+03      87 A        30 A        22 A   
  11,00 keV   5,995E+01  1,576E+03      93 A        31 A        24 A   
  12,00 keV   6,262E+01  1,615E+03      98 A        33 A        25 A   
  13,00 keV   6,517E+01  1,651E+03     102 A        34 A        26 A   
  14,00 keV   6,763E+01  1,684E+03     107 A        35 A        27 A   
  15,00 keV   7,001E+01  1,714E+03     112 A        37 A        28 A   
  16,00 keV   7,230E+01  1,742E+03     117 A        38 A        29 A   
  17,00 keV   7,453E+01  1,769E+03     121 A        39 A        30 A   
  18,00 keV   7,669E+01  1,793E+03     126 A        40 A        31 A   
  20,00 keV   8,084E+01  1,837E+03     134 A        43 A        33 A   
  22,50 keV   8,574E+01  1,885E+03     145 A        46 A        35 A   
  25,00 keV   9,038E+01  1,927E+03     156 A        48 A        38 A   
  27,50 keV   9,479E+01  1,963E+03     166 A        51 A        40 A   
  30,00 keV   9,901E+01  1,995E+03     176 A        54 A        42 A   
  32,50 keV   1,030E+02  2,023E+03     186 A        57 A        44 A   
  35,00 keV   1,069E+02  2,049E+03     196 A        59 A        46 A   
  37,50 keV   1,107E+02  2,071E+03     206 A        62 A        48 A   
