 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> febbraio 02, 2026 
 ==================================================================

 Disk File Name = SRIM Outputs\Vanadium in Ca- P- O- F-Cl- O- H.txt

 Ion = Vanadium [23] , Mass = 50,94 amu

 Target Density =  3,1500E+00 g/cm3 = 7,9660E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Ca     20    022,73    038,25   
      P     15    013,64    017,74   
      O      8    054,54    036,65   
      F      9    008,18    006,53   
     Cl     17    000,45    000,67   
      O      8    000,23    000,15   
      H      1    000,23    000,01   
 ====================================
 Bragg Correction = 0,00%
 Stopping Units =  keV / micron   
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  10,00 keV   1,001E+02  9,880E+02     100 A        40 A        30 A   
  11,00 keV   1,050E+02  1,004E+03     107 A        43 A        32 A   
  12,00 keV   1,097E+02  1,017E+03     113 A        45 A        34 A   
  13,00 keV   1,142E+02  1,029E+03     120 A        48 A        36 A   
  14,00 keV   1,185E+02  1,039E+03     127 A        50 A        37 A   
  15,00 keV   1,226E+02  1,048E+03     134 A        52 A        39 A   
  16,00 keV   1,267E+02  1,055E+03     140 A        54 A        41 A   
  17,00 keV   1,306E+02  1,062E+03     147 A        57 A        43 A   
  18,00 keV   1,344E+02  1,068E+03     153 A        59 A        44 A   
  20,00 keV   1,416E+02  1,078E+03     166 A        63 A        47 A   
  22,50 keV   1,502E+02  1,087E+03     183 A        68 A        51 A   
  25,00 keV   1,583E+02  1,093E+03     199 A        74 A        55 A   
  27,50 keV   1,661E+02  1,097E+03     215 A        79 A        59 A   
  30,00 keV   1,734E+02  1,099E+03     230 A        84 A        63 A   
  32,50 keV   1,805E+02  1,100E+03     246 A        89 A        66 A   
  35,00 keV   1,873E+02  1,100E+03     262 A        94 A        70 A   
  37,50 keV   1,939E+02  1,099E+03     278 A        99 A        74 A   
