# Energy(keV)    dEe/dx(keV/micro_m)  dEn/dx(keV/micro_m)  x(micro_m)
1.000000e+01 9.032000e+01 1.677000e+03 9.419660e-03
1.100000e+01 9.472000e+01 1.732000e+03 9.936800e-03
1.200000e+01 9.894000e+01 1.782000e+03 1.045419e-02
1.300000e+01 1.030000e+02 1.829000e+03 1.090596e-02
1.400000e+01 1.069000e+02 1.872000e+03 1.132961e-02
1.500000e+01 1.106000e+02 1.912000e+03 1.184694e-02
1.600000e+01 1.142000e+02 1.950000e+03 1.227070e-02
1.700000e+01 1.178000e+02 1.986000e+03 1.269449e-02
1.800000e+01 1.212000e+02 2.019000e+03 1.309733e-02
2.000000e+01 1.277000e+02 2.080000e+03 1.394489e-02
2.250000e+01 1.355000e+02 2.148000e+03 1.498065e-02
2.500000e+01 1.428000e+02 2.208000e+03 1.592263e-02
2.750000e+01 1.498000e+02 2.262000e+03 1.686476e-02
3.000000e+01 1.564000e+02 2.310000e+03 1.778651e-02
3.250000e+01 1.628000e+02 2.353000e+03 1.872885e-02
3.500000e+01 1.690000e+02 2.393000e+03 1.957677e-02
3.750000e+01 1.749000e+02 2.429000e+03 2.049902e-02
4.000000e+01 1.806000e+02 2.462000e+03 2.134690e-02
4.500000e+01 1.916000e+02 2.521000e+03 2.311731e-02
5.000000e+01 2.020000e+02 2.571000e+03 2.479314e-02
5.500000e+01 2.118000e+02 2.614000e+03 2.634938e-02
6.000000e+01 2.212000e+02 2.652000e+03 2.800089e-02
6.500000e+01 2.303000e+02 2.685000e+03 2.958192e-02
7.000000e+01 2.390000e+02 2.714000e+03 3.111929e-02
8.000000e+01 2.555000e+02 2.762000e+03 3.423346e-02
9.000000e+01 2.710000e+02 2.800000e+03 3.723372e-02
1.000000e+02 2.856000e+02 2.829000e+03 4.025767e-02
1.100000e+02 2.995000e+02 2.852000e+03 4.323552e-02
1.200000e+02 3.129000e+02 2.871000e+03 4.614130e-02
1.300000e+02 3.256000e+02 2.884000e+03 4.902877e-02
1.400000e+02 3.379000e+02 2.895000e+03 5.193486e-02
1.500000e+02 3.498000e+02 2.903000e+03 5.481870e-02
1.600000e+02 3.613000e+02 2.908000e+03 5.761111e-02
1.700000e+02 3.724000e+02 2.911000e+03 6.049545e-02
1.800000e+02 3.832000e+02 2.912000e+03 6.328815e-02
2.000000e+02 4.039000e+02 2.910000e+03 6.894411e-02
2.250000e+02 4.284000e+02 2.902000e+03 7.606701e-02
2.500000e+02 4.516000e+02 2.888000e+03 8.307304e-02
2.750000e+02 4.704000e+02 2.871000e+03 9.007969e-02
3.000000e+02 4.856000e+02 2.852000e+03 9.706977e-02
3.250000e+02 5.015000e+02 2.830000e+03 1.041532e-01
3.500000e+02 5.174000e+02 2.807000e+03 1.112409e-01
3.750000e+02 5.335000e+02 2.784000e+03 1.183292e-01
4.000000e+02 5.498000e+02 2.759000e+03 1.254143e-01
4.500000e+02 5.826000e+02 2.710000e+03 1.397662e-01
5.000000e+02 6.154000e+02 2.660000e+03 1.541359e-01
5.500000e+02 6.474000e+02 2.611000e+03 1.686650e-01
6.000000e+02 6.785000e+02 2.563000e+03 1.833118e-01
6.500000e+02 7.087000e+02 2.516000e+03 1.979406e-01
7.000000e+02 7.382000e+02 2.470000e+03 2.127460e-01
8.000000e+02 7.955000e+02 2.384000e+03 2.424946e-01
9.000000e+02 8.514000e+02 2.303000e+03 2.726172e-01
1.000000e+03 9.067000e+02 2.228000e+03 3.030170e-01
1.100000e+03 9.616000e+02 2.158000e+03 3.335796e-01
1.200000e+03 1.016000e+03 2.093000e+03 3.643407e-01
1.300000e+03 1.071000e+03 2.032000e+03 3.951708e-01
1.400000e+03 1.125000e+03 1.975000e+03 4.260848e-01
1.500000e+03 1.179000e+03 1.922000e+03 4.570829e-01
1.600000e+03 1.233000e+03 1.872000e+03 4.880676e-01
1.700000e+03 1.286000e+03 1.825000e+03 5.189272e-01
1.800000e+03 1.339000e+03 1.780000e+03 5.497738e-01
2.000000e+03 1.443000e+03 1.699000e+03 6.113184e-01
2.250000e+03 1.570000e+03 1.609000e+03 6.876409e-01
2.500000e+03 1.692000e+03 1.529000e+03 7.631595e-01
2.750000e+03 1.809000e+03 1.458000e+03 8.376977e-01
3.000000e+03 1.922000e+03 1.395000e+03 9.111559e-01
