 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> febbraio 23, 2026 
 ==================================================================

 Disk File Name = SRIM Outputs\Yttrium in Ca- P- O- F-Cl- O- H.txt

 Ion = Yttrium [39] , Mass = 88,906 amu

 Target Density =  3,1500E+00 g/cm3 = 7,8943E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Ca     20    023,81    039,71   
      P     15    014,29    018,42   
      O      8    057,13    038,04   
      F      9    004,29    003,39   
     Cl     17    000,24    000,35   
      O      8    000,12    000,08   
      H      1    000,12    000,01   
 ====================================
 Bragg Correction = 0,00%
 Stopping Units =  keV / micron   
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  10,00 keV   6,370E+01  1,450E+03      89 A        31 A        23 A   
  11,00 keV   6,681E+01  1,488E+03      94 A        33 A        25 A   
  12,00 keV   6,978E+01  1,523E+03      99 A        34 A        26 A   
  13,00 keV   7,263E+01  1,555E+03     104 A        36 A        27 A   
  14,00 keV   7,537E+01  1,584E+03     109 A        37 A        28 A   
  15,00 keV   7,802E+01  1,610E+03     114 A        38 A        29 A   
  16,00 keV   8,057E+01  1,635E+03     119 A        40 A        30 A   
  17,00 keV   8,305E+01  1,657E+03     124 A        41 A        32 A   
  18,00 keV   8,546E+01  1,678E+03     128 A        42 A        33 A   
  20,00 keV   9,008E+01  1,716E+03     138 A        45 A        35 A   
  22,50 keV   9,555E+01  1,757E+03     149 A        48 A        37 A   
  25,00 keV   1,007E+02  1,792E+03     160 A        51 A        40 A   
  27,50 keV   1,056E+02  1,823E+03     171 A        54 A        42 A   
  30,00 keV   1,103E+02  1,849E+03     182 A        57 A        44 A   
  32,50 keV   1,148E+02  1,872E+03     193 A        60 A        47 A   
  35,00 keV   1,192E+02  1,892E+03     203 A        63 A        49 A   
  37,50 keV   1,234E+02  1,910E+03     214 A        66 A        51 A   
