 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> febbraio 23, 2026 
 ==================================================================

 Disk File Name = SRIM Outputs\Zinc in Ca- P- O- F-Cl- O- H.txt

 Ion = Zinc [30] , Mass = 63,93 amu

 Target Density =  3,1500E+00 g/cm3 = 7,8943E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Ca     20    023,81    039,71   
      P     15    014,29    018,42   
      O      8    057,13    038,04   
      F      9    004,29    003,39   
     Cl     17    000,24    000,35   
      O      8    000,12    000,08   
      H      1    000,12    000,01   
 ====================================
 Bragg Correction = 0,00%
 Stopping Units =  keV / micron   
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  10,00 keV   6,951E+01  1,216E+03      92 A        36 A        27 A   
  11,00 keV   7,290E+01  1,242E+03      98 A        37 A        28 A   
  12,00 keV   7,615E+01  1,264E+03     104 A        39 A        30 A   
  13,00 keV   7,925E+01  1,284E+03     110 A        41 A        31 A   
  14,00 keV   8,225E+01  1,303E+03     115 A        43 A        33 A   
  15,00 keV   8,513E+01  1,319E+03     121 A        45 A        34 A   
  16,00 keV   8,793E+01  1,334E+03     127 A        47 A        36 A   
  17,00 keV   9,063E+01  1,347E+03     132 A        49 A        37 A   
  18,00 keV   9,326E+01  1,359E+03     138 A        50 A        38 A   
  20,00 keV   9,830E+01  1,381E+03     149 A        54 A        41 A   
  22,50 keV   1,043E+02  1,403E+03     162 A        58 A        44 A   
  25,00 keV   1,099E+02  1,421E+03     175 A        62 A        47 A   
  27,50 keV   1,153E+02  1,435E+03     189 A        66 A        50 A   
  30,00 keV   1,204E+02  1,447E+03     202 A        70 A        53 A   
  32,50 keV   1,253E+02  1,457E+03     214 A        74 A        56 A   
  35,00 keV   1,300E+02  1,464E+03     227 A        78 A        59 A   
  37,50 keV   1,346E+02  1,470E+03     240 A        82 A        62 A   
